#TimeStamp;TripTime;Type
33;17;O
41;21;O
41;10;O
56;21;O
67;22;O
82;29;O
103;13;O
121;25;O
128;19;O
182;29;O
184;25;O
190;24;O
201;18;O
227;20;O
263;15;O
274;19;O
287;22;O
298;23;O
304;21;O
324;19;O
350;16;O
373;21;O
404;18;O
410;27;O
410;12;O
413;29;O
443;24;O
455;19;O
478;19;O
490;21;O
497;29;O
508;16;O
542;21;O
560;21;O
560;30;O
560;22;O
607;23;O
618;21;O
653;27;O
654;15;O
672;24;O
675;46;O
689;13;O
689;16;O
742;13;O
746;28;O
779;18;O
782;22;O
786;21;O
817;13;O
823;24;O
854;15;O
855;19;O
902;24;O
917;22;O
922;35;O
928;28;O
949;18;O
965;23;O
988;20;O
991;16;O
1041;21;O
1051;23;O
1103;33;O
1114;32;O
1124;34;O
1171;37;O
1171;20;O
1182;31;O
1197;13;O
1239;13;O
1304;24;O
1322;21;O
1322;25;O
1328;24;O
1330;23;O
1348;27;O
1371;20;O
1436;10;O
1444;16;O
1450;7;O
1462;10;O
1463;35;O
1517;22;O
1517;20;O
1520;15;O
1554;26;O
1555;33;O
1570;13;O
1585;23;O
1609;20;O
1622;7;O
1623;20;O
1655;24;O
1672;21;O
1675;19;O
1695;30;O
1710;33;O
1742;27;O
1765;23;O
1769;26;O
1780;27;O
1798;23;O
