#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.89;0;0;1;3;0/59.89;0/43.76,1/53.59,2/56.22;0/59.89;0/59.89,1/59.89,2/59.89;0/0;0/12,1/13,2/14;0/0;0/14,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/1
119.96;0;4;1;3;0/119.96;0/77.34,1/59.33,2/81.77;0/119.96;0/119.96,1/119.96,2/119.96;0/0;0/10,1/14,2/10;0/0;0/17,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/2;0/0;0/11,1/16,2/10
179.8;0;8;1;3;0/179.8;0/85.6,1/70.84,2/95.92;0/179.8;0/179.8,1/179.8,2/179.8;0/0;0/13,1/12,2/11;0/0;0/15,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/3;0/0;0/25,1/29,2/22
239.93;0;10;1;3;0/239.93;0/127.11,1/77.02,2/136.31;0/239.93;0/239.93,1/239.93,2/239.93;0/0;0/8,1/12,2/11;0/0;0/15,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/4;0/0;0/29,1/43,2/27
299.94;0;15;1;3;0/299.94;0/135.73,1/116.68,2/148.8;0/299.94;0/299.94,1/299.94,2/299.94;0/0;0/10,1/15,2/10;0/0;0/13,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/43,1/48,2/40
359.6;0;18;1;3;0/359.6;0/166.73,1/124.62,2/163.73;0/359.6;0/359.6,1/359.6,2/359.6;0/0;0/9,1/15,2/9;0/0;0/13,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/50,1/62,2/51
419.69;0;20;1;3;0/419.69;0/207.91,1/151.41,2/189.48;0/419.69;0/419.69,1/419.69,2/419.69;0/0;0/7,1/15,2/11;0/0;0/11,1/21,2/18;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/7;0/0;0/56,1/70,2/60
479.97;0;24;1;3;0/479.97;0/215.72,1/166.76,2/219.19;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/12,1/15,2/10;0/0;0/16,1/21,2/16;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/69,1/82,2/68
539.92;0;26;1;3;0/539.92;0/258.83,1/169.7,2/226.52;0/539.92;0/539.92,1/539.92,2/539.92;0/0;0/11,1/15,2/8;0/0;0/18,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/9;0/0;0/73,1/97,2/82
599.9;0;30;1;3;0/599.9;0/273.6,1/192.31,2/243.81;0/599.9;0/599.9,1/599.9,2/599.9;0/0;0/10,1/16,2/11;0/0;0/12,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/11,1/9,2/10;0/0;0/85,1/106,2/93
659.6;0;34;1;3;0/659.6;0/297.26,1/204.26,2/284.68;0/659.6;0/659.6,1/659.6,2/659.6;0/0;0/11,1/17,2/11;0/0;0/13,1/19,2/14;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/11;0/0;0/95,1/119,2/98
