#TimeStamp;Runtime;Requests
0.88;0;6
2.93;0;1
4.18;0;1
5.43;0;1
6.8;0;3
8.19;0;2
9.47;0;1
10.68;0;1
12.97;0;1
14.74;0;1
15.74;0;1
16.79;0;2
17.83;0;1
18.87;0;1
19.92;0;1
20.96;0;2
21.99;0;2
23.03;0;1
24.23;0;1
25.54;0;1
26.9;0;1
27.95;0;1
30.42;0;1
31.75;0;1
32.8;0;1
34.85;0;1
35.92;0;1
37.01;0;1
39.41;0;1
40.47;0;1
41.63;0;1
43.63;0;1
44.93;0;1
47.22;0;1
48.3;0;2
49.67;0;1
51.43;0;1
53.84;0;1
54.85;0;1
57.8;0;1
58.85;0;1
67.64;0;1
69.03;0;1
70.4;0;1
73.94;0;1
75.31;0;1
79.19;0;1
83.06;0;1
85.73;0;1
88.02;0;1
89.06;0;1
90.42;0;1
91.46;0;1
92.55;0;1
95.9;0;1
98.36;0;1
99.68;0;1
101.71;0;1
103.05;0;2
105.36;0;1
113.22;0;1
115.43;0;1
117.22;0;1
119.24;0;1
120.42;0;2
121.96;0;1
123.23;0;1
124.81;0;1
128.59;0;1
129.68;0;1
131.65;0;1
133.4;0;1
134.74;0;1
135.82;0;1
138.01;0;1
139.07;0;1
140.42;0;1
141.68;0;1
143.65;0;1
148.06;0;1
150.11;0;1
151.16;0;1
153.83;0;1
157.09;0;1
158.42;0;1
160;0;1
161.05;0;1
162.49;0;1
163.55;0;1
166.17;0;1
171.67;0;1
172.76;0;2
173.85;0;1
174.88;0;1
175.97;0;2
178.64;0;1
183.81;0;1
185.05;0;1
186.77;0;1
188.81;0;1
190.09;0;1
191.44;0;1
192.65;0;2
193.74;0;1
195.3;0;1
196.69;0;1
197.81;0;1
199.04;0;1
200.27;0;1
201.29;0;1
204.25;0;1
206.87;0;1
210.37;0;1
211.46;0;1
212.59;0;1
213.82;0;1
215.06;0;1
216.3;0;1
217.38;0;1
219.89;0;1
221.38;0;1
222.64;0;1
224.05;0;2
228.18;0;1
229.27;0;2
230.85;0;1
242.4;0;1
243.48;0;1
246.98;0;1
253.26;0;1
254.48;0;1
259.32;0;1
264.1;0;1
267.77;0;1
273.86;0;1
275.9;0;1
277.25;0;1
278.56;0;1
280.1;0;1
281.19;0;1
282.61;0;1
285.09;0;1
286.16;0;1
288.67;0;1
290.04;0;1
291.98;0;1
299.11;0;1
300.21;0;1
301.6;0;1
303.79;0;1
305.11;0;1
306.3;0;2
307.77;0;1
311.9;0;1
312.99;0;1
315.76;0;1
320.46;0;1
321.82;0;1
322.85;0;1
323.92;0;1
325.31;0;2
326.92;0;1
328.01;0;1
329.07;0;1
330.1;0;1
333.6;0;1
338.28;0;1
339.35;0;1
340.57;0;1
341.78;0;1
345.53;0;1
347.33;0;1
349.54;0;1
354.41;0;1
358.7;0;1
360;0;1
361.42;0;1
368.25;0;1
370.87;0;1
371.92;0;2
374.42;0;1
375.48;0;1
382.17;0;1
383.26;0;1
384.38;0;1
388.93;0;1
393.26;0;1
394.44;0;1
403.27;0;1
404.52;0;1
405.94;0;1
408.24;0;1
410.1;0;1
411.1;0;1
412.43;0;1
415.86;0;1
416.9;0;1
418.93;0;1
423.77;0;1
425.02;0;1
426.82;0;1
428.2;0;1
430.16;0;1
433.66;0;1
435.3;0;1
438.35;0;1
443.88;0;1
444.93;0;1
446.02;0;2
449.56;0;1
455.52;0;1
457.38;0;1
458.53;0;1
461.82;0;1
463.82;0;1
465.77;0;1
467.08;0;1
468.13;0;1
469.15;0;2
470.8;0;1
473.32;0;1
475.04;0;1
476.13;0;1
478.53;0;1
479.92;0;1
487.43;0;1
488.54;0;1
490.68;0;2
491.88;0;1
492.92;0;1
494.35;0;1
498.47;0;1
499.56;0;1
500.65;0;1
502.64;0;1
504.4;0;1
505.47;0;1
506.69;0;1
512.56;0;1
515.28;0;1
516.35;0;1
517.73;0;3
521.19;0;1
522.56;0;1
527.76;0;1
528.81;0;1
530.03;0;1
531.14;0;1
535.98;0;1
538.19;0;1
539.49;0;1
541.73;0;1
542.82;0;1
547.81;0;1
548.82;0;1
549.9;0;1
553.4;0;1
555.4;0;1
556.53;0;1
558.11;0;1
559.61;0;1
561.04;0;1
562.45;0;1
564.45;0;1
566.33;0;1
571.29;0;1
573.53;0;1
577.83;0;1
579.09;0;1
584.04;0;1
585.28;0;1
587.92;0;1
589.01;0;1
590.59;0;1
593.22;0;1
598.72;0;2
600.76;0;1
601.76;0;1
603.1;0;1
604.89;0;1
608.89;0;1
611.77;0;1
612.86;0;1
613.93;0;1
615.27;0;1
616.35;0;1
619.03;0;1
624.48;0;1
625.52;0;1
626.82;0;2
628.35;0;1
629.9;0;1
630.94;0;1
639.27;0;1
640.32;0;1
641.36;0;1
643.35;0;1
644.53;0;1
648.18;0;1
650.08;0;1
651.12;0;1
652.45;0;1
653.54;0;2
655.08;0;1
663.96;0;1
666.34;0;1
667.8;0;1
668.96;0;1
670.31;0;1
671.59;0;1
673.84;0;1
676.42;0;1
679.19;0;1
681.77;0;1
683.06;0;1
684.42;0;1
685.68;0;2
687.85;0;1
689.26;0;1
690.47;0;1
691.51;0;1
692.69;0;1
694.91;0;1
696.31;0;1
697.39;0;1
698.78;0;1
699.89;0;2
700.97;0;1
702.05;0;2
703.09;0;1
704.27;0;1
705.55;0;2
706.95;0;2
708.02;0;1
709.17;0;1
710.35;0;1
711.39;0;2
712.39;0;1
713.43;0;1
714.48;0;1
715.75;0;1
717.16;0;1
718.16;0;2
719.21;0;2
720.21;0;1
721.23;0;3
722.31;0;1
723.36;0;2
724.4;0;1
725.4;0;2
726.49;0;2
727.54;0;1
728.58;0;2
730.79;0;1
732.71;0;1
733.74;0;2
737.16;0;1
738.33;0;1
739.63;0;1
741.53;0;1
742.96;0;1
744.24;0;3
745.48;0;1
747.29;0;1
748.41;0;1
749.49;0;2
750.49;0;1
751.49;0;1
752.75;0;1
754.17;0;1
755.38;0;1
762.26;0;1
763.58;0;1
764.84;0;1
766.13;0;1
769.16;0;1
770.97;0;1
776.34;0;1
779.01;0;1
780.11;0;2
784.08;0;1
785.18;0;1
786.38;0;1
788.96;0;1
791;0;1
792.28;0;1
794.95;0;1
796.22;0;1
797.37;0;1
802.5;0;1
805.09;0;1
807.13;0;1
808.75;0;1
809.84;0;1
811.89;0;1
813.22;0;1
815.09;0;1
816.5;0;1
821.34;0;1
822.67;0;1
824.81;0;1
826.85;0;1
827.99;0;1
829.09;0;1
830.35;0;1
832.09;0;1
833.41;0;2
836.08;0;1
843.66;0;1
845.09;0;1
846.49;0;1
848.21;0;1
850.3;0;1
851.99;0;1
853.93;0;1
856.47;0;1
857.62;0;1
860.25;0;1
864.6;0;1
867.4;0;1
868.49;0;1
872.41;0;1
875.08;0;1
878.28;0;1
879.36;0;1
882.86;0;1
885.03;0;1
886.05;0;1
887.78;0;1
888.99;0;1
890.99;0;1
893.16;0;1
894.49;0;1
895.5;0;1
896.5;0;1
897.54;0;1
898.68;0;1
901.97;0;1
905.05;0;1
907.14;0;1
908.23;0;1
909.43;0;1
910.52;0;1
911.61;0;1
917.21;0;1
918.26;0;1
920.71;0;1
921.77;0;1
923.07;0;1
926.88;0;1
928.65;0;1
931.28;0;1
932.58;0;1
933.67;0;1
934.71;0;1
935.8;0;1
936.92;0;1
939.55;0;1
943.72;0;1
944.72;0;1
945.93;0;1
947.14;0;1
948.39;0;1
949.6;0;1
950.88;0;1
951.97;0;1
953.06;0;1
955.72;0;1
957.89;0;1
959.23;0;1
963.34;0;1
964.49;0;1
966.64;0;1
967.77;0;2
970.18;0;1
973.31;0;1
979.36;0;1
982.81;0;1
983.98;0;2
985.18;0;1
986.65;0;1
990.97;0;1
995.81;0;1
996.82;0;2
1003.94;0;1
1006.04;0;1
1007.07;0;1
1010.97;0;1
1019;0;1
1023.23;0;1
1025.39;0;1
1026.48;0;1
1029.17;0;1
1033.31;0;1
1036.81;0;1
1039.14;0;1
1040.47;0;1
1042.13;0;1
1048.48;0;1
1050.58;0;1
1052.69;0;1
1053.98;0;1
1055.05;0;2
1057.48;0;1
1058.57;0;2
1067.22;0;1
1069.49;0;1
1070.61;0;1
1071.7;0;1
1073.57;0;1
1075.24;0;1
1080.7;0;1
1081.87;0;1
1083.25;0;1
1088.16;0;1
1090.36;0;1
1091.71;0;1
1093.34;0;1
1094.67;0;1
1095.9;0;2
1100.17;0;1
1101.41;0;1
1103.22;0;1
1104.28;0;1
1106.15;0;1
1108.51;0;1
1109.85;0;3
1112.68;0;1
1113.68;0;2
1117.22;0;1
1123.35;0;1
1127.31;0;1
1129.23;0;1
1130.4;0;1
1132.25;0;1
1133.6;0;1
1136.67;0;1
1137.76;0;1
1140.84;0;1
1146.59;0;1
1150.09;0;1
1152.72;0;1
1154.81;0;1
1159.87;0;1
1161.45;0;1
1168.31;0;1
1171.37;0;1
1172.7;0;2
1174.97;0;1
1181.62;0;1
1182.63;0;1
1184.89;0;1
1185.98;0;1
1187.55;0;1
1189.48;0;1
1191.05;0;1
1192.14;0;1
1195.39;0;1
1200.31;0;1
1201.32;0;1
1202.44;0;1
1204.54;0;1
1205.57;0;2
1208.09;0;1
1209.28;0;1
1210.57;0;2
1211.75;0;2
1212.75;0;1
1213.79;0;2
1214.84;0;1
1215.88;0;1
1216.93;0;2
1217.97;0;1
1219.02;0;1
1220.06;0;1
1221.1;0;3
1223.61;0;1
1225.02;0;1
1226.24;0;1
1228.52;0;1
1229.81;0;1
1233.36;0;1
1234.37;0;1
1237.34;0;1
1239.89;0;1
1243.14;0;1
1244.18;0;1
1247.68;0;1
1250.64;0;1
1255.48;0;1
1275.16;0;1
1285.33;0;1
1290.38;0;1
1295.58;0;1
1297.89;0;2
1302.55;0;1
1303.77;0;2
1306.05;0;1
1308.61;0;1
1316.32;0;1
1317.35;0;1
1318.53;0;1
1321.57;0;2
1322.82;0;2
1324.87;0;1
1325.99;0;1
1329.7;0;1
1332.99;0;1
1334.58;0;1
1336.4;0;1
1337.63;0;1
1343.24;0;1
1345.13;0;1
1346.21;0;1
1347.32;0;2
1349.63;0;1
1350.85;0;2
1351.94;0;2
1361.68;0;1
1363.3;0;1
1364.65;0;1
1367.92;0;1
1369.06;0;2
1370.43;0;1
1371.52;0;1
1372.59;0;1
1373.59;0;1
1376.09;0;1
1377.31;0;1
1379.31;0;1
1381.27;0;1
1382.56;0;1
1385.59;0;1
1386.72;0;1
1389.97;0;1
1392.98;0;1
1394.06;0;1
1399.15;0;1
1401.78;0;1
1403.99;0;1
1407.99;0;1
1411.53;0;1
1416.66;0;1
1419.28;0;1
1426.91;0;1
1430.98;0;1
1432.07;0;1
1436.29;0;1
1444.56;0;1
1447;0;1
1450.04;0;2
1451.07;0;1
1452.51;0;1
1454.06;0;1
1455.09;0;1
1458.98;0;1
1461.32;0;1
1463.82;0;2
1465.41;0;1
1468.66;0;1
1475.08;0;1
1476.17;0;1
1478.03;0;1
1479.11;0;1
1480.42;0;1
1484.25;0;1
1487.26;0;1
1489.08;0;1
1490.55;0;1
1491.73;0;2
1493.88;0;1
1495.13;0;1
1496.72;0;1
1501.98;0;1
1503.07;0;1
1504.99;0;1
1506.18;0;1
1507.66;0;1
1508.85;0;1
1513.83;0;1
1514.85;0;1
1518.77;0;1
1519.81;0;1
1523.32;0;1
1524.41;0;1
1525.5;0;1
1527.08;0;1
1528.13;0;1
1529.32;0;1
1532.23;0;1
1533.33;0;1
1534.63;0;1
1535.76;0;1
1537.21;0;2
1538.39;0;1
1539.68;0;1
1543.89;0;1
1545.88;0;1
1554.73;0;1
1556.1;0;1
1557.19;0;1
1559.56;0;2
1560.73;0;1
1562.03;0;1
1563.12;0;1
1564.22;0;1
1565.49;0;1
1566.86;0;1
1571.7;0;1
1577.97;0;1
1580.33;0;1
1581.7;0;2
1583.2;0;1
1584.37;0;1
1588.92;0;1
1590.28;0;1
1592.39;0;1
1596.54;0;1
1598.32;0;1
1599.59;0;1
1600.69;0;1
1602.1;0;1
1603.24;0;2
1604.37;0;1
1606.79;0;1
1607.88;0;1
1609.16;0;1
1610.25;0;1
1611.38;0;1
1612.51;0;1
1613.84;0;2
1616.31;0;1
1617.55;0;1
1622.76;0;1
1626.79;0;1
1628.18;0;1
1629.71;0;1
1631.68;0;1
1633.38;0;1
1634.47;0;1
1635.84;0;1
1638.51;0;1
1639.89;0;1
1641.97;0;1
1643.06;0;1
1646.44;0;1
1647.94;0;1
1649.18;0;1
1656.11;0;1
1658.78;0;1
1660.62;0;1
1661.86;0;1
1670.24;0;1
1671.48;0;1
1672.57;0;2
1673.66;0;1
1676.74;0;1
1678.5;0;1
1681.62;0;1
1684.08;0;1
1688.14;0;1
1689.91;0;1
1691.05;0;1
1694.33;0;1
1697.16;0;1
1698.29;0;1
1699.55;0;3
1700.68;0;1
1701.79;0;1
1704.18;0;1
1705.47;0;1
1706.56;0;2
1713.85;0;1
1714.93;0;2
1716.06;0;2
1717.4;0;1
1718.73;0;1
1719.77;0;1
1720.86;0;1
1721.94;0;1
1723.18;0;1
1724.31;0;1
1727.02;0;1
1732.49;0;1
1733.82;0;4
1734.95;0;1
1736.49;0;2
1738.2;0;1
1739.53;0;1
1743.04;0;1
1746.03;0;1
1747.16;0;1
1748.49;0;2
1749.83;0;1
1750.88;0;1
1751.99;0;1
1754;0;2
1756.67;0;1
1758.83;0;1
1759.91;0;1
1761.13;0;1
1762.16;0;1
1764.38;0;1
1765.46;0;1
1766.55;0;1
1770.29;0;1
1772.92;0;1
1775.13;0;1
1776.18;0;1
1777.18;0;1
1778.22;0;2
1779.27;0;2
1781.98;0;1
1785.38;0;1
1786.61;0;2
1787.85;0;1
1788.94;0;1
1790.52;0;1
1791.65;0;1
1792.74;0;1
1796.07;0;1
1799.58;0;1
