#TimeStamp;Bot;Pod;OutputStation
44.3;3;16;2
45.6;2;57;0
48.38;3;16;2
52.8;3;16;2
54.51;4;34;0
56.85;3;16;2
58.85;4;34;0
59.56;5;37;1
60.93;3;16;2
62.85;4;34;0
63.76;5;37;1
65.35;3;16;2
66.89;4;34;0
67.77;5;37;1
69.52;3;16;2
71.07;4;34;0
71.97;5;37;1
73.65;3;16;2
76.28;5;37;1
77.94;3;16;2
80.56;5;37;1
85;5;37;1
85.42;1;27;2
89.42;5;37;1
89.49;1;27;2
93.49;1;27;2
97.04;0;38;1
97.5;1;27;2
101.08;0;38;1
101.55;1;27;2
104.96;0;38;1
105.59;1;27;2
109.13;0;38;1
109.53;2;43;0
109.63;1;27;2
113.17;0;38;1
113.21;2;43;0
113.68;1;27;2
117.21;0;38;1
117.59;2;43;0
117.72;1;27;2
121.26;0;38;1
121.3;2;43;0
121.72;1;27;2
125.3;0;38;1
125.72;2;43;0
129.36;0;38;1
129.77;2;43;0
133.94;2;43;0
134.82;3;10;2
138.36;2;43;0
138.87;3;10;2
142.78;2;43;0
143.24;3;10;2
145.75;5;47;1
147.21;2;43;0
147.21;3;10;2
149.82;5;47;1
151.21;3;10;2
151.29;2;43;0
153.54;5;47;1
155;3;10;2
155.49;2;43;0
157.91;5;47;1
159.29;3;10;2
159.91;2;43;0
161.96;5;47;1
163.33;3;10;2
166;5;47;1
166.42;4;15;0
167.75;3;10;2
170.33;5;47;1
170.67;4;15;0
172.17;3;10;2
174.68;4;15;0
176.59;3;10;2
178.63;4;15;0
180.73;3;10;2
182.72;4;15;0
194.7;1;53;2
197.85;0;50;1
198.76;1;53;2
202.16;0;50;1
202.77;1;53;2
205.93;0;50;1
206.89;1;53;2
210.05;0;50;1
211.19;1;53;2
213.98;0;50;1
215.31;1;53;2
218.02;0;50;1
219.36;1;53;2
222.25;0;50;1
223.18;1;53;2
224.6;2;30;0
227.59;1;53;2
228.76;2;30;0
231.65;1;53;2
233.18;2;30;0
237.6;2;30;0
242.02;2;30;0
246.78;5;49;1
248.87;3;9;2
250.83;5;49;1
253.19;3;9;2
255.01;5;49;1
257.24;3;9;2
258.91;5;49;1
261.61;3;9;2
263.12;5;49;1
267.19;5;49;1
267.74;4;16;0
271.27;5;49;1
271.51;4;16;0
275.46;5;49;1
275.86;4;16;0
280;4;16;0
292.35;0;11;1
296.4;0;11;1
299.48;2;50;0
300.09;1;42;2
300.48;0;11;1
304.42;1;42;2
304.55;0;11;1
308.26;1;42;2
308.5;0;11;1
312.37;1;42;2
312.82;0;11;1
316.5;1;42;2
316.97;0;11;1
320.92;1;42;2
340;3;1;2
344.3;3;1;2
345.03;5;31;1
348.2;3;1;2
349.15;5;31;1
352.38;3;1;2
353.53;5;31;1
356.71;3;1;2
357.58;5;31;1
360.55;3;1;2
364.76;3;1;2
368.8;3;1;2
373;3;1;2
377.07;3;1;2
381.49;3;1;2
384;4;44;0
388.27;4;44;0
388.69;1;10;2
391.78;0;54;1
392.69;4;44;0
392.73;1;10;2
396;0;54;1
396.42;4;44;0
396.73;1;10;2
400.46;0;54;1
400.73;4;44;0
400.73;1;10;2
404.7;0;54;1
404.74;4;44;0
404.74;1;10;2
408.74;4;44;0
408.74;0;54;1
412.72;4;44;0
412.72;0;54;1
416.79;0;54;1
419.67;2;28;0
421.21;0;54;1
423.49;2;28;0
425.44;0;54;1
427.75;2;28;0
431.79;2;28;0
435.84;2;28;0
438.92;5;16;1
439.87;2;28;0
441.43;3;25;2
442.97;5;16;1
443.92;2;28;0
445.5;3;25;2
447.32;5;16;1
447.97;2;28;0
449.92;3;25;2
451.26;5;16;1
452.39;2;28;0
454;3;25;2
456.09;2;28;0
458.04;3;25;2
460.42;2;28;0
462.47;3;25;2
466.88;3;25;2
485.17;1;57;2
486.26;4;27;0
489.42;1;57;2
490.28;4;27;0
493.46;1;57;2
497.68;1;57;2
498.52;0;26;1
501.87;1;57;2
529.71;5;42;1
531.05;3;46;2
533.96;5;42;1
535.17;3;46;2
538.26;5;42;1
539.59;3;46;2
543.8;3;46;2
548.22;3;46;2
555.76;2;55;0
559.85;2;55;0
563.9;2;55;0
565.9;0;2;1
568.01;2;55;0
569.94;0;2;1
572.13;2;55;0
574.12;0;2;1
574.63;1;44;2
576.05;2;55;0
578.43;0;2;1
578.94;1;44;2
580.46;2;55;0
582.47;0;2;1
582.94;1;44;2
584.51;2;55;0
586.52;0;2;1
586.98;1;44;2
588.55;2;55;0
590.38;0;2;1
591.03;1;44;2
592.61;2;55;0
594.56;0;2;1
595.11;1;44;2
597.04;2;55;0
598.97;0;2;1
601.48;2;55;0
603.32;0;2;1
605.93;2;55;0
607.39;0;2;1
610.02;2;55;0
611.81;0;2;1
616.18;0;2;1
616.48;4;53;0
620.4;0;2;1
620.4;3;32;2
620.65;4;53;0
624.16;0;2;1
624.57;3;32;2
624.83;4;53;0
628.57;3;32;2
628.88;4;53;0
631.28;5;20;1
632.65;4;53;0
632.65;3;32;2
635.34;5;20;1
636.9;3;32;2
636.94;4;53;0
639.36;5;20;1
640.88;3;32;2
641.05;4;53;0
643.4;5;20;1
644.94;4;53;0
647.4;5;20;1
663.53;2;28;0
668.04;1;56;2
672.1;1;56;2
676.54;1;56;2
680.58;1;56;2
684.88;1;56;2
688.93;1;56;2
689.57;0;41;1
693.31;0;41;1
696.35;3;25;2
697.68;0;41;1
700.77;3;25;2
702.1;0;41;1
704.81;3;25;2
706.15;0;41;1
709.04;3;25;2
710.57;4;31;0
713.08;3;25;2
714.7;4;31;0
714.7;5;5;1
716.99;3;25;2
718.95;4;31;0
718.95;5;5;1
722.95;4;31;0
722.95;5;5;1
727.12;5;5;1
727.19;4;31;0
731.07;5;5;1
735.19;5;5;1
739.57;5;5;1
742.37;2;40;0
743.75;5;5;1
746.42;2;40;0
747.46;5;5;1
750.15;2;40;0
751.87;5;5;1
754.12;2;40;0
758.5;2;40;0
762.86;2;40;0
764.17;0;49;1
767.05;2;40;0
768.14;0;49;1
772.38;0;49;1
776.67;0;49;1
786.79;1;43;2
791.1;1;43;2
795.4;1;43;2
802.69;4;56;0
803.06;3;3;2
806.86;4;56;0
807.18;3;3;2
810.36;5;47;1
810.86;4;56;0
811.36;3;3;2
814.31;5;47;1
815.62;3;3;2
818.44;5;47;1
820;3;3;2
822.7;5;47;1
823.96;3;3;2
827.12;5;47;1
828.05;3;3;2
832.47;3;3;2
834.06;0;37;1
836.71;3;3;2
838.14;0;37;1
841.14;3;3;2
841.71;2;41;0
841.8;0;37;1
845.6;2;41;0
849.75;2;41;0
867.78;1;52;2
871.94;1;52;2
875.96;1;52;2
880.33;1;52;2
884.37;1;52;2
888.02;4;9;0
888.83;1;52;2
892.35;4;9;0
893.25;1;52;2
897.35;1;52;2
903.32;0;5;1
920.92;2;23;0
921.29;5;32;1
924.99;2;23;0
925.34;5;32;1
926.6;3;33;2
928.99;2;23;0
929.76;5;32;1
930.94;3;33;2
933.17;2;23;0
934.15;5;32;1
935.12;3;33;2
937.24;2;23;0
938.43;5;32;1
939.08;3;33;2
941.34;2;23;0
943.03;3;33;2
945.39;2;23;0
947.34;3;33;2
951.66;3;33;2
956.08;3;33;2
960.5;3;33;2
964.92;3;33;2
965.75;4;52;0
970.16;4;52;0
974.58;4;52;0
980.42;0;9;1
984.58;0;9;1
988.8;0;9;1
992.97;0;9;1
997.21;0;9;1
1010.23;2;4;0
1012.56;5;34;1
1013.01;1;17;2
1014.05;2;4;0
1016.81;5;34;1
1017.39;1;17;2
1020.57;5;34;1
1021.44;1;17;2
1024.57;5;34;1
1025.28;1;17;2
1029.33;1;17;2
1033.48;1;17;2
1037.9;1;17;2
1042.32;1;17;2
1043.18;4;33;0
1046.77;1;17;2
1047.22;4;33;0
1050.85;1;17;2
1051.27;4;33;0
1055.27;1;17;2
1055.32;4;33;0
1059.32;4;33;0
1059.32;1;17;2
1063.49;4;33;0
1063.49;1;17;2
1070.91;3;27;2
1074.95;3;27;2
1078.59;3;27;2
1083.47;5;52;1
1087.75;5;52;1
1095.49;0;30;1
1099.77;0;30;1
1103.81;0;30;1
1107.14;2;10;0
1107.84;0;30;1
1111.22;2;10;0
1111.6;0;30;1
1130.6;3;46;2
1136.39;4;51;0
1140.44;4;51;0
1144.61;4;51;0
1148.66;4;51;0
1148.7;5;26;1
1152.72;4;51;0
1152.77;5;26;1
1156.75;4;51;0
1156.79;5;26;1
1156.84;1;14;2
1160.79;4;51;0
1160.84;5;26;1
1161.17;1;14;2
1164.67;4;51;0
1165.19;5;26;1
1165.59;1;14;2
1169.59;5;26;1
1169.63;1;14;2
1173.63;5;26;1
1173.63;1;14;2
1177.75;5;26;1
1177.75;1;14;2
1181.79;5;26;1
1181.79;1;14;2
1185.99;5;26;1
1186.46;2;2;0
1190.04;5;26;1
1190.79;2;2;0
1194.43;5;26;1
1195.05;2;2;0
1198.85;5;26;1
1199.32;2;2;0
1206.31;0;59;1
1210.35;0;59;1
1210.86;3;48;2
1214.08;0;59;1
1214.91;3;48;2
1218.11;0;59;1
1218.78;3;48;2
1222.32;0;59;1
1223;3;48;2
1226.17;0;59;1
1227.04;3;48;2
1230.4;0;59;1
1231.12;3;48;2
1234.44;0;59;1
1235.37;4;49;0
1235.37;3;48;2
1238.49;0;59;1
1239.5;4;49;0
1239.5;3;48;2
1242.53;0;59;1
1243.54;4;49;0
1243.54;3;48;2
1246.58;0;59;1
1247.88;4;49;0
