#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
60;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.81;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.6;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.72;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
299.66;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
359.91;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
479.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.91;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
659.98;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
719.8;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
780;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
839.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
959.83;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.93;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1079.61;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1139.83;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.87;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.83;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1379.87;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.8;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.67;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.63;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.92;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1679.76;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.9;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
