#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.68;0;0;1;3;0/59.68;0/44.34,1/42.31,2/59.68;0/59.68;0/59.68,1/59.68,2/59.68;0/0;0/14,1/10,2/10;0/0;0/18,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/5,2/0
119.81;0;3;1;3;0/119.81;0/59.28,1/54.54,2/67.97;0/119.81;0/119.81,1/119.81,2/119.81;0/0;0/17,1/9,2/15;0/0;0/21,1/19,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/16,1/17,2/14
179.75;0;7;1;3;0/179.75;0/88.31,1/87.89,2/107.34;0/179.75;0/179.75,1/179.75,2/179.75;0/0;0/18,1/8,2/14;0/0;0/21,1/15,2/18;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/25,1/24,2/19
239.79;0;9;1;3;0/239.79;0/126.13,1/98.58,2/148.4;0/239.79;0/239.79,1/239.79,2/239.79;0/0;0/16,1/12,2/12;0/0;0/21,1/15,2/19;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/30,1/37,2/24
300;0;14;1;3;0/300;0/151.75,1/147.28,2/172.71;0/300;0/300,1/300,2/300;0/0;0/15,1/12,2/14;0/0;0/19,1/15,2/18;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/5;0/0;0/39,1/41,2/34
359.94;0;17;1;3;0/359.94;0/184.79,1/180.27,2/208.44;0/359.94;0/359.94,1/359.94,2/359.94;0/0;0/17,1/9,2/13;0/0;0/21,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/46,1/47,2/40
419.59;0;21;1;3;0/419.59;0/225.05,1/206.22,2/253;0/419.59;0/419.59,1/419.59,2/419.59;0/0;0/13,1/9,2/11;0/0;0/18,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/51,1/56,2/44
479.96;0;26;1;3;0/479.96;0/248.09,1/215.08,2/272.54;0/479.96;0/479.96,1/479.96,2/479.96;0/0;0/14,1/10,2/13;0/0;0/17,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/9;0/0;0/61,1/70,2/55
539.88;0;28;1;3;0/539.88;0/283.45,1/238.23,2/322.31;0/539.88;0/539.88,1/539.88,2/539.88;0/0;0/16,1/10,2/10;0/0;0/19,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/8,2/10;0/0;0/67,1/79,2/58
599.97;0;31;1;3;0/599.97;0/312.69,1/261.35,2/346.74;0/599.97;0/599.97,1/599.97,2/599.97;0/0;0/15,1/8,2/8;0/0;0/19,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/11,1/9,2/11;0/0;0/75,1/89,2/67
