#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;78.94;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.97;78.94;0.22;PP/0,TA/0.17,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
119.61;78.94;0.29;PP/0.01,TA/0.22,IS/0,PS/0.12,RB/0,OB/0.01,RP/0
179.77;78.94;0.34;PP/0.01,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.01,RP/0
239.97;78.88;0.39;PP/0.01,TA/0.26,IS/0,PS/0.13,RB/0,OB/0.02,RP/0
299.6;78.88;0.43;PP/0.02,TA/0.27,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
359.94;78.88;0.46;PP/0.02,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
419.96;78.88;0.49;PP/0.02,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
479.66;78.85;0.55;PP/0.03,TA/0.31,IS/0,PS/0.14,RB/0,OB/0.03,RP/0
539.88;78.85;0.58;PP/0.03,TA/0.32,IS/0,PS/0.15,RB/0,OB/0.03,RP/0
599.91;78.85;0.63;PP/0.03,TA/0.33,IS/0,PS/0.15,RB/0,OB/0.03,RP/0
659.91;78.75;0.67;PP/0.04,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.04,RP/0
719.98;78.67;0.69;PP/0.04,TA/0.35,IS/0,PS/0.16,RB/0,OB/0.04,RP/0
779.91;78.67;0.73;PP/0.04,TA/0.36,IS/0,PS/0.16,RB/0,OB/0.04,RP/0
839.95;78.67;0.77;PP/0.04,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.04,RP/0
899.97;78.7;0.82;PP/0.06,TA/0.39,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
959.66;78.58;0.85;PP/0.06,TA/0.39,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
1019.72;78.48;0.87;PP/0.06,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
1079.73;78.36;0.9;PP/0.07,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.05,RP/0
1139.82;78.36;0.93;PP/0.07,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.05,RP/0
1199.86;78.36;0.95;PP/0.07,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1260;78.05;0.98;PP/0.08,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1319.91;77.95;1.03;PP/0.11,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1379.64;77.54;1.05;PP/0.11,TA/0.43,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1439.91;77.47;1.07;PP/0.11,TA/0.44,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1499.96;77.42;1.1;PP/0.11,TA/0.44,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1559.96;77.4;1.12;PP/0.12,TA/0.44,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1619.99;77.4;1.14;PP/0.12,TA/0.45,IS/0,PS/0.18,RB/0,OB/0.06,RP/0
1679.66;77.4;1.16;PP/0.12,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1739.96;77.4;1.18;PP/0.12,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
1799.86;77.4;1.21;PP/0.13,TA/0.46,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
