#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;93.84;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.75;98.05;0.14;PP/0,TA/0.08,IS/0,PS/0.05,RB/0,OB/0.01,RP/0
119.81;95.22;0.2;PP/0.01,TA/0.12,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
179.93;94.93;0.22;PP/0.01,TA/0.13,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
239.91;94.86;0.26;PP/0.01,TA/0.14,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
299.97;95.14;0.29;PP/0.01,TA/0.16,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
359.96;95.14;0.32;PP/0.01,TA/0.17,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
419.94;95.14;0.35;PP/0.02,TA/0.18,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
479.8;95.14;0.37;PP/0.02,TA/0.19,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
539.95;95.14;0.4;PP/0.02,TA/0.19,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
599.83;95.58;0.43;PP/0.02,TA/0.21,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
660;95.58;0.46;PP/0.02,TA/0.21,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
719.83;95.44;0.49;PP/0.03,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
779.91;95.3;0.51;PP/0.03,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
839.97;95.12;0.54;PP/0.03,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
899.93;95.11;0.56;PP/0.03,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
959.71;94.95;0.59;PP/0.04,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1019.69;94.9;0.61;PP/0.04,TA/0.25,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1079.86;94.87;0.64;PP/0.04,TA/0.25,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1139.72;94.84;0.66;PP/0.04,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1199.63;94.82;0.69;PP/0.05,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1259.97;94.76;0.72;PP/0.05,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1319.99;94.69;0.73;PP/0.05,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1379.84;94.64;0.76;PP/0.06,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1439.84;94.61;0.79;PP/0.06,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
1499.98;94.61;0.81;PP/0.06,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1559.58;94.61;0.84;PP/0.07,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1619.62;94.61;0.86;PP/0.07,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1679.84;94.61;0.89;PP/0.07,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1739.79;94.73;0.91;PP/0.07,TA/0.3,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1799.65;94.86;0.94;PP/0.08,TA/0.31,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
