#TimeStamp;TripTime;Type
39;17;O
39;14;O
44;31;O
53;30;O
73;24;O
75;21;O
113;18;O
140;14;O
147;22;O
152;14;O
157;34;O
193;49;O
207;18;O
223;26;O
225;24;O
246;26;O
261;20;O
299;37;O
301;13;O
307;21;O
317;18;O
328;26;O
337;24;O
372;17;O
383;18;O
402;11;O
432;23;O
441;22;O
441;29;O
459;23;O
496;19;O
506;21;O
513;21;O
520;21;O
531;17;O
551;22;O
578;7;O
595;23;O
618;13;O
636;27;O
648;22;O
660;24;O
666;14;O
697;24;O
704;24;O
731;22;O
781;48;O
795;34;O
802;24;O
816;39;O
840;26;O
874;27;O
879;21;O
881;18;O
895;22;O
912;14;O
927;15;O
937;21;O
949;21;O
988;18;O
999;27;O
1001;11;O
1001;17;O
1022;30;O
1038;32;O
1070;23;O
1082;19;O
1109;30;O
1118;25;O
1118;18;O
1120;13;O
1154;22;O
1161;23;O
1185;13;O
1211;15;O
1222;15;O
1240;24;O
1245;22;O
1257;27;O
1260;18;O
1294;15;O
1317;26;O
1318;13;O
1323;20;O
1342;19;O
1357;15;O
1365;17;O
1398;17;O
1415;28;O
1443;25;O
1445;20;O
1461;33;O
1492;14;O
1496;17;O
1505;27;O
1522;18;O
1526;19;O
1535;7;O
1564;17;O
1599;7;O
1612;28;O
1613;20;O
1633;16;O
1648;18;O
1658;18;O
1679;17;O
1698;22;O
1709;19;O
1712;26;O
1734;12;O
1756;21;O
1774;23;O
