#TimeStamp;TripTime;Type
39;17;O
39;14;O
44;31;O
53;30;O
73;24;O
76;22;O
112;17;O
143;13;O
144;25;O
147;22;O
153;25;O
162;20;O
205;19;O
216;29;O
247;29;O
257;20;O
266;27;O
276;19;O
300;14;O
315;19;O
329;20;O
342;13;O
348;17;O
372;20;O
384;26;O
401;19;O
410;15;O
417;17;O
429;20;O
456;22;O
467;6;O
482;15;O
502;18;O
510;20;O
533;21;O
542;45;O
553;22;O
573;29;O
608;14;O
628;21;O
633;26;O
643;18;O
644;21;O
664;18;O
669;27;O
706;13;O
717;12;O
731;26;O
740;33;O
750;21;O
763;16;O
765;17;O
807;22;O
830;22;O
831;18;O
839;17;O
851;21;O
912;16;O
917;25;O
919;12;O
935;21;O
954;24;O
991;17;O
1001;14;O
1006;16;O
1056;26;O
1067;16;O
1085;21;O
1106;32;O
1114;23;O
1120;18;O
1134;15;O
1135;15;O
1188;28;O
1189;23;O
1228;28;O
1231;31;O
1242;22;O
1266;23;O
1275;27;O
1282;24;O
1313;7;O
1323;20;O
1339;25;O
1360;13;O
1373;21;O
1408;19;O
1413;21;O
1446;30;O
1456;20;O
1493;14;O
1504;28;O
1509;39;O
1523;20;O
1524;20;O
1525;22;O
1558;18;O
1591;6;O
1600;12;O
1617;21;O
1628;25;O
1635;18;O
1641;26;O
1672;19;O
1681;34;O
1691;21;O
1707;19;O
1718;22;O
1754;29;O
1770;22;O
1787;15;O
1789;20;O
