#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
50.68;0;50.68;50.68;-8849.16
54.88;0;54.88;54.88;-9288.93
57.2;2;57.2;57.2;-9697.31
59.77;1;59.77;59.77;-9344.31
63.05;0;63.05;12.3;-10391.79
67.42;0;67.42;16.67;-10260.84
67.68;1;67.68;67.68;-9600.59
71.84;0;71.84;16.67;-10996.17
72.04;1;72.04;16.78;-10294.21
75.89;0;16.02;12.63;-9602.05
76.51;1;76.51;16.64;-10352.14
81.04;1;81.04;13.13;-10498.32
82.86;0;82.86;82.86;-8843.6
83.26;2;83.26;83.26;-9728.01
84.8;1;84.8;12.47;-11240.65
98.14;1;98.14;98.14;-9381.29
98.81;0;98.81;26.9;-10208.81
99.27;2;99.27;42.01;-9563.95
103.69;2;103.69;22.51;-9739.83
107.1;0;107.1;25.92;-10398.39
108.15;2;108.15;24.8;-12514.4
110.02;1;110.02;28.85;-9833.33
111.03;0;111.03;27.85;-10422.94
112.2;2;26.98;12.51;-11520.75
115.07;0;115.07;15.85;-11312.07
118.33;1;118.33;20.14;-10386.85
119.12;0;119.12;11.85;-11926.93
122.4;1;14.13;14.04;-10580.29
130.58;1;12.18;12.13;-12096.37
131.37;2;131.37;131.37;-9687.58
135.3;2;135.3;27.03;-10093.63
139.39;2;88.64;8.53;-9356.76
143.2;0;143.2;143.2;-9103.81
143.39;2;143.39;11.9;-9929.7
147.66;2;147.66;12.13;-10774.87
152.08;2;21.21;12.5;-11730.39
155.42;0;11.8;11.75;-10319.67
156.08;2;156.08;12.46;-12260.13
160.21;1;160.21;160.21;-9472.08
177.56;1;177.56;59.16;-11666.54
185.86;1;86.17;7.89;-10300.46
195.12;0;195.12;195.12;-9144.2
195.86;2;195.86;195.86;-9609.22
199.28;0;199.28;55.89;-10076.69
203.29;0;203.29;16.72;-11330.74
208.15;2;99.8;56.03;-10959.64
216.22;2;29.65;21.05;-10383.67
220.55;2;220.55;24.48;-10935.23
221.05;0;221.05;221.05;-8997.55
229.65;2;85.98;73.48;-11719.74
237.6;0;237.6;20.89;-10300.86
238.58;1;183.41;52.43;-9207.97
241.87;0;241.87;20.57;-10612.87
246.46;0;25.16;8.72;-10359.68
250.67;0;250.67;8.52;-11055.4
253.76;1;253.76;168.54;-8517.1
262.01;1;262.01;23.27;-10707.33
270.51;1;127.12;19.55;-10810.06
274.69;1;122.57;20.89;-11134.26
279.24;1;279.24;16.98;-12053.38
288.06;2;91.99;67.34;-9867.51
300;0;300;300;-9089.84
307.43;1;307.43;147.14;-9342.18
315.83;1;315.83;40.99;-10825.31
324.76;2;324.76;324.76;-9513.46
328.04;1;215.68;20.23;-9519.88
332.31;0;332.31;212.91;-9928.59
332.31;1;332.31;24.5;-10316.85
336.52;0;336.52;85.56;-11709.52
336.52;1;336.52;20.61;-10337.5
341.22;0;163.25;137.58;-11969.71
341.22;1;341.22;12.88;-10867.66
341.22;2;78.96;16.41;-9605.02
345.27;1;345.27;12.89;-11218.65
345.27;2;345.27;20.47;-10303.42
349.1;0;273.1;49.05;-10060.39
349.34;1;349.34;12.54;-12449.15
349.34;2;193.17;8.08;-10345.79
353.73;0;234.33;25.39;-9652.53
353.93;2;281.6;8.59;-11540.08
356.6;1;105.64;77.32;-11388.21
357.69;0;49.88;25.31;-10463.91
358.56;2;358.56;8.81;-11540.09
361.98;0;201.7;25.18;-10570.73
362.48;2;311.73;8.3;-12452.9
366.2;0;366.2;24.94;-10885.41
369.56;2;369.56;81.41;-9584.39
370.66;0;20.9;20.48;-8332.26
372.56;1;372.56;18.79;-9743.92
374.95;0;25.19;21.17;-10152.96
376.91;1;293.56;20.06;-10411.51
377.7;2;377.7;11.23;-9648.09
381.7;2;36.37;11.93;-10351.38
385.6;2;385.6;7.78;-11243.19
389.75;2;12.72;7.88;-11746.97
393.9;0;393.9;194.31;-11090.77
404.6;1;165.86;59.26;-10688.72
412.76;1;75.96;8.09;-11212.21
415.18;2;415.18;52.45;-9437.2
416.74;1;22.79;12.08;-10704.9
421.05;1;183.32;7.96;-12060.07
423.24;2;56.76;10.15;-9775.99
427.66;2;111.76;12.44;-10524.73
431.62;2;90.36;7.98;-11013.74
436.22;2;232.59;8.52;-11556.86
455.03;1;455.03;455.03;-9003.75
459.44;1;171.29;82.41;-9513.31
460.76;2;460.76;460.76;-9365.44
468.8;2;47.62;32.53;-11099.57
471.63;1;471.63;16.55;-9702.69
473.22;2;68.55;13.74;-10039.8
475.8;1;475.8;20.73;-9580.56
476.43;0;476.43;109.95;-10033.54
477.75;2;73.08;16.94;-10999.48
480.26;1;480.26;20.78;-9950.19
480.88;0;173.07;11.96;-8876.76
482.18;2;140.92;13.26;-11489.4
484.13;1;484.13;12.23;-10113.44
485.14;0;30.06;8.34;-9898.94
486.38;2;17.46;13.04;-8055.52
488.5;1;488.5;12.54;-10511.69
489.59;0;7.37;7.12;-10102.4
492.56;1;492.56;12.17;-10588.61
504.49;0;504.49;129.5;-10137.5
508.73;0;508.73;432.73;-9513.48
511.78;2;511.78;399.43;-10220.98
513.05;0;150.32;119.09;-8567.62
515.72;2;515.72;33.49;-8963.1
517.51;0;517.51;27.64;-9473.84
520.65;1;520.65;520.65;-9113.39
521.71;0;521.71;17.17;-11907.99
523.91;2;110.83;15.04;-9624.56
526.08;0;17.2;16.97;-10271.41
528.12;2;253.28;16.11;-10112.45
529.14;1;529.14;40.59;-9781.88
532.09;2;532.09;16.03;-10191.26
533.14;1;533.14;40.18;-10558.34
536.51;2;174.45;12.4;-10525.21
537.51;1;537.51;24.4;-9868.56
540.93;2;401.35;12.76;-10616.65
542.1;1;542.1;21.05;-12269.93
545.14;2;545.14;12.93;-10704.03
549.28;2;167.41;12.65;-10911.42
553.35;2;553.35;12.3;-11007.81
557.74;2;71.27;12.49;-11488.95
560.88;0;560.88;560.88;-8458.34
565.95;2;12.21;12.17;-9982.85
573.56;2;573.56;573.56;-9256.96
576.13;1;576.13;576.13;-9086.01
580.56;1;580.56;580.56;-9082.42
584.64;1;75.52;51.22;-10805.09
585.64;2;585.64;11.93;-9875.03
588.77;1;588.77;46.51;-12783.55
589.5;2;589.5;15.79;-10606.03
593.39;1;100.43;19.69;-9938.48
593.5;2;593.5;7.75;-11083.47
597.6;1;81.55;21.22;-10553.28
597.84;2;597.84;8.04;-11153.7
605.77;1;20.02;19.97;-9712.32
615.15;0;615.15;253.09;-9736
619.3;0;619.3;93.18;-12009.44
626.82;1;626.82;626.82;-8785.46
627.98;0;627.98;66.71;-10828.81
631.73;2;143.19;65.53;-9485.4
632.4;0;119.28;17.21;-9257.88
636.37;2;282.19;82.63;-9764.08
636.83;0;265.94;21.64;-9022.56
641.25;0;87.47;21.64;-9553.93
644.69;2;70.99;16.68;-11187
645.55;0;270.56;17.53;-9792.02
648.83;2;87.56;16.85;-11847.69
649.57;0;128.52;17.13;-10449.77
653.2;2;63.4;16.79;-12190.96
653.83;0;141.82;16.95;-10569.11
658.49;0;243.27;17.19;-10768.67
666.84;0;243.2;21.23;-10944.9
674.21;2;423.26;76.33;-10321.29
675.04;0;215.56;25.3;-11525.34
678.96;2;597.78;30.08;-11133.53
679.34;0;137.08;25.19;-11526.36
680;1;680;82.16;-9995.2
683.72;0;64.11;25.14;-11791.47
686.95;2;686.95;12.33;-9354.76
687.99;0;13.37;12.95;-11570.17
691.36;2;691.36;16.74;-10009.57
695.04;0;695.04;186.16;-9377.07
695.83;2;564.96;16.79;-10491.45
699.04;0;699.04;699.04;-8394.82
700.36;2;700.36;13.06;-10920.58
704.29;2;704.29;12.76;-10969.52
707.38;0;707.38;27.66;-10342.28
708.55;2;487.83;12.6;-11059.52
711.08;0;711.08;27.23;-9680.44
712.8;1;127;85.91;-8957.59
720.57;2;88.6;67.27;-9260.04
724.72;2;724.72;20.27;-10350.46
727.51;0;28.11;28.06;-10758.95
730.02;1;730.02;49.83;-9663.41
731.97;0;23.3;22.93;-9994.76
733.01;2;733.01;12.39;-10215.38
742.6;1;742.6;15.04;-9282.33
746.89;1;746.89;16.63;-11675.44
771.5;0;125.89;72.09;-10296.81
780.15;0;91.87;84.79;-10264.82
789.04;1;789.04;76;-10072.71
796.29;0;291.75;24.55;-10161.44
797.45;1;102.09;50.36;-9515.93
798.07;2;662.54;408.12;-9359.3
800.7;0;142.13;28.96;-9742.34
801.99;1;477.19;21.38;-9357.45
802.66;2;389.57;69.58;-10376.04
804.5;0;117.2;24.31;-10422.61
806.2;1;456.02;17.01;-10057.25
806.46;2;85.84;9.84;-11560.58
808.87;0;271.03;12.26;-10548.72
810.83;1;729.65;13.21;-10385.7
810.87;2;13.25;12.6;-12062.89
814.63;1;378.37;12.6;-10697.52
819.04;1;252.83;12.59;-11115.18
819.34;0;139.15;91.78;-10439.51
822.13;2;822.13;822.13;-8893.95
823.3;1;225.46;12.43;-11214.75
823.5;0;823.5;301.52;-10890.46
827.47;1;38.27;12.55;-11274.6
830.26;2;28.22;10.92;-9653.2
831.26;0;204.37;22.35;-9298.64
831.26;1;26.4;11.93;-11424.72
835.56;0;298.93;24.69;-9566.32
835.56;1;16.22;12.06;-10672.41
839.27;0;839.27;19.77;-9650.74
839.27;1;41;11.73;-12311.83
843.65;0;843.65;20.11;-9827.63
847.74;0;847.74;16.15;-9846.85
852.16;0;328.04;16.53;-10004.43
856.19;0;279.81;16.52;-10163.96
858.34;1;858.34;437.16;-10276.26
860;0;20.32;16.28;-10006.8
862.38;1;505.53;256.49;-10148.36
864.32;0;20.6;16.53;-9485
866.22;1;141.19;26.55;-11591.19
868.47;0;868.47;16.27;-10179.94
870.17;1;344.04;13.92;-11009.39
872.55;0;40.96;16.3;-10696.25
874.19;1;26.41;15.79;-11184.27
876.72;0;303.01;16.43;-11200.16
880.69;2;201.66;50.27;-8730.12
880.74;0;490.78;16.38;-11521.77
888.83;2;92.21;11.81;-9617.96
893.37;2;243.64;12.63;-9944.66
895.94;0;895.94;91.08;-9002.77
897.29;2;222.67;8.23;-10014.42
900;0;900;382.44;-10429.56
908.56;2;908.56;183.53;-9783.04
911.89;1;911.89;45.4;-9867.18
912.08;0;81.66;35.07;-10906.63
913.01;2;913.01;102.1;-9391.4
917.5;2;917.5;19.96;-9464.63
921.68;2;921.68;12.87;-10790.41
924.04;0;240.18;34.98;-8939.14
926.08;2;926.08;17.28;-10196.09
928.22;0;928.22;32.23;-10095.51
930.17;2;18.04;16.94;-10891.48
932.31;0;152.12;32.27;-10279.63
936.47;0;80.22;24.34;-10456.94
940.42;0;342.53;16.23;-10727.07
942.32;1;942.32;348.82;-9383.75
944.8;0;359.96;16.54;-10779.08
948.65;0;221.09;15.97;-10775.8
952.91;0;952.91;16.18;-11120.37
959.35;0;959.35;86.76;-10524.98
961.52;2;633.18;252.85;-9337.77
963.15;0;82.42;82.09;-10454.1
971.19;0;160.32;26.34;-10275.81
977.61;2;286.08;51.41;-10281.95
983.53;0;983.53;24.1;-11137.19
986.04;2;870.68;26.61;-10262.7
986.5;1;986.5;74.42;-9579.07
987.7;0;61.51;28.28;-10259.46
990.17;2;41.28;28.61;-10712.18
991.66;0;32.23;28.19;-8539.95
994.13;2;158.49;16.48;-11076.59
994.75;1;485.87;52.39;-9721.14
995.67;0;86.87;24.15;-11730.03
999.01;1;66.33;15.44;-9557.41
1000;0;36.53;16.43;-12135.08
1003.36;1;19.79;16.75;-9746.48
1003.58;2;79.39;73.34;-9308.29
1003.89;0;17.29;15.9;-10106.33
1011.85;2;240.11;21.35;-10240.04
1015.48;0;1015.48;1015.48;-8285.98
1031.87;1;731.83;682.11;-7721.02
1052.75;2;233.41;48.9;-9494.48
1057.17;2;97.75;62.63;-10596.47
1061.57;2;100.01;8.77;-12430.18
1075.65;1;1075.65;205.1;-9121.57
1083.89;1;1083.89;51.65;-9681
1088.31;1;151.59;12.62;-9555.73
1091.42;0;267.93;142.53;-8883.78
1092.56;1;1092.56;8.45;-10212.02
1095.81;0;348.71;99.73;-9358.33
1096.27;2;268.73;174.26;-9602.89
1100.93;2;368.92;43.72;-9426.84
1104.19;0;206.66;20.08;-9972.74
1108.89;2;576.68;47.25;-9893.18
1110.77;1;397.73;275.14;-10775.96
1112.57;0;579.15;21.09;-10057.29
1113.15;2;232.09;20.39;-10657.35
1116.94;0;157.52;21.09;-10176.27
1121.27;0;232.21;16.96;-10309.02
1121.57;2;212.77;25.01;-11218.18
1125.55;0;319.09;12.82;-10371.04
1129.95;0;315.03;12.8;-10564.33
1134.03;0;23.19;12.46;-10678.31
1138.73;0;17.16;13.12;-10629.74
1142.9;0;1035.63;12.87;-10679.73
1146.7;0;175.19;12.25;-10691.66
1150.98;0;16.53;12.11;-10460.36
1153.3;2;1153.3;1153.3;-8532.94
1155.03;0;155.87;12.09;-10757.5
1159.37;0;247.28;12.31;-11053.23
1166.57;0;302.21;166.44;-9375.03
1170.87;0;1170.87;155.34;-10151.49
1178.63;0;94.52;23.3;-8958.18
1179;1;1179;175.42;-9622.84
1183;1;711.1;90.25;-9665.91
1186.87;0;61.26;27.26;-11047.01
1187.65;1;184.07;111.96;-9234.94
1190.84;0;133.62;23.99;-9472.28
1192.17;1;1192.17;13.21;-9250.44
1194.67;0;1194.67;27.83;-8996.52
1196.47;1;103.72;17.19;-9992.26
1199.09;0;1199.09;28.18;-9889.87
1203.3;0;119.19;24.34;-10024.63
1207.6;0;203.75;20.6;-10036.36
1207.64;1;1207.64;333.06;-9249.57
1211.95;0;351.65;20.9;-10285.12
1212.02;1;756.95;212.86;-9099.55
1215.99;0;583.55;20.9;-10288.42
1216.07;1;1216.07;28.28;-9338.46
1220;0;40.72;20.86;-10292.16
1220.11;1;1220.11;27.9;-9135.99
1223.08;2;346.07;101.47;-11830.95
1224.08;0;683.04;20.52;-10332.71
1224.16;1;747.36;27.53;-9682.33
1227.83;2;314.61;118.73;-10001.16
1228.16;0;152.47;20.52;-10840.81
1228.21;1;752.24;24.65;-10074.1
1232.18;0;361.64;20.16;-11360.4
1232.3;1;1232.3;24.27;-10405.68
1236.18;0;540.23;20.11;-11427.04
1236.34;1;1153.17;24.27;-11066.48
1240;0;506.92;19.89;-11560.28
1240.56;1;61.61;24.45;-11157.51
1244.53;1;73.62;24.37;-11741.21
1247.31;0;1247.31;243.14;-9397.67
1251.73;2;906.4;138.54;-10023.15
1275.75;1;1275.75;1144.89;-9411.66
1279.51;1;217.87;46.84;-10708.49
1291.99;1;125.15;55.27;-11129.61
1296.12;1;183.39;55.36;-9099.96
1303.89;1;63.13;28.09;-10858.33
1304.81;2;972.43;76.91;-9890.62
1308.28;1;56.26;32.48;-9217.4
1312.66;1;36.86;32.82;-10529.83
1324.7;1;177.64;96.44;-10421.87
1326.53;0;1326.53;94.28;-9669.37
1327.16;2;1141.01;840.69;-9935.15
1330.65;0;960.88;959.76;-9372.07
1332.82;1;1269.56;88.02;-9417.65
1334.77;0;106.56;9.7;-9380.81
1338.95;0;247.48;12.3;-11629.94
1340.78;1;1272.87;32.43;-10332.58
1343.09;0;468.5;12.39;-11645.48
1344.87;1;1344.87;32.1;-10361.14
1346.91;0;575.17;12.09;-11663.11
1362.01;0;1362.01;133.8;-9522.18
1366.11;0;1366.11;125.77;-10174.61
1374.05;0;646.49;30.89;-10702.03
1380.67;2;135.86;75.73;-8861.63
1381.89;0;385.81;19.78;-9859.23
1383.48;1;1383.48;87.29;-9801.46
1386.1;0;61.03;19.95;-9984.97
1387.99;1;1330.73;62.92;-11435.02
1390.27;0;158.02;16.06;-10379.47
1394.27;0;752.97;12.01;-11049.47
1398.27;0;668.02;11.97;-11060.81
1400.04;1;167.37;54.84;-10751.76
1402.18;0;525.16;11.83;-11240.95
1404.41;1;216.63;23.48;-9916.48
1406.24;0;769.36;11.85;-12288.45
1408.28;1;424.71;24.44;-10016.26
1420.08;2;1420.08;266.74;-8583.76
1424.5;0;220.94;62.39;-9845
1425.07;1;525.03;314.23;-8349.42
1428.87;0;269.26;81.66;-9324.84
1429.54;1;484.69;88.38;-10299.12
1437.23;0;1437.23;30.71;-9782.89
1441.37;0;1441.37;21.13;-9087.76
1441.99;1;288.65;33.47;-9371.56
1457.71;2;1457.71;76.79;-8834.7
1470.38;2;1470.38;12.43;-8988.19
1473.35;1;666.5;43.77;-9955.09
1474.82;2;984.95;16.87;-8903.27
1477.38;1;1110.9;51.96;-9927.15
1477.79;0;1477.79;789.52;-9559.23
1478.74;2;1478.74;8.32;-9265.07
1481.39;1;372.29;76.91;-9331.89
1482.68;2;1482.68;7.81;-9870.37
1487.19;2;1487.19;8.27;-10152.64
1495.42;2;1022.08;12.47;-10300.76
1515.52;2;1515.52;1285.82;-8651.47
1521.9;1;1521.9;1521.9;-7896.62
1525.61;1;572.66;125.38;-9256.07
1530.05;1;514.53;8.11;-10463.43
1533.97;1;321.95;12.03;-10017.44
1536.61;0;1019.05;94.86;-9743.55
1538.61;1;544.07;12.6;-10564.43
1540.82;0;210.12;138.34;-9217.79
1542.74;1;620.73;12.64;-10763.05
1547.11;1;331.04;12.9;-10801.56
1549.08;0;840.04;71.25;-9620.53
1553.46;0;878.42;19.24;-9742.53
1563.32;2;1563.32;67.85;-11111.24
1564.79;0;1186.97;611.84;-8917.66
1576.92;0;1323.12;23.26;-8971.04
1579.11;1;963.92;97.57;-9154.84
1583.19;1;774.27;141.15;-8881.61
1614.34;2;1614.34;1614.34;-8163.48
1615.9;1;961.74;68.71;-9194.3
1620.21;1;1151.29;41.06;-10257.06
1624.52;1;843.91;41.26;-11213.78
1631.32;0;1631.32;54.35;-10024.19
1652.23;2;1580.32;136.67;-11237.94
1653.2;0;433.04;112.12;-10637.49
1660.27;2;1660.27;7.99;-9219.86
1661.52;0;334.28;30.16;-10722.35
1664.45;2;853.53;12.16;-9559.62
1666;0;425.66;13.72;-9122.12
1668.58;2;1451.87;8.25;-9845.56
1670.3;0;774.32;16.74;-9182.64
1672.18;1;1573.99;56.08;-9265.88
1672.81;2;682.31;8.17;-10206.46
1674.27;0;339.46;12.67;-9436.08
1677.09;2;1677.09;8.41;-10287.69
1678.39;0;499.44;12.35;-9587.7
1681.06;2;1356.26;7.97;-10566.73
1682.6;0;565.45;12.13;-9712.76
1684.93;2;1079.05;7.72;-10868.72
1686.64;0;478.62;12.06;-9766.35
1689.48;2;677.59;8.23;-11749.39
1691.18;0;358.07;12.55;-9893.95
1695.54;0;447.9;12.87;-9923.22
1695.65;1;1695.65;75.13;-9473.99
1699.95;1;1483.66;27.37;-10708.76
1702.76;2;1702.76;450.73;-8424.96
1710.98;0;1710.98;161.59;-8799.47
1751.28;2;1751.28;61.75;-9083.3
1753.68;1;660.92;57.74;-9697.68
1755.04;0;1755.04;59.39;-9932.96
1757.62;1;1429.28;280.16;-8959.3
1761.96;1;1302.48;61.96;-9882.66
1766.37;1;1634.88;14.98;-9242.35
1774.71;1;1575.12;20.96;-9262.67
1782.94;1;730.15;25.03;-9351.29
1791.39;1;803.39;29.18;-9748.38
1791.47;2;1791.47;88.45;-9085.02
1791.78;0;1791.78;544.13;-10708.69
1795.58;1;943.38;29.12;-9846.31
1796.21;0;330.92;40.93;-9068.18
1799.56;1;660.69;24.68;-10056.9
