#TimeStamp;Runtime;Requests
0.88;0.01;6
3.55;0;1
4.64;0;1
5.73;0;2
6.81;0;2
7.9;0;1
8.99;0;1
10.08;0;1
12.31;0;1
13.36;0;1
14.77;0;2
15.77;0;2
16.82;0;1
17.86;0;2
18.91;0;1
19.95;0;2
21;0;2
22.04;0;1
23.04;0;1
24.09;0;2
25.13;0;1
26.13;0;2
27.15;0;2
29.41;0;1
30.46;0;1
32.38;0;1
33.78;0;3
34.87;0;1
36.25;0;2
37.34;0;1
38.58;0;2
39.58;0;2
41.24;0;1
42.58;0;1
44.74;0;1
48.08;0;1
52.99;0;1
56.11;0;1
59.87;0;1
60.95;0;1
62.34;0;1
65.05;0;1
68.71;0;1
71.38;0;1
72.75;0;1
74.63;0;1
75.84;0;1
80.01;0;1
81.22;0;1
83.67;0;1
84.76;0;2
88.93;0;1
92.51;0;1
95.01;0;1
96.1;0;1
98.14;0;1
101.89;0;1
104.31;0;1
106.27;0;1
109.35;0;1
113.52;0;1
116.4;0;1
118.29;0;1
119.4;0;1
121.07;0;1
123.03;0;1
124.25;0;1
126.71;0;1
127.91;0;1
129.33;0;1
130.38;0;2
131.49;0;2
132.49;0;1
133.54;0;1
138.93;0;1
140.54;0;1
141.62;0;2
143.62;0;1
144.76;0;1
145.86;0;1
146.95;0;1
150.33;0;1
152.45;0;1
154.17;0;1
158.72;0;1
159.95;0;1
161.04;0;1
162.58;0;1
163.83;0;1
164.87;0;1
167.17;0;1
168.42;0;1
169.72;0;1
170.81;0;1
173.97;0;1
175.26;0;1
176.43;0;1
177.52;0;2
179.34;0;1
180.61;0;2
181.69;0;1
183.28;0;1
184.77;0;1
187.45;0;1
189.19;0;1
190.54;0;1
192.07;0;1
193.15;0;1
194.5;0;1
195.82;0;1
196.91;0;1
199.59;0;1
201.68;0;1
203.99;0;1
206.24;0;1
207.48;0;1
208.76;0;1
210.05;0;1
211.63;0;1
212.67;0;1
213.76;0;1
216.17;0;1
217.3;0;1
219.3;0;1
223.01;0;1
227.26;0;2
229.6;0;1
230.69;0;1
232.1;0;1
235.1;0;1
236.93;0;2
240.78;0;1
241.78;0;1
244.36;0;1
245.41;0;1
246.41;0;1
247.46;0;1
248.5;0;2
249.55;0;2
250.58;0;2
252.67;0;2
254.53;0;1
255.88;0;2
256.9;0;2
258.13;0;1
259.34;0;2
260.72;0;2
261.8;0;1
263.1;0;1
264.22;0;1
266.68;0;1
267.72;0;1
268.77;0;1
271.35;0;1
272.69;0;1
274.02;0;2
276.07;0;1
277.26;0;1
278.61;0;2
279.89;0;1
286.77;0;1
288.01;0;1
290.19;0;1
292.01;0;1
294.18;0;1
295.3;0;1
296.44;0;1
297.66;0;1
300.04;0;1
301.11;0;1
303.47;0;1
304.66;0;1
306.48;0;2
307.95;0;1
309.32;0;2
313.49;0;1
317.58;0;1
318.75;0;1
319.84;0;1
321.2;0;1
325.75;0;1
327.37;0;1
328.38;0;1
329.64;0;1
330.87;0;1
335.85;0;1
337.88;0;1
341.38;0;1
348.01;0;1
351.47;0;1
353.26;0;1
354.72;0;1
358.1;0;1
361.31;0;1
368.89;0;1
371.48;0;1
372.52;0;2
375.82;0;1
381.66;0;1
383.56;0;1
385.55;0;1
386.61;0;1
388.61;0;1
389.7;0;1
393.02;0;1
396.91;0;1
398;0;1
399.2;0;1
400.46;0;1
401.55;0;2
403.13;0;1
407.3;0;1
409.45;0;1
411.45;0;1
412.5;0;1
414.08;0;1
415.13;0;1
416.16;0;2
417.18;0;1
418.18;0;1
419.18;0;1
420.38;0;2
422.67;0;1
423.69;0;2
424.69;0;1
425.69;0;2
426.77;0;1
427.82;0;1
428.86;0;2
429.86;0;2
430.95;0;1
432.53;0;1
433.58;0;1
434.67;0;2
435.76;0;1
439.5;0;1
444.28;0;1
446.49;0;1
447.79;0;3
449.84;0;1
453.33;0;1
454.41;0;2
457.93;0;1
460.3;0;1
461.62;0;1
464.46;0;1
465.54;0;1
468.66;0;1
471.58;0;1
477.75;0;1
478.84;0;1
479.84;0;1
481.51;0;1
485.92;0;1
488.5;0;1
491.3;0;1
492.39;0;1
493.6;0;1
496.14;0;1
498.4;0;1
499.49;0;2
501.42;0;1
502.99;0;1
504.92;0;1
508.68;0;1
510.99;0;1
512.01;0;1
516.2;0;1
517.47;0;1
521.24;0;1
523.01;0;1
527.46;0;1
528.8;0;1
533.1;0;1
535.26;0;1
536.47;0;1
538.96;0;1
540;0;1
541.59;0;1
543.68;0;1
546.84;0;1
548.72;0;1
550.86;0;1
555.67;0;1
556.68;0;1
557.7;0;2
564.18;0;1
565.29;0;1
571.2;0;1
572.29;0;1
573.38;0;1
575.46;0;1
576.8;0;1
579.47;0;1
581.45;0;1
585.59;0;1
586.88;0;2
588.1;0;1
592.93;0;1
594.04;0;1
596.47;0;1
597.56;0;2
599.6;0;1
604.39;0;1
605.63;0;1
606.73;0;1
607.97;0;1
609.64;0;1
611.01;0;1
616.93;0;1
618.22;0;1
619.26;0;1
621.31;0;1
622.8;0;1
626.15;0;1
629.94;0;1
631.06;0;1
641.25;0;1
642.49;0;2
643.5;0;1
645.11;0;1
646.32;0;3
649.53;0;1
656.23;0;1
657.82;0;1
658.87;0;1
660;0;1
661.21;0;1
662.67;0;1
664.71;0;1
666.84;0;1
667.99;0;1
677.75;0;1
678.81;0;1
679.86;0;1
682.33;0;1
686.9;0;1
688.74;0;1
689.99;0;1
693.04;0;1
696.54;0;1
698.99;0;1
700.41;0;1
706.29;0;1
709.96;0;1
711.04;0;1
712.13;0;1
713.46;0;1
714.55;0;1
715.96;0;1
721.67;0;1
725.96;0;1
731.92;0;1
732.96;0;1
734.67;0;2
736.05;0;1
737.12;0;1
738.84;0;1
739.93;0;2
745.43;0;2
746.84;0;1
747.93;0;1
750.27;0;1
751.36;0;1
753.98;0;1
755.75;0;1
756.82;0;1
758.1;0;1
759.33;0;1
760.44;0;1
761.49;0;1
763.56;0;2
764.56;0;3
765.6;0;1
766.65;0;1
767.69;0;2
768.74;0;1
769.74;0;2
770.83;0;2
774.28;0;1
775.35;0;1
776.53;0;1
777.62;0;1
781.2;0;1
782.81;0;1
