#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.98;0;0;1;3;0/59.98;0/47.93,1/56.03,2/49.42;0/59.98;0/59.98,1/59.98,2/59.98;0/0;0/11,1/12,2/11;0/0;0/16,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/2,2/3
119.95;0;3;1;3;0/119.95;0/53.68,1/71.84,2/65.03;0/119.95;0/119.95,1/119.95,2/119.95;0/0;0/14,1/14,2/10;0/0;0/17,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/18,1/13,2/15
179.91;0;6;1;3;0/179.91;0/94.9,1/104.01,2/91.72;0/179.91;0/179.91,1/179.91,2/179.91;0/0;0/11,1/11,2/10;0/0;0/15,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/22,1/20,2/23
239.58;0;11;1;3;0/239.58;0/123.43,1/146.78,2/110.95;0/239.58;0/239.58,1/239.58,2/239.58;0/0;0/11,1/13,2/10;0/0;0/14,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/3;0/0;0/30,1/25,2/34
299.92;0;13;1;3;0/299.92;0/156.87,1/178.42,2/127.18;0/299.92;0/299.92,1/299.92,2/299.92;0/0;0/11,1/12,2/11;0/0;0/14,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/37,1/32,2/45
359.83;0;18;1;3;0/359.83;0/194.03,1/199,2/175.35;0/359.83;0/359.83,1/359.83,2/359.83;0/0;0/7,1/14,2/8;0/0;0/13,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/5;0/0;0/43,1/43,2/48
419.94;0;21;1;3;0/419.94;0/221.13,1/229.9,2/201.41;0/419.94;0/419.94,1/419.94,2/419.94;0/0;0/7,1/15,2/12;0/0;0/14,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/6;0/0;0/52,1/50,2/57
479.99;0;24;1;3;0/479.99;0/234.86,1/247.52,2/257.81;0/479.99;0/479.99,1/479.99,2/479.99;0/0;0/10,1/13,2/11;0/0;0/13,1/19,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/7;0/0;0/64,1/61,2/58
539.76;0;28;1;3;0/539.76;0/247.52,1/268.39,2/279.39;0/539.76;0/539.76,1/539.76,2/539.76;0/0;0/12,1/11,2/12;0/0;0/14,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/9;0/0;0/76,1/71,2/69
599.63;0;31;1;3;0/599.63;0/295.98,1/291.7,2/315.3;0/599.63;0/599.63,1/599.63,2/599.63;0/0;0/14,1/10,2/9;0/0;0/20,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/10;0/0;0/79,1/81,2/75
659.78;0;34;1;3;0/659.78;0/329.52,1/323.16,2/349.32;0/659.78;0/659.78,1/659.78,2/659.78;0/0;0/12,1/9,2/9;0/0;0/16,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/11;0/0;0/86,1/88,2/81
719.94;0;39;1;3;0/719.94;0/344.38,1/345.18,2/388.58;0/719.94;0/719.94,1/719.94,2/719.94;0/0;0/13,1/9,2/10;0/0;0/17,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/14,1/12,2/13;0/0;0/98,1/98,2/87
779.77;0;41;1;3;0/779.77;0/381.14,1/356.03,2/392.24;0/779.77;0/779.77,1/779.77,2/779.77;0/0;0/11,1/13,2/9;0/0;0/18,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/13;0/0;0/104,1/111,2/102
839.77;0;43;1;3;0/839.77;0/408.18,1/380.27,2/399.05;0/839.77;0/839.77,1/839.77,2/839.77;0/0;0/11,1/12,2/9;0/0;0/15,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/14;0/0;0/113,1/120,2/116
899.96;0;47;1;3;0/899.96;0/439.9,1/393.9,2/425.99;0/899.96;0/899.96,1/899.96,2/899.96;0/0;0/11,1/11,2/14;0/0;0/16,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/16,1/16,2/15;0/0;0/120,1/133,2/124
959.73;0;50;1;3;0/959.73;0/479.31,1/414.09,2/476.85;0/959.73;0/959.73,1/959.73,2/959.73;0/0;0/11,1/12,2/11;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/17,1/17,2/16;0/0;0/126,1/143,2/126
1019.82;0;53;1;3;0/1019.82;0/487.07,1/448.77,2/509.67;0/1019.82;0/1019.82,1/1019.82,2/1019.82;0/0;0/13,1/13,2/11;0/0;0/17,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/18,1/18,2/17;0/0;0/139,1/149,2/134
1079.81;0;56;1;3;0/1079.81;0/520.01,1/463.35,2/517.19;0/1079.81;0/1079.81,1/1079.81,2/1079.81;0/0;0/12,1/11,2/15;0/0;0/15,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/19,1/19,2/18;0/0;0/146,1/161,2/147
1139.99;0;59;1;3;0/1139.99;0/553.02,1/483.87,2/573.43;0/1139.99;0/1139.99,1/1139.99,2/1139.99;0/0;0/12,1/12,2/11;0/0;0/14,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/21,1/20,2/18;0/0;0/153,1/171,2/148
1199.64;0;62;1;3;0/1199.64;0/589.64,1/528.06,2/584.21;0/1199.64;0/1199.64,1/1199.64,2/1199.64;0/0;0/11,1/10,2/11;0/0;0/14,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/22,1/21,2/19;0/0;0/160,1/175,2/161
1259.93;0;66;1;3;0/1259.93;0/603.87,1/561.37,2/611.84;0/1259.93;0/1259.93,1/1259.93,2/1259.93;0/0;0/11,1/13,2/13;0/0;0/16,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/23,1/23,2/20;0/0;0/171,1/183,2/169
1319.7;0;70;1;3;0/1319.7;0/637.3,1/601.99,2/655.69;0/1319.7;0/1319.7,1/1319.7,2/1319.7;0/0;0/12,1/13,2/12;0/0;0/18,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/24,1/24,2/22;0/0;0/178,1/187,2/174
1379.77;0;73;1;3;0/1379.77;0/664.1,1/646.53,2/677.65;0/1379.77;0/1379.77,1/1379.77,2/1379.77;0/0;0/15,1/12,2/11;0/0;0/16,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/25,2/23;0/0;0/187,1/191,2/184
