#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
53.43;2;53.43;53.43;-9765.52
56.73;1;56.73;56.73;-9402.05
56.91;0;56.91;56.91;-9244.56
57.36;2;57.36;57.36;-9768.84
60.82;1;60.82;7.35;-9944.21
61.01;0;61.01;7.54;-9995.36
61.73;2;61.73;8.26;-10111.51
65.17;1;65.17;8.26;-10488.26
65.73;0;65.73;8.72;-10308.15
66.2;2;66.2;12.72;-10064.33
69.45;1;69.45;8.44;-10810.69
70.15;0;70.15;8.84;-10468.32
70.62;2;70.62;13.1;-10780.46
73.87;1;73.87;8.55;-11230.71
74.54;0;74.54;8.76;-10780.21
75.16;2;75.16;13.22;-11335.93
78.29;1;24.82;8.56;-11448.49
78.92;0;78.92;8.72;-10921.27
87.09;0;87.09;12.47;-11648.39
93.38;1;93.38;93.38;-9569.6
94.09;0;94.09;94.09;-8925.12
94.6;2;94.6;94.6;-9683.23
97.96;0;97.96;97.96;-9291.89
98.64;2;98.64;27.86;-10294.79
101.52;1;101.52;14.06;-10370.59
102.13;0;102.13;14.68;-8730.49
106.23;0;106.23;12.6;-9737.29
106.69;2;106.69;31.49;-11034.45
110.29;0;110.29;16.15;-9915.51
110.97;2;110.97;23.52;-11601.11
114.72;0;114.72;16.55;-10276.81
118.79;0;118.79;16.56;-10386.7
122.85;0;122.85;16.58;-11126.33
127.14;0;20.87;16.45;-9780.91
131.28;0;20.26;16.51;-11755.6
135.61;0;36.72;16.55;-11967.88
136.92;1;136.92;136.92;-9525.22
140.04;0;20.97;16.93;-11976.22
145.33;1;145.33;66.84;-9798.02
150.38;0;150.38;150.38;-9068.23
154.5;0;154.5;22.9;-9172.65
157.8;1;55.57;22.14;-10321.34
159.25;0;80.76;23.59;-9419.5
161.88;1;161.88;24.9;-11589.66
167.57;0;92.95;17.12;-10138.08
171.77;0;31.69;21.32;-9868.56
172.43;2;172.43;172.43;-9521.15
172.59;1;172.59;172.59;-9231.48
176.05;0;100.85;21.19;-10829.03
176.43;2;176.43;176.43;-9578.09
180.46;0;180.46;21.17;-11246.68
184.93;0;184.93;17.22;-11349.09
189.35;0;189.35;17.34;-11516.66
192.8;1;192.8;24.68;-10481.22
192.8;2;192.8;24.79;-10545.63
193.42;0;21.42;17;-8961.48
197.35;1;103.22;24.67;-10509.83
197.35;2;140.45;24.76;-10652.51
197.82;0;144.34;17.14;-12268.69
201.79;1;25.36;8.81;-9856.5
201.79;2;201.79;25.11;-10940.19
201.99;0;148.52;17.02;-12474.33
205.71;1;205.71;8.31;-11358.21
209.22;2;209.22;102.28;-10416.61
209.84;0;209.84;209.84;-9133.97
213.29;2;213.29;102.28;-10144.57
221.24;2;133.78;23.84;-9856.77
225.57;0;225.57;19.63;-11818.26
229.37;2;229.37;27.54;-10605.21
233.24;2;233.24;27.3;-9791.69
237.61;2;87.16;28.32;-11034.89
238.88;1;238.88;238.88;-9395.15
241.67;2;73.66;28.33;-11159.03
245.84;2;245.84;24.32;-11800.2
247.02;1;247.02;9.36;-10908.76
250.09;2;44.14;20.52;-12448.84
251.31;1;251.31;12.38;-11785.25
261.87;2;15.78;15.73;-10168.76
267.75;1;267.75;61.8;-9859.96
276.21;1;62.87;8.38;-10576.56
279.08;2;279.08;279.08;-9526
283.66;2;283.66;46;-11026.33
297.01;0;112.03;94.73;-9708.57
320.02;0;320.02;320.02;-8773.84
326.36;1;326.36;164.43;-10184.09
328.31;0;266.37;134.49;-8815.61
336.03;2;336.03;56.66;-10339.16
344.27;2;344.27;344.27;-9467.01
344.46;0;344.46;47.33;-10619.5
347.6;1;347.6;71.35;-10648.3
348.75;0;348.75;28.53;-11433.39
352.02;1;352.02;194.18;-9999.13
357.04;0;357.04;36.82;-10692.62
361.4;0;99.22;33.05;-11475.62
368.19;1;191.51;23.72;-8904.96
372.86;1;170.58;24.96;-9615.75
377.34;1;307.61;25.01;-9831.85
378.72;0;378.72;378.72;-8960.6
381.45;1;381.45;12.85;-10214.57
382.91;0;382.91;156.92;-10349.85
385.01;2;385.01;385.01;-9301.23
385.52;1;385.52;12.51;-10259.4
389.07;2;238.63;142.98;-12282.66
389.54;1;40.61;12.11;-10299.31
393.7;1;393.7;12.21;-10422.97
397.74;1;282.98;12.09;-11505.2
398.71;0;398.71;21.28;-10043.9
403;0;403;24.19;-11784.48
409.37;2;409.37;27.88;-10021.08
413.22;1;203.94;86.8;-10465.42
413.84;2;93.62;28.78;-10767.28
415.71;0;415.71;58.63;-9436.66
421.22;1;421.22;27.47;-10088.75
424.75;2;104.53;80.29;-8597.66
425.38;1;371.9;27.21;-10300.1
428;0;66.5;14.67;-11286.11
429.13;2;429.13;429.13;-9286.95
429.75;1;270.46;20.22;-9358.46
432.41;0;193.47;16.45;-11373.92
433.56;2;433.56;191.84;-11705.93
433.75;1;433.75;20.42;-9570.09
437.89;1;437.89;16.51;-9944.24
441.91;1;441.91;16.48;-10301.9
445.91;1;16.57;16.06;-9130.54
450.06;1;450.06;16.17;-10638.91
453.87;2;453.87;32.5;-10075.26
454.29;1;454.29;16.36;-10830.67
458.25;1;48.71;16.27;-10831.61
462.23;2;40.86;37.28;-9129.7
462.38;1;462.38;16.36;-10863.08
466.26;2;466.26;36.93;-10182.42
470.71;2;126.25;36.96;-10393.44
474.78;2;474.78;20.86;-10896.48
478.48;1;478.48;376.81;-9679.12
478.94;2;277.11;16.66;-11187.6
482.99;2;253.41;16.65;-11643.54
486.95;0;486.95;138.03;-10299.4
487.42;2;21.08;16.66;-9888.5
490.66;1;65.24;36.31;-11801.99
491.42;2;253.75;16.6;-11848.64
495.2;0;32.76;20.38;-9107.53
495.42;2;495.42;16.43;-12316.61
499.46;0;499.46;12.46;-10031.13
502.96;1;502.96;28.14;-9987.04
503.88;0;416.42;8.46;-10073.81
506.93;2;309.53;92.97;-10274.57
507.09;1;507.09;28.57;-10541.32
508.34;0;340.63;8.64;-10146.15
510.97;2;375.31;101.43;-9912.87
511.55;1;69.58;20.6;-11924
512.25;0;339.66;8.25;-11146.49
516.64;0;103.31;8.22;-11617.48
523.93;0;197.51;91.22;-9221.3
527.93;0;53.11;11.01;-9872.56
531;2;338.03;27.96;-9144.14
534.73;2;266.91;27.76;-9407.52
536.27;1;536.27;536.27;-9096.03
539.11;2;35.11;28.06;-9616.44
540.94;1;294.81;33.48;-11514.92
543.19;2;543.19;12.1;-9812.91
544.99;1;45.29;33.16;-8261.25
547.57;2;133.62;12.44;-9903.02
549.25;1;40.83;14.12;-12668.48
551.67;2;551.67;12.49;-9906.9
555.76;2;130.8;12.53;-9948.04
560.04;2;560.04;12.39;-11077.94
566.95;2;566.95;75.38;-10762.91
578.96;2;521.95;11.85;-10753.19
599.54;1;599.54;599.54;-8879.89
606.99;0;606.99;245.49;-9590.23
607.92;1;250.84;66.86;-11160.81
611.83;1;208.71;12.17;-10357.1
615.42;0;233.93;87.21;-11456.07
616.47;1;109.49;16.81;-11413.92
619.51;0;619.51;12.48;-11057.46
626.62;2;626.62;527.72;-9540.37
628.17;0;628.17;628.17;-8618.84
630.94;2;393.28;70.71;-9625.49
632.55;0;632.55;108.38;-10587.57
634.83;2;19.36;8.17;-11182.36
639.13;2;114.96;12.46;-10836.8
640.84;0;434.89;21.26;-9836.19
645.34;0;166.35;18.68;-10037.87
645.63;1;645.63;96.11;-9665.39
