#TimeStamp;Bot;Pod;OutputStation
40.71;5;12;1
40.96;2;1;0
44.92;5;12;1
45.1;2;1;0
48.96;5;12;1
49.05;2;1;0
53.01;5;12;1
53.35;2;1;0
57.18;5;12;1
57.81;2;1;0
61.35;5;12;1
61.77;2;1;0
65.77;5;12;1
66.1;2;1;0
66.1;3;50;2
70.1;5;12;1
70.43;2;1;0
70.43;3;50;2
74.28;5;12;1
74.52;3;50;2
78.36;4;17;0
78.44;5;12;1
78.44;3;50;2
82.15;4;17;0
82.85;3;50;2
85.94;0;3;1
86.44;4;17;0
87.27;3;50;2
90.02;0;3;1
90.31;4;17;0
94.06;0;3;1
94.11;1;40;2
94.48;4;17;0
98.08;0;3;1
98.48;1;40;2
98.52;4;17;0
102.12;0;3;1
102.52;1;40;2
102.57;4;17;0
106.21;0;3;1
106.37;1;40;2
110.29;0;3;1
110.57;1;40;2
114.33;0;3;1
114.54;1;40;2
118.37;0;3;1
118.61;1;40;2
122.42;0;3;1
122.66;1;40;2
125.88;2;4;0
126.46;0;3;1
126.7;1;40;2
130.18;2;4;0
130.51;0;3;1
130.75;1;40;2
133.83;2;4;0
134.51;0;3;1
134.79;1;40;2
138.23;2;4;0
141.18;5;59;1
142.54;2;4;0
145.25;5;59;1
146.34;2;4;0
149.25;5;59;1
150.58;2;4;0
153.45;5;59;1
157.5;5;59;1
161.55;5;59;1
162.59;3;13;2
165.55;4;31;0
166.01;5;59;1
166.85;3;13;2
169.97;4;31;0
170.39;5;59;1
170.89;3;13;2
174.39;4;31;0
174.94;3;13;2
178.4;4;31;0
179.15;3;13;2
182.49;4;31;0
183.31;3;13;2
187.29;3;13;2
191.46;3;13;2
195.7;3;13;2
200.12;3;13;2
204.54;3;13;2
206.72;0;7;1
208.99;3;13;2
210.92;0;7;1
213.41;3;13;2
214.98;0;7;1
219.4;0;7;1
220.3;1;43;2
223.8;0;7;1
224.31;2;10;0
224.35;1;43;2
227.8;0;7;1
228.35;2;10;0
228.35;1;43;2
231.85;0;7;1
232.22;1;43;2
232.47;2;10;0
236.47;1;43;2
236.76;2;10;0
238.56;5;58;1
240.6;2;10;0
242.8;5;58;1
244.8;2;10;0
246.84;5;58;1
248.84;2;10;0
250.69;5;58;1
252.91;2;10;0
254.59;5;58;1
257.33;2;10;0
258.57;5;58;1
261.44;2;10;0
262.87;5;58;1
265.65;2;10;0
266.91;5;58;1
268.16;3;25;2
270.99;5;58;1
272.29;3;25;2
272.47;4;49;0
275.41;5;58;1
276.17;3;25;2
276.74;4;49;0
280.12;3;25;2
280.78;4;49;0
284.42;4;49;0
284.42;3;25;2
288.51;4;49;0
288.83;0;57;1
288.83;3;25;2
292.83;4;49;0
293.09;0;57;1
293.09;3;25;2
296.87;4;49;0
297.21;0;57;1
297.4;3;25;2
300.92;4;49;0
301.07;0;57;1
301.79;3;25;2
305.43;0;57;1
309.41;0;57;1
309.41;1;38;2
313.47;0;57;1
313.47;1;38;2
317.27;0;57;1
317.27;1;38;2
321.41;1;38;2
321.51;0;57;1
325.51;1;38;2
325.9;0;57;1
330.32;0;57;1
334.75;0;57;1
341.95;2;52;0
346.23;2;52;0
346.54;5;2;1
350.5;2;52;0
350.5;5;2;1
354.53;2;52;0
354.59;5;2;1
358.59;2;52;0
358.88;5;2;1
362.84;2;52;0
363.01;5;2;1
367.34;5;2;1
371.43;5;2;1
375.54;5;2;1
379.59;4;29;0
379.59;5;2;1
381.26;3;3;2
383.35;4;29;0
385.3;3;3;2
387.67;4;29;0
391.52;4;29;0
395.72;4;29;0
395.72;1;27;2
400.1;4;29;0
400.1;0;32;1
400.1;1;27;2
403.81;4;29;0
404.14;0;32;1
404.14;1;27;2
408.14;4;29;0
408.14;0;32;1
408.14;1;27;2
412.48;0;32;1
412.48;1;27;2
412.56;4;29;0
416.37;0;32;1
416.56;1;27;2
416.86;4;29;0
420.6;0;32;1
420.86;1;27;2
421.03;4;29;0
424.53;0;32;1
425.03;1;27;2
425.45;4;29;0
428.86;0;32;1
429.07;1;27;2
429.9;4;29;0
433.49;1;27;2
437.91;1;27;2
441.83;1;27;2
446.04;1;27;2
450.13;2;35;0
454.18;2;35;0
458.6;2;35;0
462.15;5;15;1
463.02;2;35;0
463.02;3;2;2
466.36;5;15;1
467.2;2;35;0
467.35;3;2;2
470.78;5;15;1
471.35;2;35;0
471.35;3;2;2
474.61;5;15;1
475.54;3;2;2
475.58;2;35;0
478.82;5;15;1
497.75;4;46;0
498.22;1;50;2
501.75;4;46;0
502.98;0;24;1
505.8;4;46;0
507.13;0;24;1
509.68;4;46;0
511.3;0;24;1
513.92;4;46;0
515.27;0;24;1
517.94;4;46;0
519.35;0;24;1
521.9;4;46;0
523.04;0;24;1
525.98;4;46;0
527.38;0;24;1
530.03;4;46;0
531.42;0;24;1
533.04;3;38;2
534.07;4;46;0
535.53;0;24;1
537.28;3;38;2
538.47;4;46;0
539.74;0;24;1
541.7;3;38;2
543.85;0;24;1
545.52;2;37;0
549.8;2;37;0
551.45;5;12;1
553.81;2;37;0
555.8;5;12;1
557.85;2;37;0
559.53;5;12;1
561.49;1;54;2
561.85;2;37;0
563.83;5;12;1
565.79;1;54;2
565.92;2;37;0
567.87;5;12;1
569.59;1;54;2
570.14;2;37;0
571.92;5;12;1
573.55;1;54;2
574.25;2;37;0
575.96;5;12;1
578.29;2;37;0
580.03;5;12;1
582.34;2;37;0
584.34;5;12;1
586.38;2;37;0
588.38;5;12;1
590.47;2;37;0
594.89;2;37;0
598.93;2;37;0
602.98;2;37;0
605.45;0;51;1
607.02;2;37;0
609.81;0;51;1
611.07;2;37;0
614.2;0;51;1
618.24;0;51;1
620.4;3;20;2
622.16;0;51;1
622.91;4;6;0
624.45;3;20;2
626.16;0;51;1
627.07;4;6;0
628.87;3;20;2
630.4;0;51;1
631.49;4;6;0
632.93;3;20;2
634.45;0;51;1
635.38;4;6;0
636.91;3;20;2
639.12;4;6;0
641.09;3;20;2
643.53;4;6;0
645.13;3;20;2
647.66;4;6;0
649.55;3;20;2
652.08;4;6;0
653.97;3;20;2
656.21;4;6;0
658.2;3;20;2
660.67;4;6;0
661.87;5;31;1
662.62;3;20;2
665.04;4;6;0
665.71;5;31;1
667;3;20;2
669.91;5;31;1
671.04;3;20;2
674.03;5;31;1
675.46;3;20;2
677.93;5;31;1
678.8;2;54;0
679.68;3;20;2
681.93;5;31;1
682.87;2;54;0
686.51;1;0;2
686.71;2;54;0
690.71;1;0;2
690.8;2;54;0
694.7;1;0;2
698.38;1;0;2
702.76;1;0;2
706.52;1;0;2
708.97;0;19;1
710.8;1;0;2
712.89;0;19;1
714.85;1;0;2
716.94;0;19;1
718.89;1;0;2
721.03;0;19;1
721.84;4;46;0
722.94;1;0;2
724.99;0;19;1
726.98;1;0;2
729.17;0;19;1
730.68;1;0;2
733.59;0;19;1
735.03;1;0;2
738.01;0;19;1
739.07;1;0;2
742.05;0;19;1
743.11;1;0;2
746.47;0;19;1
747.2;1;0;2
750.53;0;19;1
751.41;1;0;2
759.84;5;20;1
762.04;2;52;0
764;5;20;1
766.2;2;52;0
768.2;5;20;1
772.21;5;20;1
775.62;3;6;2
776.23;5;20;1
779.67;3;6;2
