#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.96;0;1;1;3;0/59.96;0/45.55,1/49.47,2/50.64;0/59.96;0/59.96,1/59.96,2/59.96;0/0;0/14,1/11,2/12;0/0;0/18,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/4,1/3,2/3
119.66;0;4;1;3;0/119.66;0/76.72,1/55.64,2/71.27;0/119.66;0/119.66,1/119.66,2/119.66;0/0;0/17,1/13,2/13;0/0;0/21,1/14,2/20;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/12,1/17,2/13
179.96;0;6;1;3;0/179.96;0/84.89,1/106.22,2/96.08;0/179.96;0/179.96,1/179.96,2/179.96;0/0;0/19,1/10,2/12;0/0;0/22,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/1,2/2;0/0;0/25,1/19,2/22
239.8;0;9;1;3;0/239.8;0/132.8,1/139.38,2/132.61;0/239.8;0/239.8,1/239.8,2/239.8;0/0;0/17,1/12,2/8;0/0;0/20,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/28,1/27,2/28
299.91;0;13;1;3;0/299.91;0/150.8,1/180.11,2/142.6;0/299.91;0/299.91,1/299.91,2/299.91;0/0;0/20,1/12,2/8;0/0;0/22,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/40,1/31,2/42
359.94;0;16;1;3;0/359.94;0/199.45,1/217.38,2/156.51;0/359.94;0/359.94,1/359.94,2/359.94;0/0;0/14,1/11,2/11;0/0;0/20,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/5;0/0;0/42,1/37,2/53
419.77;0;22;1;3;0/419.77;0/217.31,1/240.99,2/201.69;0/419.77;0/419.77,1/419.77,2/419.77;0/0;0/17,1/9,2/10;0/0;0/17,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/8,2/7;0/0;0/54,1/47,2/57
479.86;0;25;1;3;0/479.86;0/253.32,1/247.8,2/208.75;0/479.86;0/479.86,1/479.86,2/479.86;0/0;0/14,1/13,2/10;0/0;0/18,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/8;0/0;0/60,1/61,2/71
539.88;0;28;1;3;0/539.88;0/261.86,1/285.03,2/252.92;0/539.88;0/539.88,1/539.88,2/539.88;0/0;0/16,1/9,2/9;0/0;0/18,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/9;0/0;0/73,1/67,2/75
599.77;0;30;1;3;0/599.77;0/309.12,1/292.36,2/271.23;0/599.77;0/599.77,1/599.77,2/599.77;0/0;0/13,1/13,2/13;0/0;0/17,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/9,1/11,2/10;0/0;0/76,1/81,2/86
660;0;33;1;3;0/660;0/328.84,1/342.96,2/312.05;0/660;0/660,1/660,2/660;0/0;0/13,1/9,2/9;0/0;0/18,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/12,2/11;0/0;0/87,1/83,2/91
719.93;0;36;1;3;0/719.93;0/340.69,1/347.05,2/323.49;0/719.93;0/719.93,1/719.93,2/719.93;0/0;0/12,1/12,2/7;0/0;0/19,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/13;0/0;0/99,1/97,2/104
779.61;0;40;1;3;0/779.61;0/359.48,1/382.74,2/342.72;0/779.61;0/779.61,1/779.61,2/779.61;0/0;0/11,1/9,2/8;0/0;0/15,1/13,2/10;0/0;0/2,1/2,2/2;0/0;0/12,1/14,2/14;0/0;0/110,1/104,2/115
839.9;0;43;1;3;0/839.9;0/365.9,1/398.95,2/377.08;0/839.9;0/839.9,1/839.9,2/839.9;0/0;0/11,1/9,2/10;0/0;0/15,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/13,1/15,2/15;0/0;0/124,1/115,2/121
900;0;46;1;3;0/900;0/385.24,1/411.18,2/408.13;0/900;0/900,1/900,2/900;0/0;0/13,1/10,2/11;0/0;0/16,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/14,1/16,2/16;0/0;0/135,1/128,2/129
959.88;0;49;1;3;0/959.88;0/422.54,1/433.63,2/462.63;0/959.88;0/959.88,1/959.88,2/959.88;0/0;0/11,1/9,2/11;0/0;0/17,1/17,2/13;0/0;0/2,1/2,2/2;0/0;0/15,1/17,2/17;0/0;0/140,1/137,2/130
1019.81;0;55;1;3;0/1019.81;0/445.78,1/462.09,2/499.51;0/1019.81;0/1019.81,1/1019.81,2/1019.81;0/0;0/13,1/10,2/12;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/17,1/19,2/19;0/0;0/150,1/146,2/136
1079.95;0;59;1;3;0/1079.95;0/469.38,1/472.83,2/551.77;0/1079.95;0/1079.95,1/1079.95,2/1079.95;0/0;0/10,1/12,2/12;0/0;0/15,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/18,1/20,2/21;0/0;0/160,1/159,2/139
1140;0;62;1;3;0/1140;0/491.53,1/517.88,2/596.82;0/1140;0/1140,1/1140,2/1140;0/0;0/15,1/9,2/12;0/0;0/18,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/19,1/21,2/22;0/0;0/169,1/162,2/142
1199.82;0;65;1;3;0/1199.82;0/539.8,1/546.93,2/633.92;0/1199.82;0/1199.82,1/1199.82,2/1199.82;0/0;0/9,1/9,2/11;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/20,1/22,2/23;0/0;0/172,1/170,2/148
1259.78;0;70;1;3;0/1259.78;0/583,1/564.83,2/674.53;0/1259.78;0/1259.78,1/1259.78,2/1259.78;0/0;0/11,1/10,2/10;0/0;0/18,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/22,1/23,2/25;0/0;0/177,1/181,2/153
1319.66;0;72;1;3;0/1319.66;0/588.04,1/593.63,2/713.77;0/1319.66;0/1319.66,1/1319.66,2/1319.66;0/0;0/13,1/11,2/9;0/0;0/17,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/22,1/24,2/26;0/0;0/191,1/189,2/159
1379.68;0;76;1;3;0/1379.68;0/629.16,1/617.58,2/736.68;0/1379.68;0/1379.68,1/1379.68,2/1379.68;0/0;0/13,1/10,2/9;0/0;0/15,1/15,2/11;0/0;0/2,1/2,2/2;0/0;0/23,1/26,2/27;0/0;0/196,1/199,2/168
1439.99;0;78;1;3;0/1439.99;0/685.55,1/621.49,2/785.7;0/1439.99;0/1439.99,1/1439.99,2/1439.99;0/0;0/14,1/11,2/11;0/0;0/16,1/14,2/11;0/0;0/2,1/2,2/2;0/0;0/24,1/26,2/28;0/0;0/197,1/213,2/171
1499.8;0;81;1;3;0/1499.8;0/733.68,1/661.5,2/838.67;0/1499.8;0/1499.8,1/1499.8,2/1499.8;0/0;0/11,1/10,2/7;0/0;0/15,1/14,2/11;0/0;0/2,1/2,2/2;0/0;0/25,1/27,2/29;0/0;0/200,1/218,2/173
1559.77;0;85;1;3;0/1559.77;0/771.89,1/676.94,2/845.52;0/1559.77;0/1559.77,1/1559.77,2/1559.77;0/0;0/11,1/11,2/10;0/0;0/15,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/27,1/29,2/29;0/0;0/206,1/231,2/187
1619.94;0;88;1;3;0/1619.94;0/785.71,1/700.42,2/896.69;0/1619.94;0/1619.94,1/1619.94,2/1619.94;0/0;0/13,1/9,2/8;0/0;0/15,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/28,1/30,2/30;0/0;0/218,1/240,2/189
1679.75;0;92;1;3;0/1679.75;0/823.66,1/758.93,2/917.46;0/1679.75;0/1679.75,1/1679.75,2/1679.75;0/0;0/14,1/8,2/11;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/30,1/30,2/32;0/0;0/224,1/240,2/199
1739.94;0;96;1;3;0/1739.94;0/871.11,1/766.58,2/966.34;0/1739.94;0/1739.94,1/1739.94,2/1739.94;0/0;0/10,1/6,2/11;0/0;0/14,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/31,1/32,2/33;0/0;0/227,1/254,2/202
1799.72;0;99;1;3;0/1799.72;0/895.22,1/773.96,2/1014.77;0/1799.72;0/1799.72,1/1799.72,2/1799.72;0/0;0/10,1/10,2/9;0/0;0/13,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/32,1/33,2/34;0/0;0/237,1/268,2/205
