#TimeStamp;Runtime;Requests
0.88;0;6
1.88;0;1
3.55;0;1
4.85;0;1
5.98;0;2
7.07;0;2
8.45;0;2
9.74;0;1
10.88;0;2
12.58;0;1
13.97;0;2
14.97;0;2
15.97;0;1
17.05;0;1
18.08;0;1
19.08;0;1
20.12;0;2
21.17;0;1
23.26;0;1
24.7;0;1
26.68;0;1
27.75;0;2
30;0;1
31.88;0;1
33.25;0;2
34.42;0;3
35.92;0;1
37;0;1
38.25;0;2
42.26;0;1
43.75;0;1
45.56;0;1
47.71;0;1
49;0;1
51.26;0;1
52.64;0;1
55.68;0;1
57.43;0;1
58.77;0;1
60.92;0;1
63.47;0;1
64.48;0;1
66.97;0;1
72.45;0;1
76.43;0;1
81.29;0;1
83.96;0;1
85.27;0;1
86.82;0;1
87.94;0;1
94.21;0;1
96.32;0;1
97.86;0;2
100.93;0;1
103.02;0;1
104.11;0;1
106.6;0;1
109.9;0;1
110.99;0;1
112.12;0;1
113.19;0;1
114.28;0;1
115.37;0;1
116.73;0;1
120.21;0;1
123.44;0;1
124.53;0;1
125.65;0;1
126.99;0;1
128.07;0;2
130.53;0;1
133.65;0;1
134.9;0;2
136.15;0;1
137.23;0;1
138.81;0;1
139.9;0;1
141.36;0;1
142.53;0;1
145.74;0;1
148.19;0;1
149.5;0;1
151.78;0;1
152.79;0;1
154.79;0;1
156.08;0;1
157.32;0;1
159.58;0;1
160.82;0;1
163.03;0;1
164.09;0;1
166.53;0;1
168.41;0;1
170.26;0;1
173.25;0;1
174.3;0;1
180.04;0;1
181.14;0;1
182.99;0;1
184.64;0;1
188.49;0;1
191.31;0;1
196.05;0;1
201.44;0;2
203.58;0;1
204.72;0;1
206.3;0;1
207.75;0;1
209.23;0;3
213.36;0;1
214.64;0;2
218.14;0;1
219.28;0;1
220.36;0;1
221.44;0;1
222.77;0;1
224.07;0;1
225.35;0;1
228.02;0;1
230.6;0;1
232.44;0;1
233.44;0;1
235.02;0;1
236.27;0;1
239.58;0;1
245.03;0;1
247.7;0;1
249.75;0;1
250.84;0;1
252.84;0;1
254.37;0;2
255.46;0;1
259.67;0;1
262.54;0;1
263.59;0;1
264.68;0;1
266.96;0;1
268.05;0;1
269.76;0;1
273.65;0;2
277.21;0;1
278.3;0;1
279.37;0;1
280.47;0;1
281.56;0;1
283.14;0;1
284.64;0;1
285.73;0;1
287.78;0;1
296.57;0;1
298.23;0;1
299.57;0;1
300.75;0;1
303.78;0;1
304.84;0;1
307.03;0;1
308.33;0;1
309.38;0;1
313.83;0;1
317.29;0;1
318.37;0;1
320.53;0;1
321.72;0;1
324.39;0;1
328.5;0;1
332.04;0;1
334.62;0;1
338.75;0;1
341.58;0;1
348.02;0;1
349.85;0;1
353.3;0;1
354.43;0;1
357.15;0;1
358.19;0;1
359.28;0;1
360.41;0;1
363.94;0;1
364.94;0;1
366.61;0;1
368.25;0;1
369.41;0;1
370.63;0;1
371.72;0;1
372.74;0;1
373.83;0;1
375.41;0;1
377.67;0;1
381.46;0;1
383.31;0;1
384.54;0;2
386.02;0;1
387.21;0;1
389.18;0;1
391.75;0;1
393.76;0;1
395.71;0;1
397.26;0;1
398.6;0;1
399.89;0;2
401.34;0;1
402.59;0;1
404.01;0;1
405.26;0;1
406.51;0;1
407.93;0;1
409.15;0;1
410.23;0;1
415.58;0;1
416.86;0;1
418.05;0;1
419.05;0;1
420.09;0;1
421.48;0;1
422.57;0;1
423.61;0;1
424.69;0;1
430.32;0;1
431.53;0;2
432.62;0;1
437.41;0;1
439.82;0;1
441.77;0;1
444.28;0;1
449.82;0;1
452.49;0;1
453.83;0;1
454.86;0;1
456.61;0;2
457.7;0;1
458.74;0;1
465.28;0;1
466.65;0;1
469.03;0;1
470.12;0;1
471.45;0;1
473.21;0;1
476.76;0;1
479.21;0;1
480.46;0;2
481.84;0;1
485.29;0;1
487.87;0;1
489.29;0;1
491.47;0;2
492.56;0;2
495.23;0;1
496.31;0;1
499.8;0;1
502.18;0;1
503.22;0;1
504.26;0;1
505.68;0;1
506.77;0;1
507.8;0;1
510.27;0;1
511.6;0;1
514.53;0;1
517.97;0;1
524.44;0;1
525.44;0;1
526.61;0;1
528.11;0;1
529.11;0;2
536.66;0;1
537.75;0;1
540.42;0;1
541.45;0;1
542.87;0;2
544.45;0;1
545.49;0;1
549.95;0;1
550.99;0;1
555.66;0;1
558.17;0;1
563.87;0;1
566.55;0;1
567.83;0;1
569.13;0;1
571.33;0;1
572.63;0;1
576.55;0;2
578.05;0;1
580.13;0;1
581.3;0;1
584.02;0;1
588.22;0;1
589.72;0;1
590.85;0;2
591.94;0;1
594.13;0;1
595.22;0;1
596.78;0;1
600.12;0;1
601.16;0;1
604.03;0;1
605.21;0;1
607.88;0;1
609.17;0;1
610.37;0;1
611.76;0;1
612.94;0;1
613.96;0;1
615.89;0;1
618.56;0;1
620.56;0;1
621.58;0;2
623.48;0;1
624.67;0;1
625.92;0;1
626.93;0;2
628.02;0;1
629.4;0;3
630.67;0;2
635.51;0;1
638.24;0;1
639.27;0;2
641.22;0;1
643.07;0;1
644.3;0;1
649.09;0;1
650.1;0;1
651.18;0;1
652.31;0;2
654.43;0;1
658.48;0;1
663.5;0;1
664.59;0;1
668.08;0;1
669.77;0;1
673.57;0;1
675.79;0;1
676.87;0;1
678.45;0;1
680.36;0;1
681.45;0;1
682.68;0;1
690.03;0;1
691.39;0;1
694.06;0;1
695.8;0;1
699.3;0;1
700.69;0;1
703.94;0;1
705.16;0;1
707.27;0;1
708.31;0;2
709.36;0;1
713.05;0;1
716.86;0;1
717.95;0;2
719.04;0;1
721.42;0;1
728.1;0;1
729.13;0;1
730.22;0;1
731.23;0;1
732.26;0;1
738.76;0;1
739.82;0;1
741.19;0;1
742.28;0;1
746.91;0;1
748.99;0;1
