#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.42
59.81;200;200;0;53.66;0;59.81;0;0.43
119.67;200;200;0;88.14;0;109.44;0;0.4
179.97;200;200;0;120.1;0;171.56;0;0.41
239.89;200;200;0;158.21;0;224.74;0;0.28
299.92;200;200;0;185.47;0;244.23;0;0.35
359.64;200;200;0;204.47;0;333.21;0;0.25
419.85;200;200;0;205.07;0;352.22;0;0.3
479.62;200;200;0;212.74;0;396.69;0;0.42
539.94;200;200;0;222.22;0;419.68;0;0.35
599.65;200;200;0;240.18;0;435.94;0;0.35
660;200;200;0;232.61;0;477.35;0;0.32
719.97;200;200;0;275.63;0;536.71;0;0.31
779.96;200;200;0;278.66;0;512.68;0;0.39
839.98;200;200;0;320.13;0;555.75;0;0.46
899.69;200;200;0;367.34;0;638.55;0;0.44
959.77;200;200;0;403.26;0;702.96;0;0.39
1019.68;200;200;0;373.77;0;770.4;0;0.38
1079.97;200;200;0;422.89;0;844.27;0;0.36
1139.93;200;200;0;397.49;0;767.55;0;0.46
1199.9;200;200;0;430.46;0;886.45;0;0.48
1259.92;200;200;0;460.83;0;937.76;0;0.49
1319.85;200;193;0;472.11;0;1023.79;0;0.4
1379.74;200;184;0;421.3;0;1076.85;0;0.41
1439.96;200;172;0;440.53;0;1096.67;0;0.46
1499.87;200;161;0;467.26;0;1098.77;0;0.44
1559.83;200;150;0;461.82;0;1244.71;0;0.39
1619.95;200;137;0;521.9;0;1308.83;0;0.38
1679.92;200;133;0;546.34;0;1404.89;0;0.45
1739.78;200;120;0;500.81;0;1348.49;0;0.48
1799.99;200;104;0;517.15;0;1517.03;0;0.38
