#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
46.3;0;46.3;46.3;-8853.54
52.96;2;52.96;52.96;-9758.31
54.05;1;54.05;54.05;-9350.03
58.72;1;58.72;58.72;-9573.58
58.76;0;58.76;58.76;-9285.04
62.59;1;62.59;9.58;-10111.73
65.43;2;65.43;65.43;-9753.53
67.22;1;14.22;12.88;-9377.16
69.6;2;69.6;23.04;-10206.38
71.23;0;71.23;18.22;-10001.86
71.6;1;17.26;12.83;-9600.81
73.6;2;73.6;20.59;-10575.09
75.39;0;75.39;16.43;-10367.22
75.55;1;75.55;12.59;-10385.12
79.78;1;79.78;12.4;-11169.39
81.41;2;81.41;15.94;-10683.49
83.73;1;83.73;12.01;-11667.81
85.96;2;85.96;16.24;-10765.12
90.05;2;90.05;16.29;-10977.96
90.98;1;90.98;90.98;-9321.29
94.15;2;94.15;12.34;-11332.99
98.66;2;98.66;12.65;-11866.12
100.84;0;100.84;100.84;-9238.48
107.14;1;107.14;23.15;-10542.02
108.84;0;108.84;14.48;-10745.9
111.07;1;52.11;20.76;-11553.33
112.99;0;112.99;12.05;-11560.82
113.32;2;113.32;113.32;-9572.92
115.25;1;49.78;24.18;-11771.89
117.5;2;117.5;117.5;-9708.7
125.54;2;125.54;26.81;-11389.04
129.59;2;129.59;18.36;-9713.93
133.74;2;43.42;20.09;-10343.2
155.14;1;155.14;155.14;-9513.12
159.36;1;159.36;48.13;-9865.57
163.3;0;163.3;163.3;-9226.54
167.55;1;167.55;12.36;-10291.02
167.66;0;167.66;8.17;-9948.82
171.95;0;171.95;8.29;-12257.75
178.67;0;178.67;178.67;-8747.78
182.93;0;182.93;182.93;-8910.93
187.01;0;187.01;73.98;-9854.69
187.48;2;187.48;93.12;-9755.88
191.36;0;78.32;19.23;-9808.53
192.15;2;80.92;66.41;-11496.61
195.15;0;27.49;16.18;-10511.47
199.45;0;199.45;20.48;-10398.13
202.4;1;202.4;202.4;-9431.63
203.45;0;131.73;20.44;-10983.63
204.08;2;204.08;17.02;-10796.11
207.31;0;207.31;20.25;-11498.7
208.51;2;161.96;20.71;-12602.67
210.31;1;50.81;42.65;-10280.66
211.68;0;211.68;20.2;-12204.52
214.85;1;103.62;27.79;-12004.94
219.31;2;219.31;219.31;-9496.77
223.72;2;93.94;89.89;-9927.9
236.28;0;236.28;236.28;-8782.93
244.03;2;244.03;32.3;-9759.82
248.11;2;248.11;28.43;-10840.85
251.87;1;165.86;92.37;-9700.89
252.53;2;252.53;28.76;-12169.8
252.57;0;252.57;48.96;-10582
256.35;1;256.35;256.35;-9405.78
264.92;1;264.92;54.28;-10042.7
264.96;0;151.31;28.44;-11600.3
274;2;274;69.65;-10446.93
276.85;1;276.85;28.7;-10089.4
278.01;2;278.01;278.01;-9560.21
280.98;1;280.98;28.87;-10252.99
284.98;1;284.98;28.45;-10294.39
289.17;1;289.17;24.21;-10833.01
293.5;1;93.94;16.47;-11203.49
294.52;2;294.52;20.47;-11382.46
295.23;0;295.23;295.23;-9006.23
297.97;1;297.97;16.89;-11341.86
298.59;2;62.07;24.54;-10303.66
301.97;1;301.97;16.83;-11744.07
302.59;2;93.95;24.5;-12149.43
307.01;2;307.01;12.45;-12315.54
311.15;0;311.15;17.52;-10070.98
312.76;1;312.76;197.47;-9991.65
315.66;0;315.66;20.2;-10606.87
316.91;1;316.91;23.27;-10567.28
320.22;0;320.22;8.72;-11032.83
325.03;1;325.03;26.98;-10859.9
329.66;2;77.55;77.09;-8375.3
333.16;1;68.12;21.66;-11854.87
333.79;2;333.79;125.15;-10527.96
338.24;2;90.08;35.55;-9594.51
345.13;0;345.13;92.51;-11139.21
350.39;2;350.39;25.2;-10529.74
354.83;2;98.3;25.08;-10538.19
359.3;2;29.55;25.41;-9803.21
363.19;2;281.38;24.88;-11266.34
367.53;2;179.73;16.8;-11609.72
371.62;2;371.62;16.47;-11690.69
385.41;1;385.41;385.41;-9033.11
387.79;0;387.79;387.79;-8830.82
389.65;1;202.59;87.52;-9756.9
392.23;0;392.23;46.97;-10937.32
393.17;2;393.17;393.17;-9300.4
393.88;1;393.88;76.73;-10297.72
397.53;2;397.53;397.53;-9356.98
402.17;2;215.11;38.63;-11048.98
402.34;1;402.34;69.1;-9923.73
406.34;1;104.21;20.64;-8248.95
410.34;1;112.29;24.64;-10065.87
414.83;1;414.83;25.09;-10090.35
418.97;1;324.61;24.88;-10269.81
423.54;1;170.97;21.14;-10342.81
427.64;1;427.64;21.18;-10781.24
428.6;0;428.6;163.56;-11617.44
432.1;1;341.03;21.48;-11374.33
440.6;0;187.98;48.23;-8861.85
445.19;0;111.3;17.43;-9177.2
447.82;1;447.82;122.62;-10710.93
449.48;0;47.08;20.51;-9881.92
449.48;2;449.48;51.61;-11206.03
451.79;1;228.02;28.19;-9455.95
453.62;0;159.98;12.6;-10944.12
453.62;2;453.62;86.03;-9849.59
455.88;1;190.92;28.12;-9643.72
457.83;0;12.39;12.05;-10097.37
457.83;2;457.83;55.53;-10071.3
461.92;2;461.92;16.49;-10586.49
463.59;1;463.59;18.16;-9828.81
465.92;2;110.77;16.15;-10968.06
467.08;0;141.89;79;-8576.05
467.72;1;165.03;19.85;-10348.25
471.58;0;471.58;263.92;-9695.41
471.72;1;30.7;19.81;-10398.99
476.08;1;476.08;20.13;-10547.64
476.59;2;476.59;346.81;-8294.27
480;0;480;26.09;-10661.14
480.13;1;480.13;16.13;-11556.43
480.58;2;199.49;22.62;-10352.62
484.08;0;60.49;26.13;-8012.49
484.13;1;484.13;16.09;-12327.9
487.88;0;487.88;23.88;-9918.19
488.97;2;194.4;22.93;-10193.34
492.3;0;38.39;24.84;-10000.52
493.09;2;493.09;16.96;-10207.84
496.88;0;203.25;25.17;-11427.07
497.47;2;497.47;20.56;-11835.15
500.6;1;500.6;68.42;-9728.33
501.43;0;53.57;21.34;-11506.65
516.94;1;329.88;36.77;-10507.91
525.53;1;80.09;28.48;-10295.14
529.26;1;41.04;28.38;-10778.71
543.42;2;543.42;54.41;-10189.34
547.82;2;547.82;547.82;-9282.7
556.22;0;556.22;344.49;-10118.97
557.27;1;250.16;73.05;-9549.84
560.65;0;96.65;63.6;-9280.51
569.65;1;569.65;13.18;-9968.82
575.94;2;575.94;78.43;-9276.44
576.48;0;87.47;28.6;-10928.27
580.9;0;33.02;24.43;-11106.03
585.54;0;585.54;24.74;-11487.74
588.47;2;276.97;216.46;-9769.3
589.93;0;13.87;13.09;-11055.73
596.46;2;138.51;53;-10068.51
605.46;0;203.17;117.25;-9653.33
608.64;2;388.96;32.58;-9905.2
609.46;0;292.31;116.83;-10361.58
613.38;2;116.34;37.32;-9525.06
613.46;0;23.46;7.75;-9479.56
616.47;1;342.42;86.83;-9628.52
617.64;2;617.64;29.13;-10330.74
617.8;0;413.44;12.09;-9971.4
620.51;1;620.51;540.69;-10107.46
621.51;2;153.47;24.88;-10424.83
621.85;0;155.81;12.09;-10479.02
624.56;1;624.56;624.56;-9038.42
625.68;2;161.68;16.63;-10549.24
630.13;2;41.62;16.67;-11813.96
636.22;1;79.75;66.25;-9004.84
645.91;2;466.95;338.81;-11666.01
649.95;2;649.95;156.52;-8999.65
654.08;2;226.32;32.24;-10150.68
661.99;2;181.9;36.1;-10287.95
664.32;0;664.32;78.74;-9458.9
665.95;2;510.76;35.7;-10426.42
669.91;2;623.36;23.91;-8822.04
674.29;2;575.56;28.29;-9160
678.36;2;678.36;28.31;-9677.74
680.5;0;204.37;18.27;-10128.11
682.2;2;185.15;28.07;-9809.9
684.96;0;229.01;20.35;-10224.18
686.36;2;686.36;24.13;-10008.24
689.43;0;291.55;8.75;-10784.34
690.3;2;232.35;24.03;-10056.26
691.43;1;691.43;165.83;-9380.68
693.47;0;693.47;8.38;-10840.55
694.35;2;72.5;24.03;-10115.79
695.28;1;118.44;70.39;-10000.33
697.4;0;221.27;7.89;-11132.16
698.39;2;266.21;24.03;-10560.13
699.69;1;123.62;10.17;-11824.15
701.7;0;701.7;8.06;-11196.95
702.67;2;312.93;24.26;-10699.02
705.91;0;135.93;8.23;-11304.28
707.1;2;543.44;24.65;-10713.39
711.37;2;711.37;24.88;-10926.61
711.61;1;437.56;90.77;-9951.02
714.44;0;418.98;92.55;-10510.56
715.49;2;189.89;24.94;-11068.1
718.91;0;718.91;672.35;-10067.45
719.66;1;547.53;12.51;-10224.9
723.69;1;597.95;11.96;-10279.29
725.94;2;725.94;178.05;-10408.65
727.98;1;407.71;8.21;-10291.96
729.94;2;278.03;31.31;-9610.18
731.06;0;68.83;19.49;-9110.5
731.78;1;616.48;7.84;-10439.92
735.2;0;735.2;20.66;-9695.25
736.07;1;635.13;8.05;-10498.25
739.63;0;739.63;20.67;-11482
740.32;1;239.44;8.26;-11128.58
745.92;2;38.77;21.98;-10392.97
750.01;2;136.55;24.03;-12921.26
778.01;0;172.3;72.01;-10625.45
786.13;0;418.54;7.92;-10309.15
790.71;0;247.24;12.5;-10196.53
794.97;0;76.01;8.61;-12276.82
795.2;2;795.2;401.74;-9715.25
799.47;2;405.38;87.9;-10312.48
802.7;1;802.7;102.97;-9508.32
807.13;1;201.41;190.41;-9147.22
811.54;2;418.08;61.42;-10770.02
813.92;0;111.2;74.18;-9595.84
815.22;1;193.33;74.69;-10186.58
819.64;1;431.57;20.1;-9303.82
819.64;2;481.33;28.87;-9581.25
823.68;1;478.42;20.63;-11281.27
823.68;2;823.68;28.42;-9850.34
826.21;0;180.21;18.88;-8751.56
827.93;2;827.93;28.38;-10735.99
830.65;0;282.77;16.69;-9449.58
832.14;1;425.69;24.81;-11315.21
834.68;0;204.42;8.42;-10032.68
835.26;2;185.21;119.65;-10299.04
836.56;1;343.92;20.97;-11319.52
839.23;0;839.23;8.53;-10486.23
839.27;2;185.14;93.2;-10393.51
840.77;1;204.5;21.05;-11379.05
843.02;0;102.48;8.18;-10776.89
844.97;1;769.42;20.97;-11450.23
847.37;0;135.8;8.09;-11177.07
848.98;1;159.46;16.77;-11486.96
851.45;0;127.51;8.11;-11323.61
853.41;1;355.9;16.78;-11579.35
855.11;2;68.75;31.11;-11782.42
857.5;1;857.5;16.45;-11940.99
861.92;1;305.44;16.57;-11948.92
862.15;0;134.12;126.83;-9521.76
863.24;2;55.91;32.55;-9449.69
867.24;2;36.55;31.94;-9384.72
870.4;0;776.04;18.57;-10283.4
871.24;2;387.02;31.89;-9478.22
875.12;0;875.12;16.98;-9614.89
875.54;2;190.45;20.13;-9827.61
877.3;1;877.3;181.62;-9250.41
879.51;0;799.69;17.11;-9905.39
879.6;2;40.26;16.15;-10500.98
883.18;0;883.18;12.36;-10368.42
883.65;2;354;16.15;-11149.17
885.41;1;885.41;27.69;-9245.11
887.26;0;887.26;12.02;-10741.52
887.69;2;34.24;16.15;-11782.66
889.51;1;889.51;14.27;-9582.6
891.62;0;92.07;12.06;-11143.02
893.66;1;893.66;16.12;-10410.91
895.71;0;16.06;12.11;-10737.4
900;2;10.35;10.31;-12519.83
903.59;0;48.18;15.95;-11382.76
907.27;2;907.27;200.13;-10082.85
907.9;0;129.69;16.21;-11390.68
911.77;2;120.99;92.06;-9750.63
912.27;0;196.66;16.52;-11879.48
916.43;0;8.83;8.58;-10432.13
928.95;0;12.27;11.94;-11096.22
939.09;1;258.42;85.64;-10842.31
940.88;0;491.1;439.4;-9137.49
943.14;1;272.82;80.99;-9345.2
944.82;0;101.47;28.14;-9855.49
951.97;1;63.93;12.83;-10269.86
956.2;1;17.07;16.65;-10896.3
975.95;1;124.12;82.24;-8750.32
980;1;244.68;27.98;-11111.44
984.23;1;374.47;27.79;-11111.07
988.32;1;47.31;12.04;-9371.69
988.88;2;988.88;286.16;-9565.65
993;2;80.37;8.64;-10808.4
998.17;0;127.35;57.17;-10049.01
1000;2;1000;1000;-8805.08
1002.3;0;167.46;89.67;-12009.55
1004.1;2;126.55;92.24;-10282.34
1006.1;0;110.34;7.77;-9655.93
1010.43;0;26.06;12.1;-9579.84
1012.15;2;35.87;13.82;-10942.08
1014.71;0;16.38;12.34;-10127.43
1019.02;0;14.65;12.61;-10081.33
1023.2;0;78.16;12.73;-10161.96
1027.56;0;365.33;12.67;-10174.48
1031.48;0;211.77;12.19;-10325.39
1035.8;0;289.73;12.2;-10398.9
1040;0;1040;12.32;-10580.94
1047.09;0;836.46;429.25;-10018.12
1050.62;1;1050.62;66.26;-9514.95
1051.36;0;1051.36;461.35;-9145.86
1054.62;1;340.08;78.34;-9370.1
1058.87;1;1058.87;70.46;-8932.49
1059.33;0;1059.33;23.48;-9990.33
1062.96;1;1062.96;15.45;-10132.57
1067.37;1;110.94;16.68;-12316.04
1071.3;2;365.3;183.26;-10114.85
1071.42;0;1071.42;23.91;-9672.39
1075.39;1;742.15;599.26;-9590.79
1075.44;0;47.75;27.93;-9235.59
1079.71;0;86.46;28.16;-10906.83
1083.42;2;99.05;71;-9982.39
1083.71;0;24.55;24.09;-10693.04
1087.6;1;1087.6;24.31;-9465.83
1087.6;2;89.27;83.22;-8963.43
1087.71;0;72.81;16.04;-11068.89
1091.57;1;957.73;24.03;-10060.27
1091.84;0;256.54;16.13;-11509.58
1095.78;2;250.43;28.24;-9928.97
1095.84;1;1095.84;24.47;-10948
1095.88;0;93.51;16.13;-11783.91
1099.56;2;241.84;28.19;-11058.68
1099.93;0;12.22;12.09;-10320.65
1103.93;0;8.09;8.04;-11034.61
1107.82;1;11.93;11.89;-11380.92
1118.86;0;1118.86;173.81;-10213.41
1122.77;2;629.34;238.77;-9688.58
1126.61;2;1126.61;219.02;-10070.37
1126.95;0;440.45;35.06;-10020.13
1130.95;0;39.06;30.97;-10268.13
1134.71;2;394.98;15.81;-10018.17
1146;1;262;58.3;-10432.22
1150.76;1;1150.76;935.86;-10796.49
1173.92;1;1173.92;284.27;-9219.51
1178.17;0;1178.17;59.27;-9509.24
1178.9;2;1178.9;52;-9288.94
1182.12;1;1182.12;35.76;-9246.53
1182.88;0;597.3;387.69;-9792.17
1183.35;2;1183.35;190.1;-9666.15
1187.25;0;68.35;13.09;-10176.61
1187.35;2;52.4;12.86;-10730.5
1190.63;1;123.09;16.46;-9537.12
