#TimeStamp;Bot;Pod;OutputStation
40;4;47;0
51.09;5;41;1
52.27;2;5;0
55.38;5;41;1
56.1;3;11;2
56.14;2;5;0
59.8;5;41;1
60;3;11;2
60.14;2;5;0
64;5;41;1
64.14;3;11;2
64.32;2;5;0
68.14;5;41;1
68.18;3;11;2
68.47;2;5;0
72.01;5;41;1
72.23;3;11;2
72.64;2;5;0
76.18;5;41;1
76.59;3;11;2
76.74;2;5;0
80.59;5;41;1
80.74;3;11;2
81.16;2;5;0
84.92;3;11;2
85.58;2;5;0
87.38;0;37;1
89.25;3;11;2
89.62;2;5;0
91.58;0;37;1
94;2;5;0
95.57;0;37;1
97.05;1;31;2
98.42;2;5;0
99.55;0;37;1
101.09;1;31;2
102.71;2;5;0
103.6;0;37;1
105.13;1;31;2
107.68;0;37;1
108.77;1;31;2
110.56;4;32;0
112.1;0;37;1
112.77;1;31;2
114.72;4;32;0
117.22;1;31;2
118.73;4;32;0
122.77;4;32;0
153.2;5;6;1
157.29;5;6;1
161.07;5;6;1
165.35;5;6;1
169.33;5;6;1
170.08;3;20;2
173.24;5;6;1
174.23;3;20;2
177.28;2;53;0
177.4;5;6;1
178.65;3;20;2
181.33;2;53;0
181.74;5;6;1
182.83;3;20;2
185.46;2;53;0
186.16;5;6;1
187.22;3;20;2
189.67;2;53;0
190.34;5;6;1
191.01;3;20;2
193.89;2;53;0
194.5;5;6;1
195.22;3;20;2
197.94;2;53;0
198.74;5;6;1
199.16;3;20;2
201.94;2;53;0
203.18;5;6;1
203.27;3;20;2
206.36;2;53;0
207.2;5;6;1
207.27;3;20;2
211.27;3;20;2
213.98;4;3;0
214.77;0;34;1
218.15;4;3;0
218.58;1;41;2
219.04;0;34;1
221.96;4;3;0
222.62;1;41;2
223.1;0;34;1
225.98;4;3;0
226.67;1;41;2
227.28;0;34;1
230.62;1;41;2
231.52;0;34;1
234.33;1;41;2
235.42;0;34;1
278.42;3;52;2
282.58;3;52;2
291.08;5;56;1
295.13;5;56;1
299.18;5;56;1
301.09;2;21;0
303.57;5;56;1
305.13;2;21;0
307.64;5;56;1
309.55;2;21;0
309.97;1;47;2
312.09;5;56;1
313.97;2;21;0
314.05;1;47;2
318.05;2;21;0
318.97;0;17;1
322.13;2;21;0
322.97;0;17;1
326.44;2;21;0
327.22;0;17;1
330.49;2;21;0
331.21;0;17;1
335.22;0;17;1
337.24;4;35;0
339.23;0;17;1
341.32;4;35;0
343.27;0;17;1
345.65;4;35;0
347.32;0;17;1
349.7;4;35;0
353.74;4;35;0
357.47;3;9;2
357.78;4;35;0
361.53;3;9;2
365.64;3;9;2
375.98;5;2;1
380.21;5;2;1
384.35;5;2;1
384.35;1;5;2
388.42;5;2;1
392.32;5;2;1
