#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.8;0;1;1;3;0/59.8;0/48.91,1/52.57,2/56.14;0/59.8;0/59.8,1/59.8,2/59.8;0/0;0/13,1/13,2/10;0/0;0/17,1/18,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/3,1/2,2/1
119.58;0;4;1;3;0/119.58;0/56.85,1/62.96,2/63.7;0/119.58;0/119.58,1/119.58,2/119.58;0/0;0/14,1/12,2/14;0/0;0/15,1/19,2/17;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/17,1/15,2/15
179.95;0;6;1;3;0/179.95;0/103.54,1/97.23,2/96.24;0/179.95;0/179.95,1/179.95,2/179.95;0/0;0/14,1/11,2/11;0/0;0/16,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/20,1/22,2/22
239.9;0;10;1;3;0/239.9;0/112.73,1/104.86,2/140.97;0/239.9;0/239.9,1/239.9,2/239.9;0/0;0/15,1/16,2/14;0/0;0/16,1/17,2/19;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/3;0/0;0/34,1/36,2/26
299.59;0;13;1;3;0/299.59;0/156.87,1/146.5,2/165.94;0/299.59;0/299.59,1/299.59,2/299.59;0/0;0/15,1/12,2/7;0/0;0/18,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/38,1/40,2/35
359.96;0;17;1;3;0/359.96;0/165.13,1/175.97,2/181.47;0/359.96;0/359.96,1/359.96,2/359.96;0/0;0/14,1/11,2/10;0/0;0/19,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/52,1/48,2/47
419.97;0;20;1;3;0/419.97;0/205.99,1/184.01,2/192.57;0/419.97;0/419.97,1/419.97,2/419.97;0/0;0/9,1/10,2/9;0/0;0/18,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/7;0/0;0/56,1/62,2/60
479.93;0;23;1;3;0/479.93;0/213.27,1/207.58,2/206.3;0/479.93;0/479.93,1/479.93,2/479.93;0/0;0/13,1/11,2/7;0/0;0/17,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/8;0/0;0/70,1/71,2/72
539.99;0;27;1;3;0/539.99;0/262.9,1/240.59,2/231.57;0/539.99;0/539.99,1/539.99,2/539.99;0/0;0/10,1/13,2/6;0/0;0/14,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/73,1/79,2/81
599.77;0;29;1;3;0/599.77;0/271.04,1/289.12,2/243.03;0/599.77;0/599.77,1/599.77,2/599.77;0/0;0/12,1/11,2/9;0/0;0/15,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/10;0/0;0/87,1/81,2/93
659.81;0;33;1;3;0/659.81;0/296.24,1/309.79,2/293.05;0/659.81;0/659.81,1/659.81,2/659.81;0/0;0/13,1/10,2/7;0/0;0/15,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/11;0/0;0/95,1/92,2/96
719.81;0;36;1;3;0/719.81;0/329.87,1/317.56,2/300.51;0/719.81;0/719.81,1/719.81,2/719.81;0/0;0/11,1/13,2/7;0/0;0/14,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/102,1/106,2/110
779.78;0;39;1;3;0/779.78;0/362.36,1/324.2,2/332.83;0/779.78;0/779.78,1/779.78,2/779.78;0/0;0/11,1/13,2/7;0/0;0/14,1/17,2/11;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/13;0/0;0/109,1/120,2/117
839.98;0;41;1;3;0/839.98;0/388.67,1/327.26,2/339.71;0/839.98;0/839.98,1/839.98,2/839.98;0/0;0/11,1/12,2/8;0/0;0/14,1/16,2/11;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/14;0/0;0/118,1/135,2/131
899.73;0;44;1;3;0/899.73;0/402.06,1/357.92,2/377.07;0/899.73;0/899.73,1/899.73,2/899.73;0/0;0/13,1/9,2/6;0/0;0/16,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/15;0/0;0/130,1/142,2/137
