#TimeStamp;TripTime;Type
37;14;O
47;28;O
48;25;O
62;35;O
64;21;O
91;29;O
146;12;O
147;15;O
157;25;O
168;14;O
174;21;O
192;26;O
215;18;O
218;21;O
261;19;O
275;20;O
275;17;O
281;17;O
314;13;O
325;34;O
332;15;O
358;13;O
374;24;O
375;22;O
381;15;O
412;13;O
439;21;O
456;17;O
470;19;O
480;37;O
488;14;O
519;24;O
541;26;O
557;38;O
578;23;O
588;27;O
621;26;O
621;25;O
635;20;O
664;23;O
670;17;O
677;23;O
712;23;O
718;14;O
747;18;O
782;25;O
783;24;O
793;19;O
794;18;O
810;18;O
861;15;O
880;28;O
894;29;O
899;18;O
923;26;O
935;24;O
951;15;O
983;17;O
991;21;O
1008;22;O
1021;23;O
1036;26;O
1073;31;O
1077;32;O
1080;25;O
1115;17;O
1120;28;O
1133;13;O
1171;24;O
1216;24;O
1226;16;O
1230;19;O
1237;22;O
1260;19;O
1266;24;O
1292;13;O
1310;21;O
1336;29;O
1351;14;O
1372;22;O
1375;32;O
1379;42;O
1395;10;O
1424;26;O
1425;24;O
1446;21;O
1471;17;O
1486;19;O
1518;23;O
1526;23;O
1528;22;O
1533;22;O
1553;14;O
1596;16;O
1596;15;O
1617;22;O
1629;21;O
1646;29;O
1688;19;O
1690;13;O
1697;32;O
1707;31;O
1723;12;O
1728;22;O
1775;13;O
