#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
50.98;0;50.98;50.98;-9250.49
51.44;2;51.44;51.44;-9774.76
55.15;0;55.15;55.15;-9284.17
59.49;0;59.49;8.47;-10863.04
70.59;1;70.59;70.59;-9408.84
74.93;1;74.93;15.34;-11486.23
79.81;0;79.81;79.81;-8820.03
82.52;1;82.52;82.52;-9376.26
83.76;0;83.76;83.76;-9260.05
86.43;1;86.43;86.43;-9545.87
87.94;2;87.94;87.94;-9689.88
92.1;0;92.1;32.51;-9911.75
94.65;1;94.65;14.65;-10410.84
96.06;0;96.06;16.06;-10927.67
96.06;2;96.06;44.49;-11045.09
98.73;1;98.73;16.07;-11575.08
100;0;100;20;-10390.01
100;2;100;20;-10497.58
102.73;1;102.73;16.02;-11959.58
104.59;0;104.59;20.55;-10943.82
104.59;2;104.59;16.47;-12228.02
106.64;1;106.64;11.85;-12114.99
108.89;0;108.89;16.75;-11568.09
110.91;1;6.22;5.98;-10380.41
121.79;1;121.79;46.73;-9357.03
132.41;2;132.41;132.41;-9622.1
141.59;0;141.59;86.15;-9801.76
148.21;2;148.21;15.75;-11603.34
150;0;150;49.73;-9513.22
152.64;2;152.64;20.19;-11559.44
154.53;0;154.53;49.84;-11177.74
165.09;1;165.09;165.09;-9503.18
166.92;0;62;25.17;-10532.42
171.13;0;38.67;20.95;-12069.88
172.42;2;172.42;67.74;-10338.03
176.81;2;176.81;76.54;-10684.93
184.92;2;184.92;13.45;-10489.1
188.98;2;188.98;16.51;-11374.93
197.23;0;113.19;88.3;-11785.11
201.19;0;201.19;201.19;-9188.65
204.23;1;204.23;204.23;-9208.04
205.4;0;205.4;33.93;-9638.12
216.29;1;216.29;14.78;-10484.64
236.16;2;236.16;236.16;-9450.08
240.51;2;137.63;87.7;-9729.12
246.26;1;246.26;246.26;-9157.82
251.77;0;251.77;84.72;-8519.1
256.22;0;256.22;114.47;-10248.96
258.76;1;258.76;12.2;-10741.43
262.97;1;262.97;16.41;-10143.11
264.22;2;264.22;79.26;-9757.99
268.63;0;16.77;16.35;-11280.65
282.72;0;117.56;77.16;-9904.28
284.52;2;284.52;48.31;-10480.38
287.72;1;287.72;184.84;-11851.76
291.02;0;291.02;39.16;-10699.1
292.76;2;292.76;29.47;-10355.92
296.24;1;8.14;7.72;-10286.02
297.1;2;297.1;32.8;-10352.06
299.03;0;299.03;16.18;-9976.95
301.45;2;301.45;16.77;-10907.43
303.16;0;303.16;20.31;-10250.26
305.2;2;305.2;12.11;-12506.82
307.49;0;110.1;16.43;-10662.33
311.58;0;311.58;12.48;-10756.43
315.79;0;130.83;12.27;-11126
320;0;219.73;12.44;-11327.99
320.37;1;84.17;57.08;-9875.32
324.58;0;324.58;12.94;-11640.2
324.63;1;324.63;36.53;-9748.47
328.97;0;328.97;12.91;-11707.59
329.18;1;25.66;13.11;-10488.12
333.25;1;333.25;12.63;-10546.88
335.14;2;335.14;335.14;-9476.13
337.81;1;337.81;12.77;-11015.24
339.26;2;339.26;339.26;-9498.96
341.84;1;89.57;12.62;-11457.79
345.14;0;345.14;345.14;-8873.47
345.76;1;29.7;12.12;-11893.29
349.05;0;349.05;151.66;-9549.67
350.01;1;16.36;12.15;-11613.96
351.34;2;60.28;22.3;-10305.44
354.26;1;12.33;12.26;-10165.82
355.42;2;355.42;20.22;-11071.72
358.56;1;16.55;12.55;-8336.6
365.14;0;365.14;23.21;-10489.6
365.42;1;365.42;365.42;-9268.61
369.28;0;369.28;24.01;-11676.76
377.61;1;89.1;18.77;-9594.88
381.72;1;381.72;16.3;-10774.05
388.4;0;388.4;63.77;-10344.36
392.38;2;392.38;392.38;-9301.2
396.76;2;396.76;95.24;-10168.82
396.84;0;15.03;8.36;-9273.48
404.64;2;404.64;49.17;-9620.3
408.93;2;408.93;20.44;-9982.6
418.31;2;212.75;112.75;-10200.57
422.48;1;422.48;257.31;-10305.5
430.92;1;430.92;49.11;-10618.73
435.23;1;435.23;16.55;-9739.09
439.79;1;21.12;17.07;-10087.23
442.04;0;442.04;442.04;-8577.17
443.79;1;443.79;12.73;-10094.68
448.39;1;448.39;12.92;-10673.78
450.4;0;341.47;53.49;-10717.98
452.38;1;452.38;12.49;-10873.07
454.6;0;454.6;14.7;-9911.66
468.53;0;468.53;139.49;-9383.85
472.33;0;416.89;21.7;-8974.49
476.62;1;476.62;476.62;-9186.36
476.88;0;401.82;22.21;-9216.25
480.88;0;480.88;12.25;-10098.48
484.88;0;96.4;16.25;-9966.19
488.92;0;70.25;16.19;-11002.32
492.59;1;321.12;39.97;-10616.06
496.47;2;203.38;87.15;-11037.15
497.01;1;191.45;28.38;-8858.38
500.85;2;299.33;149.46;-10776.83
501.67;1;450.1;24.94;-8995.3
504.94;2;50.27;12.02;-9878.73
505.8;1;136.2;12.88;-9696.56
509.34;2;201.78;12.75;-10434.71
509.69;1;13.1;12.35;-10096.66
513.6;2;426.89;12.59;-10688.46
513.69;1;184.47;11.93;-10919.63
518.02;2;518.02;12.8;-11016
518.09;1;12.87;12.24;-9875.35
522.23;2;442.23;12.58;-11163.21
522.51;1;417.83;12.62;-11297.53
526.61;2;526.61;12.92;-11179.39
530.61;2;284.06;12.52;-11505.39
533.86;1;168.43;85.42;-8549.51
539.06;0;539.06;173.64;-9768.56
550.28;1;110.38;27.34;-11077.72
554.04;2;554.04;135.37;-10986.68
554.37;1;219.16;27.43;-10168.59
558.45;1;27.43;24.26;-10550.86
562.16;2;562.16;11.84;-9909.95
562.45;1;43.94;12.13;-10666.99
566.16;2;376.94;11.84;-10162.02
566.5;1;131.02;11.76;-10880.93
570.09;2;570.09;7.69;-10280.98
574.47;2;35.29;8.02;-10297.19
574.68;1;106.04;15.89;-11634.85
578.57;2;68.92;8.07;-10384.27
578.61;1;578.61;15.78;-12043.94
582.79;2;173.47;8.25;-10554.22
582.96;1;16.51;16.09;-11646.93
585.52;0;585.52;585.52;-8508.34
586.87;2;24.46;8.25;-10795.29
590.88;2;140.26;7.92;-10935.63
595;2;265.96;7.99;-11022.21
597.65;0;597.65;108.53;-9912.32
597.98;1;597.98;597.98;-8820.54
599.11;2;12.11;8.06;-10431.66
603.2;2;24.24;8.11;-11343.77
605.67;0;165.77;66.48;-10981.42
607.32;2;24.31;8.16;-11478.86
609.71;0;178.65;26.75;-9556.73
611.57;2;347.27;7.99;-11896.12
632.04;0;632.04;632.04;-8614.97
636.48;0;126.59;38.5;-10162.03
638.56;2;337.05;241.72;-8115.8
642.67;2;642.67;237.76;-10448.82
644.63;0;256.15;12.27;-11503.54
655.06;2;343.42;18.48;-9491.22
659.21;2;64.11;20.55;-9668.23
663.65;2;104.86;20.93;-9760.39
671.77;2;27.09;16.64;-9321.54
673.9;1;673.9;673.9;-8988.24
675.98;2;675.98;16.73;-9754.47
678.19;1;41.61;6.08;-9461.41
683.94;2;72.27;20.25;-10046.49
685.84;0;685.84;204.87;-9386.27
686.32;1;289.48;12.08;-9815.15
688.32;2;343.05;16.21;-10170.23
690.13;0;361.09;84.11;-10191.02
690.74;1;197.82;12.45;-10231.87
692.74;2;199.82;16.5;-10175.42
694.74;1;10.45;8.38;-9874.01
696.78;2;60.2;12.5;-11795.37
698.74;1;95.16;7.96;-11345.05
700.78;2;14.42;12.42;-11569.13
702.71;0;104.73;66.13;-8979.86
702.87;1;702.87;8.05;-11713.33
704.89;2;126.28;12.11;-11808.97
707.3;1;10.48;8.43;-10529.34
708.92;2;98.85;12.09;-11848.92
710.63;0;710.63;26.35;-9315.17
714.56;1;714.56;135.59;-11232.69
715.02;0;140.48;29.12;-9500.92
716.38;2;716.38;716.38;-9114.13
718.84;1;364.37;200.33;-9681.89
719.47;0;64.34;29.15;-10807.64
723.84;0;29.02;21.09;-9150.3
727.13;1;172.39;19.79;-10464.04
731.69;1;620.72;20.82;-9114.84
732.31;0;263.68;21.44;-10800.92
735.51;1;212.58;20.91;-9164.58
736.72;0;130.7;21.43;-10938.9
740;1;740;20.98;-9688.65
740.88;0;149.83;21.22;-10989.21
744.35;1;649.56;16.92;-10055.51
745.66;0;73.55;21.66;-11728.89
748.17;1;185.34;16.43;-10830.4
750.05;0;22.63;17.63;-10974.26
752.68;1;660.54;16.83;-11559.1
753.97;0;22.24;17.13;-11706.59
761.3;0;128.93;116.62;-10260.54
765.43;0;765.43;496.75;-9463.5
773.52;2;773.52;68.59;-9529.69
777.89;1;695.23;179.87;-9638.25
782.36;1;702.36;37.89;-9984.85
797.53;2;797.53;266.51;-11248.51
812.63;0;812.63;62.51;-9906.06
827.86;2;827.86;54.26;-9863.74
836.65;1;836.65;58.59;-10132.69
844.32;2;844.32;16.4;-9272.16
848.57;2;158.26;20.65;-8773.52
848.91;1;848.91;12.11;-9342.28
850.95;0;850.95;105.25;-9616.89
852.7;2;346.85;8.33;-9692.06
852.91;1;852.91;16.11;-9676.22
855.19;0;855.19;485.59;-9786.8
856.88;2;180.64;8.09;-10007.66
857.19;1;142.59;8.13;-9875.47
861.08;2;175.19;8.17;-10061.91
861.23;1;24.43;8.04;-10388.72
865.25;2;468.35;8.06;-10610.49
865.3;1;723.55;8.06;-11028.06
869.13;2;11.89;7.89;-10725.32
869.34;1;116.59;8.06;-11196.27
873.35;2;290.38;8.05;-10967.6
873.93;1;873.93;8.59;-11548.4
881.48;1;679.96;132.93;-11453
884.67;0;884.67;884.67;-8041.78
887.48;2;509.83;89.9;-9823.12
889.14;0;889.14;76.38;-10330.98
889.86;1;376.17;15.69;-9830.85
891.9;2;439.28;280.23;-9417.22
893.86;1;28.51;11.97;-9998.61
897.99;1;24.23;16.1;-9481.37
899.9;2;102.33;14.88;-10587.81
904;2;904;16.41;-10994.65
906.3;1;234.19;16.37;-10188.51
914.34;1;223.56;20.37;-10260.69
919.17;0;919.17;67.98;-9965.02
922.51;1;499.79;24.48;-10265.83
930.31;1;227.55;23.86;-10340.48
934.43;1;225.09;19.93;-10561.97
942.48;1;465.75;19.93;-10942.6
946.6;1;396.28;15.98;-10957.15
949.64;2;650.54;75.88;-9034.06
950.78;1;243.44;16.11;-11723.84
954.01;2;954.01;237.42;-9600.52
965.61;1;965.61;183.14;-10491.18
972.55;0;119.64;87.54;-9032.07
973.93;1;27.17;23.1;-8847.28
974.13;2;257.55;70.09;-10916.15
976.64;0;976.64;491.57;-9480.57
977.9;1;43.23;12.25;-9913.73
978.18;2;411.31;78.19;-9906.61
980.61;0;980.61;7.94;-9763.19
982.15;1;982.15;8.06;-9966.24
982.77;2;982.77;36.02;-9373.32
984.77;0;984.77;12.1;-9397.36
986.39;1;63.84;8.26;-10477.4
986.66;2;208.61;36.97;-9472.82
990.36;1;990.36;8.17;-11082.92
991.12;2;142.33;37.02;-10546.3
994.39;1;994.39;7.78;-11435.31
995.63;2;995.63;21.45;-10642.35
1000.1;2;264.25;21.5;-11802.95
1004.55;2;230.95;21.72;-12121.88
1007.69;0;480.75;397.62;-10281.86
1008.61;2;344.92;21.73;-12712.88
1027.2;1;681.19;444.19;-9118.8
1031.6;1;270.18;65.95;-9440
