#TimeStamp;TripTime;Type
33;11;O
47;16;O
57;16;O
58;18;O
68;25;O
73;25;O
113;20;O
129;24;O
158;13;O
173;21;O
192;18;O
200;15;O
238;24;O
256;15;O
275;20;O
283;32;O
302;30;O
331;17;O
336;23;O
348;19;O
373;19;O
388;13;O
400;31;O
406;28;O
444;27;O
454;22;O
463;17;O
476;15;O
491;23;O
502;14;O
538;24;O
542;27;O
578;14;O
582;23;O
587;27;O
623;17;O
624;17;O
644;18;O
670;21;O
682;19;O
717;28;O
723;25;O
728;23;O
732;7;O
775;25;O
775;22;O
797;15;O
826;24;O
842;36;O
852;12;O
852;30;O
879;25;O
908;19;O
909;23;O
951;17;O
962;11;O
991;18;O
1004;17;O
1006;29;O
1011;28;O
1059;19;O
1106;20;O
1116;34;O
1132;20;O
1142;25;O
1172;26;O
1188;34;O
1202;7;O
1216;22;O
1229;22;O
1280;13;O
1297;20;O
1313;14;O
1318;36;O
1321;7;O
1347;22;O
1359;18;O
1363;31;O
1409;26;O
1418;14;O
1421;19;O
1435;13;O
1475;20;O
1483;6;O
1537;32;O
1542;30;O
1553;24;O
1569;23;O
1573;22;O
1605;26;O
1628;32;O
1631;23;O
1636;34;O
1652;25;O
1702;14;O
1709;26;O
1712;17;O
1731;29;O
1738;61;O
1779;18;O
1787;26;O
1787;16;O
1793;31;O
