#TimeStamp;Bot;Pod;OutputStation
38.11;4;37;0
42.25;4;37;0
46.42;4;37;0
50.47;4;37;0
54.79;4;37;0
58.35;3;44;2
58.86;4;37;0
59.44;5;40;1
62.15;3;44;2
63.28;4;37;0
63.48;5;40;1
66.39;3;44;2
67.48;4;37;0
67.9;5;40;1
70.53;3;44;2
71.6;4;37;0
72.27;5;40;1
74.9;3;44;2
76.69;5;40;1
78.49;2;19;0
78.95;3;44;2
80.86;5;40;1
82.86;2;19;0
82.95;3;44;2
84.9;5;40;1
86.9;2;19;0
86.99;3;44;2
88.88;5;40;1
90.93;2;19;0
92.97;5;40;1
94.23;1;18;2
94.7;2;19;0
97.02;5;40;1
98.98;2;19;0
104.88;0;22;1
108.79;0;22;1
112.62;0;22;1
116.7;0;22;1
121;0;22;1
125;0;22;1
129.02;0;22;1
132.96;0;22;1
137.06;0;22;1
141.11;0;22;1
141.57;4;12;0
145.92;4;12;0
147.54;3;7;2
150.01;4;12;0
154.1;4;12;0
158.07;4;12;0
162.14;4;12;0
168.96;5;52;1
171.05;1;19;2
173.03;5;52;1
177.42;5;52;1
181.54;5;52;1
183.41;2;6;0
185.73;5;52;1
187.52;2;6;0
189.8;5;52;1
191.8;2;6;0
193.85;5;52;1
195.81;2;6;0
198.27;5;52;1
199.59;2;6;0
202.4;5;52;1
203.85;2;6;0
207.72;2;6;0
208.79;0;9;1
211.98;2;6;0
213.09;0;9;1
216.12;2;6;0
217.13;0;9;1
220.54;2;6;0
221.17;0;9;1
223.58;3;35;2
224.95;2;6;0
224.95;0;9;1
227.62;3;35;2
228.98;0;9;1
231.73;3;35;2
235.73;3;35;2
239.86;3;35;2
244;3;35;2
248.39;3;35;2
248.56;4;28;0
252.56;3;35;2
252.6;4;28;0
256.6;4;28;0
259.62;1;37;2
261.02;4;28;0
263.66;1;37;2
265.37;4;28;0
267.7;1;37;2
269.15;4;28;0
271.78;1;37;2
273.25;4;28;0
274.99;5;21;1
276.07;1;37;2
277.44;4;28;0
279.24;5;21;1
280;1;37;2
283.36;5;21;1
283.78;1;37;2
287.78;5;21;1
292.13;5;21;1
294.84;2;46;0
296.17;5;21;1
298.89;2;46;0
300.22;5;21;1
302.76;2;46;0
304.64;5;21;1
306.89;2;46;0
310.69;2;46;0
312.42;0;49;1
315.74;3;54;2
316.65;0;49;1
319.74;3;54;2
320.86;0;49;1
323.71;3;54;2
324.93;0;49;1
327.87;3;54;2
329.11;0;49;1
332.29;3;54;2
333.53;0;49;1
336.49;3;54;2
337.57;0;49;1
340.81;3;54;2
343.27;4;36;0
345.23;3;54;2
347.33;4;36;0
349.33;3;54;2
351.3;4;36;0
353;3;54;2
363.42;1;22;2
364.47;5;21;1
367.63;1;22;2
368.8;5;21;1
371.27;1;22;2
373.15;5;21;1
375.27;1;22;2
386.68;2;58;0
390.75;2;58;0
395;2;58;0
399.26;2;58;0
403.42;2;58;0
411.28;3;30;2
415.49;3;30;2
417.64;0;23;1
419.66;3;30;2
421.75;0;23;1
423.72;3;30;2
425.77;0;23;1
426.43;4;51;0
430.17;0;23;1
430.76;4;51;0
434.59;0;23;1
434.91;4;51;0
438.63;0;23;1
439.33;4;51;0
443.75;4;51;0
445.43;1;13;2
449.48;1;13;2
453.85;1;13;2
455.94;5;56;1
457.83;1;13;2
460.2;5;56;1
461.68;1;13;2
464.52;5;56;1
465.9;1;13;2
468.57;5;56;1
469.22;2;47;0
470.13;1;13;2
473.63;2;47;0
474.34;1;13;2
477.9;2;47;0
478.42;1;13;2
481.93;2;47;0
482.84;1;13;2
485.93;2;47;0
487.26;1;13;2
489.98;2;47;0
490.35;0;3;1
494.06;2;47;0
494.61;0;3;1
498.65;0;3;1
500.73;3;21;2
502.66;0;3;1
505.15;3;21;2
514.53;4;15;0
518.75;4;15;0
523.17;4;15;0
527.57;4;15;0
531.61;4;15;0
536.03;4;15;0
549.47;5;33;1
553.71;5;33;1
566.05;1;1;2
570.22;1;1;2
573.72;2;22;0
574.26;1;1;2
577.76;2;22;0
577.84;0;8;1
578.34;1;1;2
581.84;0;8;1
582.76;1;1;2
585.83;0;8;1
587.12;1;1;2
589.88;0;8;1
593.92;0;8;1
593.92;3;51;2
598.09;0;8;1
598.16;3;51;2
602.16;0;8;1
602.16;3;51;2
602.52;4;3;0
606.21;0;8;1
606.79;4;3;0
610.55;0;8;1
610.97;4;3;0
615.18;4;3;0
618.74;5;38;1
619.2;4;3;0
622.75;5;38;1
623.25;4;3;0
626.63;5;38;1
627.38;4;3;0
630.8;5;38;1
631.8;4;3;0
635.22;5;38;1
635.85;4;3;0
639.52;5;38;1
640.14;4;3;0
642.98;1;10;2
643.56;5;38;1
647.07;1;10;2
647.73;5;38;1
652.03;5;38;1
653.74;2;21;0
656.14;5;38;1
660.41;5;38;1
664.6;5;38;1
669.06;3;25;2
675.27;0;59;1
679.54;0;59;1
683.98;0;59;1
688.13;0;59;1
692.33;0;59;1
696.58;0;59;1
700.93;0;59;1
706.71;4;43;0
726.68;2;48;0
727.47;1;40;2
730.91;2;48;0
731.81;1;40;2
735.09;2;48;0
735.14;5;2;1
735.72;1;40;2
739.14;2;48;0
739.14;5;2;1
739.85;1;40;2
743.31;5;2;1
743.86;1;40;2
747.43;5;2;1
747.73;1;40;2
751.77;5;2;1
755.02;3;35;2
755.93;5;2;1
759.07;3;35;2
763.11;0;12;1
763.11;3;35;2
766.88;3;35;2
767.16;0;12;1
771.16;0;12;1
771.16;3;35;2
