#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;114.25;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.98;113.88;0.13;PP/0,TA/0.07,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.97;112.97;0.21;PP/0.01,TA/0.14,IS/0,PS/0.06,RB/0,OB/0.01,RP/0
179.87;112.82;0.27;PP/0.01,TA/0.17,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
239.67;112.82;0.3;PP/0.01,TA/0.18,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
299.65;112.32;0.33;PP/0.01,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
359.83;111.95;0.38;PP/0.01,TA/0.22,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
419.78;111.88;0.4;PP/0.02,TA/0.23,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
479.98;111.88;0.43;PP/0.02,TA/0.24,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
540;111.68;0.46;PP/0.02,TA/0.25,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
599.73;111.55;0.48;PP/0.02,TA/0.25,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
659.93;111.21;0.51;PP/0.02,TA/0.26,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
719.85;111.13;0.54;PP/0.03,TA/0.27,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
779.6;111.13;0.57;PP/0.03,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
839.95;111.13;0.6;PP/0.03,TA/0.29,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
899.65;111.13;0.62;PP/0.03,TA/0.29,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
959.94;110.93;0.65;PP/0.04,TA/0.3,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1019.95;110.86;0.67;PP/0.04,TA/0.31,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
1079.98;110.82;0.69;PP/0.04,TA/0.31,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
1139.89;110.82;0.72;PP/0.04,TA/0.31,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
1199.72;110.82;0.74;PP/0.05,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
1259.83;110.51;0.77;PP/0.05,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1319.96;110.25;0.79;PP/0.06,TA/0.33,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1379.9;110;0.82;PP/0.06,TA/0.33,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1439.98;109.84;0.84;PP/0.06,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1499.61;109.73;0.86;PP/0.06,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1559.8;109.5;0.89;PP/0.06,TA/0.36,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1619.95;109.39;0.91;PP/0.07,TA/0.36,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1679.64;109.32;0.94;PP/0.07,TA/0.36,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1739.9;109.32;0.96;PP/0.07,TA/0.37,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1799.95;109.32;0.98;PP/0.08,TA/0.37,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
