#TimeStamp;Bot;Pod;OutputStation
49.07;2;19;0
53.27;2;19;0
54.29;3;1;2
57.69;2;19;0
58.53;3;1;2
61.32;5;9;1
62.11;2;19;0
62.65;3;1;2
65.54;5;9;1
66.53;2;19;0
66.95;3;1;2
69.7;5;9;1
70.95;2;19;0
70.95;3;1;2
73.74;5;9;1
75.07;3;1;2
78.12;4;44;0
78.16;5;9;1
79.49;3;1;2
82.16;4;44;0
82.58;5;9;1
83.91;3;1;2
85.82;4;44;0
87;5;9;1
88.2;3;1;2
90.2;4;44;0
91.34;5;9;1
91.84;3;1;2
94.09;4;44;0
95.34;5;9;1
96.25;3;1;2
98.25;4;44;0
99.38;5;9;1
100.29;3;1;2
102.29;4;44;0
104.34;3;1;2
106.1;0;5;1
108.4;3;1;2
112.79;3;1;2
116.6;3;1;2
120.58;3;1;2
128.3;1;50;2
132.31;1;50;2
165.64;2;18;0
169.77;2;18;0
171.98;5;21;1
173.9;2;18;0
176.14;5;21;1
177.94;2;18;0
180;5;21;1
182.21;2;18;0
184.19;5;21;1
188.33;5;21;1
189.59;4;47;0
192.75;5;21;1
193.84;4;47;0
197.17;5;21;1
198.26;4;47;0
201.32;5;21;1
201.9;4;47;0
203.78;3;27;2
205.74;5;21;1
206.34;4;47;0
207.87;3;27;2
212.29;0;26;1
212.29;3;27;2
216.4;0;26;1
216.4;3;27;2
220.42;0;26;1
220.82;3;27;2
224.84;0;26;1
224.88;3;27;2
228.88;0;26;1
231.81;1;43;2
232.93;0;26;1
236.18;1;43;2
236.97;0;26;1
239.48;2;42;0
240.22;1;43;2
241.01;0;26;1
243.52;2;42;0
244.19;1;43;2
245.06;0;26;1
247.61;2;42;0
248.3;1;43;2
249.1;0;26;1
251.7;2;42;0
252.28;1;43;2
253.15;0;26;1
255.86;2;42;0
256.49;1;43;2
257.19;0;26;1
260.12;2;42;0
260.68;1;43;2
261.24;0;26;1
264.54;2;42;0
264.72;1;43;2
268.74;2;42;0
268.74;1;43;2
271.25;5;57;1
272.67;1;43;2
272.79;2;42;0
275.32;5;57;1
277.09;2;42;0
279.43;5;57;1
281.39;2;42;0
283.6;5;57;1
285.67;2;42;0
287.67;5;57;1
289.72;2;42;0
296.73;4;9;0
299.69;3;48;2
301.02;4;9;0
303.76;3;48;2
305.04;4;9;0
308.16;3;48;2
309;4;9;0
312.58;3;48;2
312.86;4;9;0
316.8;3;48;2
317.24;0;21;1
320.85;3;48;2
321.62;0;21;1
325.27;3;48;2
325.96;0;21;1
329.5;3;48;2
329.97;0;21;1
333.92;3;48;2
334.04;0;21;1
338.04;3;48;2
338.46;0;21;1
342.13;3;48;2
346.3;3;48;2
350.22;3;48;2
357.36;1;25;2
361.42;1;25;2
364.73;2;27;0
365.64;1;25;2
368.88;2;27;0
369.3;1;25;2
370.1;5;36;1
373.31;2;27;0
373.57;1;25;2
374.21;5;36;1
377.19;2;27;0
377.68;1;25;2
378.47;5;36;1
381.48;2;27;0
381.72;1;25;2
382.61;5;36;1
385.48;2;27;0
385.77;1;25;2
386.81;5;36;1
389.81;1;25;2
391.23;5;36;1
393.86;1;25;2
394.57;4;11;0
395.65;5;36;1
397.9;1;25;2
398.9;4;11;0
399.7;5;36;1
402.95;4;11;0
403.95;5;36;1
407.04;4;11;0
408.37;5;36;1
411.34;4;11;0
415.38;4;11;0
415.38;0;44;1
419.43;0;44;1
421.51;3;4;2
423.46;0;44;1
425.6;3;4;2
427.28;0;44;1
429.98;3;4;2
434.02;3;4;2
438.25;3;4;2
441.91;3;4;2
446.28;3;4;2
450.33;3;4;2
454.62;3;4;2
459.04;3;4;2
459.45;2;15;0
463.36;3;4;2
463.57;2;15;0
467.57;3;4;2
467.99;2;15;0
471.99;3;4;2
472.41;2;15;0
476.04;3;4;2
480.46;3;4;2
481.72;5;27;1
484.88;3;4;2
486.09;5;27;1
490.18;5;27;1
492.02;1;19;2
496.15;1;19;2
499.4;4;59;0
500.22;1;19;2
501.76;0;58;1
503.75;4;59;0
504.02;1;19;2
505.98;0;58;1
507.91;4;59;0
508.07;1;19;2
510;0;58;1
511.9;4;59;0
512.26;1;19;2
514.04;0;58;1
515.98;4;59;0
516.31;1;19;2
518.31;0;58;1
520.31;4;59;0
520.35;1;19;2
536.66;2;54;0
541;2;54;0
545.42;2;54;0
547.63;5;51;1
548.28;3;43;2
549.61;2;54;0
552.04;5;51;1
552.65;3;43;2
553.78;2;54;0
556;5;51;1
557.01;3;43;2
557.95;2;54;0
560.16;5;51;1
564.04;5;51;1
568.41;5;51;1
572.62;5;51;1
590.05;0;28;1
594.19;0;28;1
598.56;0;28;1
