#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.31
59.59;200;200;0;52.28;0;59.59;0;0.33
119.93;200;200;0;85.34;0;114.8;0;0.28
179.76;200;200;0;130.82;0;170.51;0;0.26
239.94;200;200;0;159.28;0;232.03;0;0.31
299.72;200;200;0;185.11;0;251.77;0;0.29
359.87;200;200;0;217.73;0;296.35;0;0.3
419.62;200;200;0;230.51;0;361.36;0;0.33
479.75;200;200;0;260.05;0;423.79;0;0.3
539.78;200;200;0;268.76;0;459.33;0;0.32
599.71;200;200;0;281.61;0;490.93;0;0.35
659.83;200;200;0;310.35;0;568.32;0;0.38
719.73;200;200;0;306.97;0;593.15;0;0.48
779.99;200;200;0;304.73;0;605.64;0;0.47
839.8;200;200;0;363.22;0;748.92;0;0.38
899.76;200;200;0;380.96;0;739.77;0;0.45
959.96;200;200;0;407.7;0;746.63;0;0.45
1019.94;200;200;0;420.8;0;814.73;0;0.41
1079.98;200;200;0;415.19;0;847.47;0;0.46
1139.94;200;200;0;469.53;0;931.81;0;0.47
1199.76;200;200;0;474.77;0;986.62;0;0.46
1259.94;200;200;0;392.67;0;960.88;0;0.45
1319.73;200;200;0;412.17;0;975.85;0;0.51
1379.94;200;200;0;439.68;0;1027.87;0;0.54
1440;200;197;0;451.68;0;1067.57;0;0.54
1499.98;200;193;0;470.16;0;1092.97;0;0.51
1559.81;200;190;0;493.79;0;1166.84;0;0.53
1619.72;200;183;0;486.92;0;1232.24;0;0.49
1679.84;200;156;0;508.11;0;1260.03;0;0.54
1739.98;200;147;0;533.61;0;1487.65;0;0.45
1799.69;200;133;0;550.26;0;1389.88;0;0.54
