#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.31
59.85;200;200;0;55.04;0;59.85;0;0.35
119.84;200;200;0;95.46;0;119.84;0;0.25
179.61;200;200;0;134.65;0;177.96;0;0.26
239.93;200;200;0;139.26;0;222.44;0;0.3
299.85;200;200;0;163.36;0;247.66;0;0.3
359.84;200;200;0;204.98;0;292.44;0;0.34
419.73;200;200;0;204.03;0;313.79;0;0.4
479.89;200;200;0;245.34;0;373.51;0;0.38
539.69;200;200;0;236.54;0;428.33;0;0.39
599.96;200;200;0;280.31;0;505.41;0;0.38
659.93;200;200;0;283.9;0;534.29;0;0.39
719.97;200;200;0;312.27;0;556.64;0;0.41
779.89;200;200;0;312.8;0;588.74;0;0.41
839.83;200;200;0;323.57;0;668.66;0;0.45
899.85;200;200;0;354.26;0;696.03;0;0.42
959.99;200;200;0;371.21;0;746.64;0;0.37
1019.73;200;200;0;421.22;0;818.89;0;0.41
1079.99;200;200;0;444.42;0;823.43;0;0.47
1139.69;200;200;0;469.98;0;932.02;0;0.48
1199.99;200;200;0;493.28;0;972.72;0;0.52
1259.69;200;200;0;489.72;0;998.14;0;0.5
1319.9;200;200;0;447.12;0;1092.21;0;0.53
1379.61;200;197;0;457.3;0;1199.02;0;0.51
1439.97;200;191;0;465.14;0;1155.7;0;0.54
1499.92;200;178;0;484.67;0;1204.5;0;0.55
1559.95;200;164;0;509.65;0;1273.36;0;0.52
1619.75;200;153;0;540.2;0;1267.59;0;0.57
1679.92;200;138;0;557.6;0;1301.5;0;0.58
1739.99;200;130;0;553.31;0;1505.46;0;0.54
1800;200;119;0;575.19;0;1614.39;0;0.54
