#TimeStamp;TripTime;Type
37;22;O
43;24;O
54;24;O
67;18;O
68;26;O
77;17;O
113;16;O
141;14;O
151;17;O
163;24;O
176;24;O
203;28;O
236;21;O
238;21;O
251;24;O
252;19;O
300;16;O
305;24;O
327;17;O
333;24;O
359;17;O
372;17;O
392;21;O
397;16;O
410;17;O
417;18;O
447;18;O
473;13;O
481;19;O
492;12;O
517;18;O
519;17;O
537;19;O
563;17;O
565;25;O
600;11;O
625;17;O
639;7;O
644;12;O
650;10;O
657;40;O
684;24;O
710;15;O
710;14;O
743;18;O
746;14;O
768;25;O
784;14;O
799;16;O
800;24;O
825;14;O
827;14;O
835;26;O
853;20;O
870;17;O
910;25;O
940;22;O
942;26;O
953;10;O
954;22;O
999;20;O
1026;24;O
1029;31;O
1030;17;O
1061;24;O
1074;27;O
1106;16;O
1116;27;O
1131;25;O
1139;27;O
1141;10;O
1158;7;O
1179;25;O
1223;21;O
1261;24;O
1265;25;O
1276;23;O
1279;16;O
1286;21;O
1294;23;O
1355;20;O
1371;17;O
1375;17;O
1382;28;O
1398;29;O
1405;17;O
1418;14;O
1444;10;O
1469;19;O
1470;29;O
1486;19;O
1502;33;O
1511;20;O
1518;21;O
1550;11;O
1551;22;O
1569;14;O
1581;22;O
1587;12;O
1603;15;O
1629;25;O
1632;21;O
1648;27;O
1668;25;O
1679;21;O
1683;34;O
1712;22;O
1729;27;O
1769;15;O
1780;20;O
1793;41;O
