#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.67;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.9;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
239.61;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
299.84;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
360;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.67;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
479.85;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.75;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
599.6;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
659.71;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.78;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
779.92;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
839.8;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.95;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
959.64;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.87;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1079.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.87;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.71;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.86;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.93;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1379.87;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1439.97;2;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1499.95;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.68;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1619.84;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1679.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.97;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1799.65;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
