#TimeStamp;Bot;Pod;OutputStation
38.78;4;37;0
45.95;3;28;2
48.27;2;57;0
50.22;3;28;2
52.45;2;57;0
54.27;3;28;2
56.69;2;57;0
58.41;3;28;2
60.73;2;57;0
62.73;3;28;2
64.77;2;57;0
65.44;5;16;1
66.77;3;28;2
69.49;5;16;1
70.45;3;28;2
73.91;5;16;1
77.99;5;16;1
80.75;1;54;2
82.08;5;16;1
84.81;1;54;2
88.71;1;54;2
89.44;0;52;1
92.78;1;54;2
93.27;0;52;1
94.29;4;32;0
96.46;1;54;2
97.52;0;52;1
98.42;4;32;0
100.84;1;54;2
101.93;0;52;1
102.84;4;32;0
104.86;1;54;2
105.55;0;52;1
106.56;4;32;0
109.6;0;52;1
113.97;0;52;1
117.99;0;52;1
122.04;0;52;1
126.08;0;52;1
126.97;2;30;0
130.13;0;52;1
131.04;2;30;0
131.73;3;25;2
134.17;0;52;1
135.03;2;30;0
135.8;3;25;2
138.21;0;52;1
139.08;2;30;0
142.17;0;52;1
157.1;5;21;1
161.48;5;21;1
165.94;5;21;1
170.12;5;21;1
170.75;1;42;2
174.56;4;46;0
174.56;5;21;1
175.01;1;42;2
178.52;4;46;0
178.83;5;21;1
179.4;1;42;2
182.83;4;46;0
183.44;1;42;2
186.86;4;46;0
187.86;1;42;2
190.9;4;46;0
195.3;4;46;0
199.34;4;46;0
203.76;4;46;0
205.12;3;13;2
207.96;4;46;0
209.25;3;13;2
212.38;4;46;0
213.27;3;13;2
216.43;4;46;0
217.27;3;13;2
220.13;0;10;1
220.85;4;46;0
221.28;3;13;2
224.13;0;10;1
224.92;4;46;0
225.4;3;13;2
228.3;0;10;1
229.14;4;46;0
229.46;3;13;2
232.55;0;10;1
235.81;2;23;0
236.72;0;10;1
240.04;2;23;0
240.93;0;10;1
244.22;2;23;0
244.89;0;10;1
248.23;2;23;0
249.16;0;10;1
252.28;2;23;0
253.58;0;10;1
256.28;1;15;2
256.7;2;23;0
257.85;0;10;1
260.36;1;15;2
262.11;0;10;1
264.69;1;15;2
266.2;0;10;1
268.76;1;15;2
272.89;1;15;2
273.94;5;30;1
277.31;1;15;2
281.65;1;15;2
285.82;4;21;0
285.82;1;15;2
289.58;4;21;0
289.58;1;15;2
293.92;4;21;0
293.92;1;15;2
298.27;4;21;0
298.34;1;15;2
305.27;3;4;2
309.37;3;4;2
313.21;3;4;2
317.43;3;4;2
321.53;3;4;2
325.83;3;4;2
329.88;3;4;2
333.92;3;4;2
339.88;2;11;0
339.98;5;46;1
343.98;2;11;0
344.03;5;46;1
348.03;2;11;0
351.82;2;11;0
356.1;2;11;0
360.48;2;11;0
366.92;0;44;1
368.03;4;48;0
370.98;0;44;1
372.08;4;48;0
375.4;0;44;1
375.73;1;56;2
375.99;4;48;0
379.73;0;44;1
379.99;1;56;2
380.12;4;48;0
383.79;0;44;1
384.03;1;56;2
388.09;1;56;2
392.09;1;56;2
396.06;1;56;2
400.17;1;56;2
404.42;5;41;1
404.42;1;56;2
408.59;5;41;1
408.59;1;56;2
412.59;5;41;1
412.67;1;56;2
416.53;5;41;1
416.93;1;56;2
420.51;5;41;1
421.14;1;56;2
425.58;1;56;2
429.9;1;56;2
433.95;1;56;2
435.25;2;28;0
438.11;1;56;2
439.29;2;28;0
442.38;1;56;2
443.75;2;28;0
446.84;0;12;1
448.04;2;28;0
449.87;3;53;2
451.17;0;12;1
452.17;2;28;0
453.88;3;53;2
455.21;0;12;1
456.59;2;28;0
457.99;3;53;2
459.26;0;12;1
461.01;2;28;0
462.04;3;53;2
465.43;2;28;0
466.08;3;53;2
470.06;3;53;2
472.64;4;59;0
474.15;3;53;2
476.68;4;59;0
478.57;3;53;2
480.65;4;59;0
481.4;5;51;1
482.22;3;53;2
484.73;4;59;0
485.8;5;51;1
486.61;3;53;2
488.69;4;59;0
490.02;5;51;1
490.28;3;53;2
492.77;4;59;0
494.19;5;51;1
494.65;3;53;2
496.82;4;59;0
498.54;5;51;1
498.61;3;53;2
500.74;4;59;0
502.58;5;51;1
502.63;3;53;2
506.7;3;53;2
510.75;3;53;2
518.21;1;21;2
522.56;1;21;2
525.44;2;57;0
526.6;1;21;2
530.65;1;21;2
534.67;1;21;2
535.13;0;50;1
538.71;1;21;2
539.18;0;50;1
542.78;1;21;2
543.44;0;50;1
546.82;1;21;2
547.6;0;50;1
560.72;4;43;0
565.07;4;43;0
569.2;4;43;0
573.49;4;43;0
575.49;5;15;1
579.34;5;15;1
583.48;5;15;1
585.97;3;3;2
587.54;5;15;1
590;3;3;2
591.96;5;15;1
594.1;3;3;2
595.99;5;15;1
598.53;3;3;2
600.06;5;15;1
602.57;3;3;2
604.11;5;15;1
607.76;2;34;0
607.97;5;15;1
611.93;2;34;0
615.97;2;34;0
617.48;1;27;2
620;0;2;1
620.06;2;34;0
621.81;1;27;2
624.06;0;2;1
624.31;2;34;0
626.03;1;27;2
628.06;0;2;1
628.11;2;34;0
629.82;1;27;2
632.07;0;2;1
632.16;2;34;0
633.98;1;27;2
636.12;0;2;1
636.39;2;34;0
638.07;1;27;2
640.39;0;2;1
640.51;2;34;0
644.44;0;2;1
644.77;2;34;0
648.77;0;2;1
649.02;2;34;0
653.03;0;2;1
653.44;2;34;0
657.57;2;34;0
661.99;2;34;0
663.12;3;43;2
666.24;2;34;0
667.36;3;43;2
671.65;3;43;2
673.5;4;10;0
675.78;3;43;2
677.47;4;10;0
681.68;4;10;0
685.78;4;10;0
689.82;4;10;0
691.8;5;33;1
693.84;4;10;0
695.84;5;33;1
699.89;5;33;1
704;5;33;1
708.28;5;33;1
712.07;1;24;2
712.18;5;33;1
716.18;1;24;2
716.35;5;33;1
720.35;1;24;2
720.78;5;33;1
724.24;1;24;2
724.92;5;33;1
729.34;5;33;1
733.76;5;33;1
738.18;5;33;1
742.61;5;33;1
746.69;5;33;1
750.96;5;33;1
752.82;2;45;0
752.87;3;49;2
755.11;5;33;1
756.87;2;45;0
756.87;3;49;2
759.32;5;33;1
760.99;2;45;0
760.99;3;49;2
763.63;5;33;1
765.21;3;49;2
765.25;2;45;0
767.63;5;33;1
769.09;3;49;2
769.58;2;45;0
773.25;3;49;2
773.86;2;45;0
774.28;0;27;1
777.67;3;49;2
778.28;2;45;0
778.53;0;27;1
782.09;3;49;2
782.51;2;45;0
786.52;3;49;2
789.69;4;47;0
790.57;3;49;2
793.94;4;47;0
794.99;3;49;2
797.98;4;47;0
801.65;4;47;0
802.87;1;38;2
806.04;4;47;0
807.22;1;38;2
810.09;4;47;0
811.64;1;38;2
814.13;4;47;0
815.69;1;38;2
818.18;4;47;0
819.73;1;38;2
822.24;4;47;0
823.75;1;38;2
826.66;4;47;0
827.76;1;38;2
830.27;5;48;1
830.71;4;47;0
834.39;5;48;1
834.75;4;47;0
838.46;5;48;1
838.8;4;47;0
842.84;4;47;0
846.89;4;47;0
850.93;4;47;0
854.97;4;47;0
855.82;0;19;1
860.11;0;19;1
861.73;2;31;0
862.82;3;9;2
864.12;0;19;1
865.81;2;31;0
867.14;3;9;2
868.15;0;19;1
869.86;2;31;0
870.87;3;9;2
872.2;0;19;1
874.11;2;31;0
875.19;3;9;2
876.64;0;19;1
877.91;2;31;0
879.24;3;9;2
881.06;0;19;1
882.04;2;31;0
883.66;3;9;2
885.75;2;31;0
896.29;1;51;2
900.18;1;51;2
904.36;1;51;2
905.62;5;58;1
908.7;1;51;2
909.87;5;58;1
912.63;1;51;2
913.79;4;37;0
914.16;5;58;1
916.82;1;51;2
917.96;4;37;0
918.58;5;58;1
920.87;1;51;2
922.38;4;37;0
922.47;5;58;1
925;1;51;2
926.42;5;58;1
929.25;1;51;2
933.31;1;51;2
952.32;2;49;0
956.67;2;49;0
960.83;2;49;0
960.97;3;36;2
