#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.87;0;0;1;3;0/59.87;0/59.66,1/56.11,2/58.53;0/59.87;0/59.87,1/59.87,2/59.87;0/0;0/11,1/15,2/13;0/0;0/16,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/1
119.9;0;4;1;3;0/119.9;0/85.14,1/81.42,2/93.03;0/119.9;0/119.9,1/119.9,2/119.9;0/0;0/14,1/16,2/14;0/0;0/18,1/17,2/18;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/1;0/0;0/9,1/11,2/7
179.65;0;8;1;3;0/179.65;0/114.33,1/119.81,2/126.34;0/179.65;0/179.65,1/179.65,2/179.65;0/0;0/10,1/15,2/14;0/0;0/15,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/2;0/0;0/17,1/16,2/14
239.9;0;11;1;3;0/239.9;0/142.1,1/155.93,2/170.71;0/239.9;0/239.9,1/239.9,2/239.9;0/0;0/10,1/15,2/13;0/0;0/13,1/19,2/18;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/3;0/0;0/26,1/22,2/18
299.94;0;15;1;3;0/299.94;0/173.15,1/197.13,2/200.06;0/299.94;0/299.94,1/299.94,2/299.94;0/0;0/13,1/20,2/11;0/0;0/16,1/24,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/33,1/27,2/26
359.73;0;18;1;3;0/359.73;0/217.31,1/203.4,2/230.2;0/359.73;0/359.73,1/359.73,2/359.73;0/0;0/10,1/19,2/10;0/0;0/14,1/21,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/37,1/42,2/34
419.95;0;21;1;3;0/419.95;0/246.66,1/230.28,2/244.4;0/419.95;0/419.95,1/419.95,2/419.95;0/0;0/12,1/18,2/11;0/0;0/17,1/21,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/46,1/50,2/46
479.63;0;24;1;3;0/479.63;0/284.17,1/286.05,2/277.49;0/479.63;0/479.63,1/479.63,2/479.63;0/0;0/9,1/18,2/11;0/0;0/13,1/20,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/51,1/51,2/53
539.92;0;27;1;3;0/539.92;0/313.35,1/323.2,2/318.23;0/539.92;0/539.92,1/539.92,2/539.92;0/0;0/9,1/15,2/8;0/0;0/13,1/20,2/13;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/60,1/57,2/58
599.6;0;32;1;3;0/599.6;0/321.03,1/363.25,2/342.15;0/599.6;0/599.6,1/599.6,2/599.6;0/0;0/14,1/14,2/8;0/0;0/14,1/17,2/13;0/0;0/2,1/2,2/2;0/0;0/10,1/11,2/11;0/0;0/73,1/63,2/68
659.68;0;33;1;3;0/659.68;0/380.09,1/384.19,2/387.44;0/659.68;0/659.68,1/659.68,2/659.68;0/0;0/11,1/14,2/8;0/0;0/14,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/10,1/12,2/11;0/0;0/73,1/73,2/71
719.71;0;38;1;3;0/719.71;0/398.48,1/430.58,2/401.58;0/719.71;0/719.71,1/719.71,2/719.71;0/0;0/15,1/12,2/12;0/0;0/16,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/12,1/13,2/13;0/0;0/84,1/76,2/83
779.62;0;43;1;3;0/779.62;0/448.85,1/446.2,2/435.01;0/779.62;0/779.62,1/779.62,2/779.62;0/0;0/14,1/15,2/11;0/0;0/16,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/14,1/15,2/14;0/0;0/87,1/88,2/90
839.71;0;46;1;3;0/839.71;0/456.43,1/484.83,2/463.54;0/839.71;0/839.71,1/839.71,2/839.71;0/0;0/16,1/14,2/11;0/0;0/17,1/17,2/13;0/0;0/2,1/2,2/2;0/0;0/15,1/16,2/15;0/0;0/100,1/93,2/98
899.97;0;51;1;3;0/899.97;0/508.53,1/510.34,2/513.04;0/899.97;0/899.97,1/899.97,2/899.97;0/0;0/14,1/14,2/10;0/0;0/17,1/22,2/14;0/0;0/2,1/2,2/2;0/0;0/16,1/18,2/17;0/0;0/102,1/102,2/101
959.61;0;55;1;3;0/959.61;0/548.96,1/524.21,2/520.8;0/959.61;0/959.61,1/959.61,2/959.61;0/0;0/13,1/13,2/15;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/18,1/19,2/18;0/0;0/107,1/114,2/115
1019.97;0;58;1;3;0/1019.97;0/590.27,1/565.51,2/568.05;0/1019.97;0/1019.97,1/1019.97,2/1019.97;0/0;0/14,1/12,2/9;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/19,1/20,2/19;0/0;0/112,1/119,2/118
1079.77;0;61;1;3;0/1079.77;0/634.98,1/572.16,2/577.13;0/1079.77;0/1079.77,1/1079.77,2/1079.77;0/0;0/13,1/12,2/10;0/0;0/18,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/21,1/20,2/20;0/0;0/116,1/133,2/132
1139.97;0;63;1;3;0/1139.97;0/672.44,1/601.62,2/610.97;0/1139.97;0/1139.97,1/1139.97,2/1139.97;0/0;0/12,1/15,2/8;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/22,1/21,2/20;0/0;0/122,1/141,2/138
1199.99;0;68;1;3;0/1199.99;0/697.77,1/638.28,2/629.04;0/1199.99;0/1199.99,1/1199.99,2/1199.99;0/0;0/17,1/11,2/11;0/0;0/18,1/19,2/16;0/0;0/2,1/2,2/2;0/0;0/23,1/23,2/22;0/0;0/131,1/147,2/149
1259.98;0;72;1;3;0/1259.98;0/744.07,1/672.35,2/674.5;0/1259.98;0/1259.98,1/1259.98,2/1259.98;0/0;0/15,1/9,2/10;0/0;0/19,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/25,1/24,2/23;0/0;0/135,1/154,2/153
1319.67;0;76;1;3;0/1319.67;0/781.95,1/678.27,2/683.9;0/1319.67;0/1319.67,1/1319.67,2/1319.67;0/0;0/15,1/13,2/9;0/0;0/15,1/14,2/12;0/0;0/2,1/2,2/2;0/0;0/27,1/25,2/24;0/0;0/141,1/168,2/166
1379.99;0;79;1;3;0/1379.99;0/827.51,1/725.79,2/712.4;0/1379.99;0/1379.99,1/1379.99,2/1379.99;0/0;0/13,1/10,2/10;0/0;0/17,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/28,1/26,2/25;0/0;0/144,1/171,2/174
1439.74;0;83;1;3;0/1439.74;0/868.01,1/766.15,2/757.53;0/1439.74;0/1439.74,1/1439.74,2/1439.74;0/0;0/14,1/8,2/10;0/0;0/15,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/29,1/27,2/27;0/0;0/149,1/176,2/178
1499.94;0;86;1;3;0/1499.94;0/884.28,1/795.31,2/793.49;0/1499.94;0/1499.94,1/1499.94,2/1499.94;0/0;0/13,1/14,2/11;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/30,1/29,2/27;0/0;0/161,1/185,2/184
1560;0;90;1;3;0/1560;0/927.25,1/840.82,2/834.66;0/1560;0/1560,1/1560,2/1560;0/0;0/14,1/12,2/13;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/31,1/30,2/29;0/0;0/165,1/188,2/189
1619.99;0;94;1;3;0/1619.99;0/946.89,1/887.75,2/883.26;0/1619.99;0/1619.99,1/1619.99,2/1619.99;0/0;0/14,1/12,2/12;0/0;0/16,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/32,1/32,2/30;0/0;0/176,1/192,2/192
1679.94;0;98;1;3;0/1679.94;0/966.41,1/922.91,2/921.62;0/1679.94;0/1679.94,1/1679.94,2/1679.94;0/0;0/14,1/12,2/12;0/0;0/16,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/33,1/33,2/32;0/0;0/186,1/198,2/198
1739.61;0;102;1;3;0/1739.61;0/1018.27,1/954.67,2/976.03;0/1739.61;0/1739.61,1/1739.61,2/1739.61;0/0;0/14,1/11,2/10;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/34,1/35,2/33;0/0;0/188,1/206,2/199
1799.94;0;106;1;3;0/1799.94;0/1067.11,1/978.04,2/1012.05;0/1799.94;0/1799.94,1/1799.94,2/1799.94;0/0;0/10,1/11,2/10;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/35,1/36,2/35;0/0;0/191,1/215,2/206
