#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.85;0;2
6.39;0;1
7.47;0;1
8.77;0;2
10.1;0;2
11.19;0;1
12.19;0;1
13.32;0;1
15.6;0;1
24.36;0;1
26.45;0;1
27.48;0;1
28.56;0;1
29.65;0;1
31.07;0;2
32.16;0;2
33.95;0;1
35.25;0;2
36.25;0;1
37.29;0;1
39.38;0;1
40.51;0;1
43.55;0;1
44.57;0;1
46.57;0;1
47.92;0;1
49.01;0;1
52.76;0;1
56.22;0;1
57.23;0;1
59.42;0;1
60.48;0;1
67.31;0;1
72.15;0;1
73.77;0;1
82.61;0;1
85.36;0;1
86.36;0;1
89.36;0;1
95.2;0;2
96.82;0;1
97.82;0;1
99.24;0;2
106.99;0;1
109.33;0;1
110.7;0;3
113.37;0;2
114.83;0;1
117.28;0;1
118.83;0;1
119.92;0;1
121.01;0;1
129.08;0;1
130.96;0;1
132.81;0;1
134.14;0;2
135.17;0;1
136.81;0;1
137.84;0;1
139.44;0;1
141.65;0;1
142.68;0;2
144.32;0;1
147.92;0;1
151.51;0;1
154.57;0;1
155.94;0;2
159.44;0;1
160.51;0;1
166;0;1
169.29;0;1
170.68;0;1
175.46;0;1
178.96;0;1
180.71;0;1
183.38;0;1
186.46;0;1
188.42;0;1
192.71;0;1
193.92;0;1
194.97;0;1
196.63;0;1
197.99;0;2
202.88;0;1
206.88;0;1
207.95;0;1
209.39;0;1
211.57;0;1
213.15;0;1
214.24;0;1
215.82;0;1
218.12;0;1
219.99;0;1
221.66;0;1
222.7;0;1
224.75;0;1
226.5;0;1
228.09;0;1
229.2;0;1
230.43;0;1
233.54;0;1
234.63;0;1
235.91;0;1
238;0;1
239.22;0;1
243.79;0;1
245.08;0;1
246.18;0;1
247.45;0;1
248.84;0;1
249.93;0;1
253.67;0;1
254.68;0;2
260;0;1
263.29;0;1
264.34;0;1
265.34;0;1
269.51;0;1
271.47;0;1
273.01;0;1
276.97;0;1
279.81;0;1
282.69;0;1
285.97;0;1
292.03;0;1
293.19;0;2
303.36;0;1
304.45;0;1
305.61;0;1
308.78;0;1
309.86;0;1
313.62;0;1
314.7;0;1
315.73;0;1
316.87;0;1
317.96;0;1
320.37;0;1
322.23;0;1
324.97;0;1
327.64;0;1
331;0;1
333.15;0;1
334.16;0;1
336.13;0;1
337.16;0;1
338.18;0;1
339.27;0;2
340.85;0;1
342.3;0;1
344.77;0;1
345.86;0;1
