#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
47.74;0;47.74;47.74;-9296.07
60.39;0;60.39;60.39;-9278.94
61.69;2;61.69;61.69;-9749.58
63.21;1;63.21;63.21;-9340.87
65.81;2;65.81;65.81;-9760.39
68.94;0;68.94;21.12;-10980.71
70.24;2;70.24;9.49;-10060.29
71.57;1;71.57;71.57;-9596.7
73.24;0;73.24;12.49;-11972.8
74.14;2;74.14;12.4;-10599.88
75.74;1;75.74;14.99;-9928.1
78.56;2;78.56;12.71;-11485.35
80.42;1;19.67;17.16;-9425.73
82.96;2;82.96;12.68;-11590.85
84.53;1;84.53;12.86;-10344.12
87.16;2;87.16;12.83;-11877.63
88.91;1;88.91;12.81;-11445.11
102.7;2;102.7;102.7;-9651.82
104.54;1;104.54;104.54;-9529.49
106.75;2;106.75;106.75;-9723.77
111.06;2;111.06;27.92;-10399.39
112.66;1;112.66;27.72;-11834.59
118.29;0;118.29;118.29;-9183.17
122.83;0;122.83;53.67;-9720.68
123.2;2;123.2;20.21;-10337.47
124.76;1;124.76;21.77;-9866.6
127.09;0;127.09;53.56;-10616.72
127.25;2;127.25;24.26;-10165.16
129.13;1;129.13;24.48;-10313.48
131.17;0;28.18;12.64;-10358.45
131.26;2;131.26;24.23;-10540.02
133.14;1;133.14;20.42;-10464.44
137.41;1;24.69;12.25;-9710.87
139.14;2;139.14;28.03;-10662.7
141.13;1;141.13;11.93;-10582.22
143.5;2;143.5;20.15;-10880.23
145.27;1;57.71;12.02;-10647.37
147.26;2;71.17;19.87;-11044.19
149.3;1;149.3;11.82;-11046.22
151.18;0;151.18;151.18;-9067.43
151.26;2;32.73;19.82;-11100.66
153.63;1;153.63;12.11;-11095.55
155.63;2;155.63;16.15;-11521.34
157.67;1;88.51;12.11;-11516.94
161.72;1;161.72;12.11;-11589.83
167.56;0;167.56;19.97;-11138.51
171.76;0;171.76;20.5;-11534.24
180.14;2;180.14;180.14;-9535.94
184.23;2;184.23;184.23;-9593.59
184.94;1;184.94;184.94;-9478.04
192.61;2;192.61;12.42;-11928.11
193.07;1;193.07;12.89;-11132.39
196.75;2;73.8;16.57;-12034.76
204.71;0;204.71;204.71;-8814.5
217.04;0;156.3;12.26;-9235.08
221.41;0;158.16;16.63;-9459.92
222.3;2;222.3;66.63;-11292.29
225.73;0;225.73;8.54;-10264.27
229.8;0;229.8;8.19;-11021.8
230.21;2;98.77;33.19;-10919.23
234.26;0;234.26;8.47;-11326.89
234.84;2;41.62;13.23;-12201.76
239.14;2;13.35;12.93;-10352.38
241.51;0;241.51;69.46;-10491.25
251.3;1;251.3;251.3;-9410.83
262.63;2;111.36;69.98;-10301.96
267.38;1;267.38;105.62;-11872.1
271.5;1;271.5;271.5;-9413.93
279.15;2;279.15;16.21;-11432.93
283.24;2;283.24;20.3;-10797.93
287.66;2;287.66;8.28;-12510.82
311.93;0;246.07;184.77;-10441.14
314.52;2;314.52;79.63;-10036.63
318.86;2;318.86;318.86;-9486.22
319.01;0;319.01;319.01;-8607.44
323.06;0;197.9;11.09;-9688.95
326.76;2;185.24;14.79;-11071.59
327.06;0;327.06;12.47;-10206.9
331.09;2;246.15;16.5;-11973.49
331.15;0;91.84;12.09;-10421.94
335.22;0;206.02;12.11;-10671.22
339.07;0;12.01;11.92;-10166.15
349.08;1;349.08;97.73;-9954.13
357.58;1;357.58;357.58;-9274.71
366;1;366;16.81;-10213.36
370.21;1;370.21;21.02;-10135.28
371.42;2;371.42;223.84;-9107.4
374.4;1;226.82;16.77;-10545.61
375.52;2;375.52;287.96;-10410.84
378.82;1;378.82;12.77;-11694.45
380.3;0;380.3;249.09;-10454.27
383.8;2;383.8;52.65;-9807.39
388.37;2;388.37;18.08;-9887.61
390.42;1;390.42;390.42;-9021.86
392.45;2;392.45;20.91;-10136.68
394.57;1;394.57;122.99;-9457.81
396.3;2;289.26;20.61;-10305.16
399;1;399;24.33;-9829.93
400.71;2;400.71;16.61;-11820.91
407.42;1;407.42;19.01;-10945.62
411.51;1;411.51;21.04;-11487.15
415.1;0;259.42;79.83;-9700.07
420.43;2;420.43;420.43;-9398.52
423.31;0;243.12;11.76;-10141.72
427.89;0;47.54;12.38;-11712.15
436.72;1;436.72;436.72;-9042.7
453.16;1;453.16;16.02;-11879.46
456.66;0;456.66;456.66;-8933.19
457.54;1;457.54;20.4;-10969.61
488.35;2;488.35;67.55;-10153.65
491.39;1;491.39;83.92;-11554.64
499.39;1;353.82;10.71;-10185.13
500.59;2;500.59;11.92;-10148.09
503.81;1;432.14;12.18;-11389.54
505.1;2;505.1;16.43;-10000.08
508.24;1;460.41;8.48;-12304.21
509.37;2;509.37;8.65;-10139.79
513.74;2;513.74;8.59;-10366.4
518.25;2;266.9;8.68;-10369.58
519.52;0;184.26;180.21;-9615.74
522.04;2;522.04;8.06;-10782.53
526.57;2;437.45;8.25;-11110.27
530.63;2;10.93;8.26;-9877.28
531.92;0;43.24;17.93;-8029.74
535.05;2;373.28;8.42;-11416.16
536.39;0;536.39;16.7;-9845.74
