#TimeStamp;Bot;Pod;OutputStation
43.07;2;1;0
44.9;3;29;2
47.11;2;1;0
48.67;3;29;2
51.19;2;1;0
53.06;3;29;2
54.33;5;24;1
55.61;2;1;0
57.28;3;29;2
58.61;5;24;1
60.04;2;1;0
61.48;3;29;2
62.66;5;24;1
64.12;2;1;0
65.79;3;29;2
68.41;2;1;0
69.98;3;29;2
72.61;2;1;0
74.32;3;29;2
76.86;0;57;1
77.03;2;1;0
78.41;3;29;2
80.92;0;57;1
81.07;2;1;0
82.81;3;29;2
84.9;0;57;1
87.08;3;29;2
88.16;4;59;0
88.95;0;57;1
91.08;3;29;2
92.53;4;59;0
93.07;0;57;1
95.49;3;29;2
96.36;4;59;0
99.46;3;29;2
100.42;4;59;0
104.57;4;59;0
106.22;1;40;2
108.62;4;59;0
110.62;1;40;2
112.66;4;59;0
114.48;1;40;2
116.71;4;59;0
118.7;1;40;2
120.75;4;59;0
122.45;1;40;2
126.75;1;40;2
142.86;5;10;1
147;5;10;1
151.42;5;10;1
155.46;5;10;1
159.44;5;10;1
163.51;5;10;1
167.27;5;10;1
173.68;3;0;2
173.77;2;25;0
174.31;0;1;1
177.77;3;0;2
178.01;2;25;0
178.66;0;1;1
182.01;3;0;2
182.11;2;25;0
182.53;0;1;1
186.03;3;0;2
186.11;2;25;0
186.78;0;1;1
189.87;3;0;2
190.11;2;25;0
194.11;3;0;2
194.53;2;25;0
198.95;2;25;0
201.41;1;4;2
203.37;2;25;0
205.79;1;4;2
207.83;2;25;0
209.79;1;4;2
211.88;2;25;0
213.6;1;4;2
215.92;2;25;0
217.83;1;4;2
220;2;25;0
221.48;1;4;2
225.64;1;4;2
227.19;4;9;0
229.88;1;4;2
231.59;4;9;0
233.92;1;4;2
235.28;4;9;0
237.97;1;4;2
239.27;4;9;0
241.68;1;4;2
246.01;5;38;1
258.46;0;50;1
262.54;0;50;1
266.84;0;50;1
271.26;0;50;1
290.14;3;14;2
291.23;2;15;0
294.19;3;14;2
295.03;2;15;0
298.61;3;14;2
299.28;2;15;0
303.03;2;15;0
303.03;3;14;2
307.34;3;14;2
307.41;2;15;0
311.83;2;15;0
314.29;1;7;2
316.25;2;15;0
318.67;1;7;2
319.76;5;54;1
320.67;2;15;0
322.71;1;7;2
323.91;5;54;1
324.38;2;15;0
326.71;1;7;2
328.33;5;54;1
330.76;1;7;2
331.22;4;36;0
332.47;5;54;1
334.8;1;7;2
335.27;4;36;0
336.73;5;54;1
339.31;4;36;0
346.5;0;21;1
350.53;0;21;1
354.8;0;21;1
359.12;0;21;1
363.2;0;21;1
367.24;0;21;1
371.61;0;21;1
376.03;0;21;1
380.45;0;21;1
381.5;3;46;2
384.88;0;21;1
385.54;3;46;2
389.56;3;46;2
393.96;3;46;2
395.69;4;25;0
398.3;3;46;2
399.8;4;25;0
401.59;5;12;1
