#TimeStamp;TripTime;Type
36;26;O
38;10;O
43;26;O
48;16;O
70;12;O
76;23;O
136;24;O
151;16;O
167;25;O
168;23;O
181;18;O
193;22;O
241;23;O
251;28;O
284;34;O
286;25;O
295;15;O
297;20;O
314;24;O
340;23;O
376;28;O
390;14;O
396;17;O
402;28;O
404;21;O
449;19;O
469;18;O
476;16;O
500;18;O
518;28;O
530;19;O
536;23;O
562;18;O
596;23;O
610;18;O
630;13;O
641;23;O
679;22;O
683;24;O
690;19;O
698;15;O
705;14;O
745;13;O
768;19;O
791;19;O
799;16;O
799;12;O
805;31;O
834;14;O
850;15;O
873;21;O
881;13;O
911;15;O
919;19;O
971;26;O
971;19;O
982;14;O
986;29;O
994;27;O
1010;15;O
1039;11;O
1072;7;O
1077;31;O
1079;12;O
1087;20;O
1093;31;O
1178;34;O
1180;28;O
1187;37;O
1188;30;O
1199;21;O
1228;24;O
1269;23;O
1279;22;O
1297;32;O
1301;21;O
1302;21;O
1309;19;O
1350;23;O
1414;18;O
1426;42;O
1430;24;O
1433;31;O
1433;20;O
1436;23;O
1499;14;O
1507;18;O
1508;31;O
1521;13;O
1528;25;O
1530;24;O
1566;15;O
1569;19;O
1607;21;O
1629;16;O
1639;16;O
1645;20;O
1672;20;O
1687;17;O
1691;32;O
1752;24;O
1760;63;O
1762;14;O
1787;16;O
1789;18;O
