#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
44.71;0;44.71;44.71;-8855.14
45.45;1;45.45;45.45;-9586.85
48.91;0;48.91;48.91;-8970.3
53.19;0;53.19;53.19;-9290.62
57.54;0;57.54;57.54;-9332.3
60;2;60;60;-9694.51
64.08;2;64.08;64.08;-9652.01
65.96;0;65.96;21.21;-9718.53
68.54;2;68.54;68.54;-9750.41
70.01;0;70.01;25.26;-9954.93
71.33;1;71.33;71.33;-9340.94
72.59;2;72.59;19.23;-11491.33
73.84;0;73.84;24.86;-10368.77
76.47;2;30.84;16.42;-11642.01
78.33;0;78.33;24.97;-12344
83.6;1;83.6;14.94;-9989.49
85.01;2;12.31;12.26;-10171.26
85.47;0;85.47;85.47;-9253.85
88.14;1;22.11;16.77;-12278.01
91.65;2;91.65;91.65;-9734.54
96.02;2;96.02;96.02;-9734.5
101.68;1;101.68;101.68;-9302.39
105.6;0;35.52;31.48;-10872.23
108.15;2;108.15;35.45;-10008.33
109.93;1;109.93;21.75;-13262.39
112.58;2;112.58;27.53;-10078.61
113.67;0;113.67;29.88;-10886.52
114.19;1;114.19;12.22;-10414.94
117;2;117;28.81;-10436.43
117.67;0;117.67;32.15;-11928.37
118.66;1;118.66;16.68;-10287.41
120.82;2;120.82;29.12;-11923.02
121.76;0;121.76;16.07;-12129.89
122.89;1;31.19;12.73;-10999.35
146.79;2;146.79;146.79;-9546.78
148.55;1;148.55;102.92;-10584.22
151.03;2;151.03;42.84;-9692.48
164.12;0;164.12;94.04;-9343
167.37;2;167.37;20.27;-11040.97
168.25;0;168.25;50.48;-10060.68
168.92;1;83.87;21.82;-10150.68
171.49;2;171.49;24.4;-10194.76
173.13;1;173.13;24.54;-10550.22
175.76;2;175.76;24.54;-11445.19
176.38;0;74.41;29.29;-10109.43
180;2;180;12.35;-11893.28
180.8;0;180.8;16.64;-10111.61
181.54;1;181.54;12.52;-10814.36
185.15;0;185.15;16.85;-11566.4
185.93;1;38.83;12.48;-10886.45
189.8;2;189.8;121.14;-10538.18
190.35;1;9.21;8.63;-10764.89
191.76;0;191.76;191.76;-9055.26
193.89;2;193.89;81.26;-9929.33
194.56;1;194.56;8.43;-10894.4
198.8;1;154.05;8.26;-11492.65
203.18;1;203.18;8.21;-12213.03
205.97;2;205.97;20.34;-11328.05
210.47;2;210.47;20.59;-12011.62
211.43;1;211.43;92.43;-10574.92
211.8;0;211.8;26.59;-10553.09
215.68;1;130.16;92.59;-9617.12
215.93;0;215.93;26.04;-10135.26
219.57;1;219.57;219.57;-9448.7
219.97;0;219.97;28.09;-10340.16
224.01;0;224.01;12.09;-10425.14
227.73;1;42.1;17.18;-10256.47
228.01;0;228.01;12.04;-10752.94
231.86;1;231.86;20.06;-10273.63
232.1;0;232.1;12.09;-11195.04
236.09;1;182.73;20.17;-11264.17
236.15;0;236.15;12.09;-11728.64
240.12;1;240.12;20.15;-11307.44
246.28;2;246.28;125.19;-9950.94
253.7;0;253.7;187.67;-13155.96
262.03;0;262.03;8.13;-11059.91
262.66;2;86.7;52.11;-9942.85
266.27;0;266.27;12.36;-11059.19
267.72;1;150.67;64.34;-8445.04
270.27;0;270.27;7.93;-12378.83
271.93;1;90.22;39.82;-10197.04
274.64;0;58.71;8.23;-13530.39
280;2;280;162.95;-9906.41
284.53;2;284.53;284.53;-9553.69
296.62;2;296.62;16.49;-11824.1
300.81;2;105.85;20.68;-11440.36
314.03;0;314.03;77.84;-9989.17
318.17;0;318.17;196.35;-9914.14
319.47;1;319.47;319.47;-9159.96
322.63;0;86.43;47.94;-8765.66
323.76;1;323.76;51.54;-9987.26
326.7;0;326.7;12.55;-10374.24
328.09;1;328.09;13.94;-10063.44
330.79;0;16.64;16.6;-11102.03
332.5;1;92.3;12.97;-11376.93
336.76;1;292.01;12.86;-12572.91
341.81;2;253.62;135.45;-11373.36
345.64;2;345.64;82.77;-10591.2
349.62;0;349.62;168.48;-9593.74
350.24;2;248.27;49.16;-8936.05
352.2;1;264.01;84.4;-9704.34
356.48;1;356.48;23.74;-10288.5
358.03;0;210.93;35.36;-11863.25
360.53;1;360.53;23.72;-10474.05
362.14;2;362.14;20.21;-10943.93
364.95;1;195.92;14.93;-10396.44
365.99;0;93.77;39.25;-10222.46
366.61;2;29.8;24.68;-10314.36
368.87;1;368.87;16.39;-10511.27
370.13;0;223.03;39.18;-10402.12
370.75;2;262.56;24.73;-11205.15
374.22;0;295.8;32.28;-9830.5
374.68;2;374.68;24.24;-12055.02
376.87;1;376.87;20.34;-10672.79
378.64;0;55.97;28.62;-10622.75
379.12;2;189.23;16.63;-12124.08
380.74;1;262.97;19.79;-10818.94
382.7;0;382.7;24.63;-11949.92
385.14;1;385.14;20.14;-11511.07
389.33;1;389.33;20.3;-11647.23
390.64;2;390.64;143.99;-10202.65
394.84;2;394.84;98.18;-10935.02
406.88;2;45.93;27.72;-9391.32
407.56;0;407.56;407.56;-8811.05
410.87;2;410.87;21.27;-11266.1
411.83;0;411.83;41.65;-8488
411.98;1;411.98;411.98;-9222.05
414.91;2;40.65;24.22;-11268.93
420.06;0;157.73;45.8;-10491.98
424.17;0;66.1;45.49;-10743.98
428.22;1;131.56;43.04;-10433.85
436.43;0;436.43;29.33;-10212.26
436.43;1;436.43;28.64;-10719.35
440.76;0;440.76;32.97;-10410.32
445.18;0;445.18;33.2;-10859.4
449.35;0;79.16;29.15;-10969.63
453.43;2;453.43;82.39;-10816.43
456.14;1;129.4;75.01;-9798.43
460.39;1;347.76;32.12;-11051.89
465.36;2;465.36;15.96;-10073.11
