#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.34
59.99;200;200;0;47.97;0;59.99;0;0.33
119.64;200;200;0;91.45;0;117.91;0;0.3
179.81;200;200;0;132.61;0;171.32;0;0.27
239.94;200;200;0;162.29;0;225.14;0;0.25
299.96;200;200;0;193.88;0;260.39;0;0.27
359.98;200;200;0;226.42;0;312.18;0;0.26
419.77;200;200;0;252.54;0;381.82;0;0.31
479.84;200;200;0;250.67;0;396.64;0;0.32
539.98;200;200;0;276.28;0;485.93;0;0.29
599.76;200;200;0;308.74;0;516.32;0;0.33
659.76;200;200;0;331.32;0;589.41;0;0.37
719.9;200;200;0;365.95;0;622.72;0;0.39
779.71;200;200;0;377.69;0;654.31;0;0.41
839.86;200;200;0;392.75;0;680.32;0;0.47
899.84;200;200;0;383.11;0;752.81;0;0.49
959.91;200;200;0;403.26;0;806.15;0;0.5
1019.9;200;200;0;414.86;0;851.71;0;0.46
1079.7;200;200;0;435.36;0;853.78;0;0.53
1139.86;200;200;0;436.02;0;858.32;0;0.55
1199.72;200;200;0;471.24;0;943.48;0;0.54
1259.89;200;200;0;472.77;0;1033.54;0;0.55
1319.97;200;200;0;510.92;0;1067.16;0;0.55
1379.92;200;200;0;523.15;0;1125.42;0;0.54
1439.8;200;200;0;511.85;0;1170.88;0;0.57
1499.64;200;200;0;483.08;0;1192.64;0;0.54
1559.98;200;192;0;510.12;0;1230.68;0;0.52
1619.76;200;182;0;558.27;0;1283.58;0;0.52
1679.79;200;180;0;579.77;0;1356.56;0;0.54
1739.96;200;166;0;592.16;0;1491.94;0;0.5
1799.64;200;155;0;621.52;0;1532.55;0;0.47
