#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.94;0;0;1;3;0/59.94;0/46.67,1/45.54,2/55.03;0/59.94;0/59.94,1/59.94,2/59.94;0/0;0/10,1/13,2/10;0/0;0/15,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/4,2/2
119.68;0;3;1;3;0/119.68;0/54.21,1/53.05,2/71.14;0/119.68;0/119.68,1/119.68,2/119.68;0/0;0/13,1/14,2/13;0/0;0/18,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/18,2/13
179.98;0;7;1;3;0/179.98;0/76.7,1/92.68,2/112.42;0/179.98;0/179.98,1/179.98,2/179.98;0/0;0/11,1/11,2/10;0/0;0/13,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/27,1/23,2/18
239.98;0;10;1;3;0/239.98;0/83.01,1/99.24,2/138.33;0/239.98;0/239.98,1/239.98,2/239.98;0/0;0/12,1/12,2/8;0/0;0/16,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/4;0/0;0/41,1/37,2/27
299.72;0;14;1;3;0/299.72;0/112.66,1/104.83,2/147.16;0/299.72;0/299.72,1/299.72,2/299.72;0/0;0/9,1/12,2/11;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/5;0/0;0/49,1/51,2/41
359.64;0;16;1;3;0/359.64;0/141.23,1/111.85,2/167.36;0/359.64;0/359.64,1/359.64,2/359.64;0/0;0/8,1/11,2/10;0/0;0/15,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/5;0/0;0/57,1/65,2/51
419.89;0;19;1;3;0/419.89;0/168.08,1/139.24,2/188.33;0/419.89;0/419.89,1/419.89,2/419.89;0/0;0/9,1/14,2/11;0/0;0/15,1/19,2/17;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/6;0/0;0/66,1/73,2/62
480;0;23;1;3;0/480;0/174.55,1/164.27,2/206.49;0/480;0/480,1/480,2/480;0/0;0/11,1/13,2/10;0/0;0/16,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/8;0/0;0/80,1/82,2/73
539.95;0;25;1;3;0/539.95;0/194.57,1/208.61,2/233.44;0/539.95;0/539.95,1/539.95,2/539.95;0/0;0/11,1/10,2/9;0/0;0/12,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/8;0/0;0/91,1/86,2/81
599.94;0;30;1;3;0/599.94;0/239.51,1/223.67,2/246.92;0/599.94;0/599.94,1/599.94,2/599.94;0/0;0/12,1/10,2/10;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/94,1/98,2/93
