#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.9;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.84;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.84;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
239.8;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
299.95;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
359.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
419.93;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
479.83;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.98;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
600;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
659.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.95;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
779.97;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
839.99;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.73;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
959.75;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.64;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1079.76;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1139.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.92;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.9;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1379.73;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.71;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.73;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.9;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1619.62;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1679.94;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1739.99;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1799.76;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
