#TimeStamp;TripTime;Type
32;10;O
39;12;O
41;19;O
53;35;O
63;20;O
66;17;O
89;13;O
111;22;O
133;17;O
150;21;O
151;24;O
160;18;O
180;15;O
190;13;O
230;18;O
250;20;O
250;25;O
272;17;O
282;22;O
285;30;O
317;7;O
335;10;O
362;26;O
366;23;O
380;21;O
399;22;O
416;21;O
425;19;O
455;18;O
483;15;O
503;20;O
504;22;O
518;23;O
525;24;O
541;22;O
580;31;O
585;22;O
598;15;O
601;22;O
632;22;O
661;18;O
670;14;O
672;16;O
688;21;O
691;20;O
740;13;O
762;14;O
781;20;O
791;17;O
792;28;O
805;14;O
810;19;O
832;14;O
861;17;O
866;20;O
873;20;O
909;21;O
912;28;O
945;23;O
949;33;O
956;27;O
969;13;O
1017;30;O
1038;13;O
1054;26;O
1061;13;O
1069;28;O
1073;9;O
1094;25;O
1119;27;O
1147;21;O
1154;18;O
1172;15;O
1200;23;O
1205;22;O
1223;31;O
1237;20;O
1257;18;O
1274;20;O
1278;30;O
1290;6;O
1340;16;O
1350;17;O
1350;14;O
1351;26;O
1383;16;O
1397;18;O
1429;19;O
1436;23;O
1457;23;O
1495;20;O
1508;22;O
1522;29;O
1534;15;O
1547;21;O
1597;62;O
1602;21;O
1605;38;O
1608;20;O
1635;26;O
1652;25;O
1683;19;O
1690;29;O
1727;19;O
1729;21;O
1743;28;O
1744;27;O
1750;20;O
1774;17;O
