#TimeStamp;Bot;Pod;OutputStation
42.23;4;47;0
46.54;4;47;0
50.51;4;47;0
54.51;4;47;0
58.59;4;47;0
62.88;4;47;0
65.07;3;12;2
65.97;5;16;1
69.3;3;12;2
69.72;2;22;0
70.24;5;16;1
73.72;3;12;2
73.92;2;22;0
74.66;5;16;1
77.8;3;12;2
77.97;2;22;0
78.85;5;16;1
81.92;2;22;0
81.92;3;12;2
83.08;5;16;1
86.01;2;22;0
86.05;3;12;2
87.38;5;16;1
90.05;2;22;0
90.47;3;12;2
91.8;5;16;1
94.11;2;22;0
94.57;3;12;2
98.53;2;22;0
98.57;0;42;1
98.99;3;12;2
102.57;2;22;0
102.99;0;42;1
103.41;3;12;2
106.62;2;22;0
107.04;0;42;1
110.66;2;22;0
110.7;0;42;1
110.7;1;58;2
114.7;2;22;0
114.95;0;42;1
115.08;1;58;2
119.08;0;42;1
119.12;1;58;2
123.12;0;42;1
123.12;1;58;2
127.01;1;58;2
127.17;0;42;1
128.12;4;43;0
130.84;1;58;2
131.21;0;42;1
131.79;4;43;0
135.17;1;58;2
136.17;4;43;0
139.21;1;58;2
140.59;4;43;0
141.93;5;31;1
143.26;1;58;2
146.18;5;31;1
147.3;1;58;2
150.22;5;31;1
151.35;1;58;2
154.56;5;31;1
155.39;1;58;2
158.52;5;31;1
159.44;1;58;2
162.45;5;31;1
163.48;1;58;2
166.64;5;31;1
167.52;1;58;2
182.26;3;47;2
186.31;3;47;2
188.2;2;15;0
190.51;3;47;2
192.51;2;15;0
194.56;3;47;2
196.56;2;15;0
198.44;3;47;2
200.56;2;15;0
202.36;3;47;2
204.6;2;15;0
206.32;3;47;2
208.6;2;15;0
212.64;2;15;0
213.06;0;23;1
217.06;2;15;0
217.15;0;23;1
221.15;2;15;0
221.19;0;23;1
225.19;2;15;0
225.58;0;23;1
226.04;1;30;2
229.54;2;15;0
229.58;0;23;1
230.15;1;30;2
233.58;2;15;0
233.63;0;23;1
234.2;1;30;2
237.63;0;23;1
238.05;1;30;2
240.72;4;54;0
242.05;0;23;1
242.05;1;30;2
244.79;4;54;0
246.26;1;30;2
246.37;0;23;1
248.79;4;54;0
250.3;1;30;2
250.79;0;23;1
252.83;4;54;0
254.37;1;30;2
254.79;0;23;1
256.88;4;54;0
258.79;0;23;1
258.79;1;30;2
260.88;4;54;0
262.72;0;23;1
262.83;1;30;2
264.88;4;54;0
268.73;4;54;0
269.76;5;17;1
270.42;3;25;2
272.92;4;54;0
273.8;5;17;1
274.69;3;25;2
276.96;4;54;0
277.85;5;17;1
278.52;3;25;2
281.01;4;54;0
281.89;5;17;1
282.61;3;25;2
285.05;4;54;0
285.94;5;17;1
286.63;3;25;2
289.98;5;17;1
290.73;3;25;2
294.03;5;17;1
294.38;3;25;2
