#TimeStamp;TripTime;Type
35;14;O
42;27;O
59;27;O
60;31;O
79;33;O
86;31;O
121;16;O
135;11;O
175;23;O
183;21;O
203;22;O
207;26;O
219;14;O
228;17;O
259;15;O
300;22;O
321;19;O
331;23;O
352;20;O
356;23;O
367;17;O
385;17;O
425;14;O
428;21;O
461;18;O
467;19;O
472;22;O
500;17;O
518;7;O
542;25;O
575;22;O
582;23;O
597;17;O
604;14;O
640;30;O
657;20;O
661;27;O
684;22;O
688;25;O
696;19;O
744;17;O
749;20;O
771;13;O
781;21;O
807;22;O
812;23;O
845;20;O
846;24;O
867;22;O
912;27;O
913;40;O
919;18;O
936;24;O
939;24;O
970;13;O
1014;14;O
1027;23;O
1037;30;O
1081;13;O
1103;24;O
1126;18;O
1143;27;O
1156;26;O
1163;14;O
1177;20;O
1180;25;O
1213;31;O
1223;18;O
1249;23;O
1267;22;O
1281;7;O
1281;13;O
1313;20;O
1330;17;O
1342;14;O
1352;25;O
1370;18;O
1382;22;O
1422;23;O
1431;26;O
1444;15;O
1454;33;O
1485;26;O
1487;6;O
1523;14;O
1541;32;O
1542;16;O
1566;19;O
1575;24;O
1578;18;O
1595;15;O
1616;25;O
1654;24;O
1655;24;O
1656;31;O
1668;15;O
1678;14;O
1697;23;O
1722;13;O
1734;21;O
1745;10;O
1746;17;O
1789;33;O
