#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
47.76;1;47.76;47.76;-9356.31
52.47;1;52.47;52.47;-9579.83
52.74;0;52.74;52.74;-8847.11
56.56;1;56.56;56.56;-9611.71
57.01;0;57.01;57.01;-9286.8
60.84;1;60.84;12.75;-10773.76
65.07;1;65.07;16.98;-9959.87
65.07;2;65.07;65.07;-9621.17
65.11;0;65.11;16.6;-10065.42
68.86;1;68.86;16.35;-10931.33
68.86;2;68.86;68.86;-9757.34
69.16;0;69.16;16.18;-10223.25
73.32;1;25.23;16.63;-11621.47
73.32;2;12.4;12.23;-12287.72
73.37;0;73.37;16.31;-10369.24
77.17;1;77.17;16.25;-12345.16
77.17;2;16.08;12.06;-10774.26
77.41;0;77.41;12.26;-10377.42
81.76;2;12.41;12.37;-10171.16
81.83;0;81.83;12.48;-10390.28
86.64;0;86.64;13.22;-10584.65
90.74;0;90.74;12.91;-10760.33
92.61;1;92.61;92.61;-9570.37
95.21;0;95.21;12.96;-10928.52
97.79;2;97.79;97.79;-9656.73
99.47;0;42.78;12.79;-11404.12
100.37;1;100.37;31.21;-10465.21
103.67;0;103.67;12.57;-12326.03
110.13;2;110.13;32.72;-10671.96
112.41;1;112.41;30.58;-9777.02
116;0;116;116;-8903.21
116.41;1;116.41;23.71;-10437.01
120.46;1;120.46;19.71;-10860.5
122.37;2;122.37;31.27;-10383.12
124.88;1;124.88;12.09;-11422.68
126.43;2;126.43;28.29;-10921.98
128.18;0;128.18;24.18;-10330.39
130.9;2;130.9;20.57;-10958.06
132.35;0;132.35;19.57;-10357.65
135.45;2;135.45;13.04;-11020.32
136.08;0;136.08;19.75;-11540.9
139.81;2;139.81;12.98;-11109.37
140.46;0;140.46;12.08;-11565.54
143.96;2;143.96;12.91;-11484.82
148.13;2;148.13;12.64;-11603.41
152.35;1;152.35;152.35;-9306.43
152.35;2;152.35;12.5;-12069.74
156.88;1;156.88;156.88;-9477.15
160.94;1;160.94;83.52;-9666.4
163.44;0;163.44;163.44;-8930.41
165.06;1;165.06;165.06;-9497.08
167.52;0;167.52;167.52;-9133.94
171.53;2;171.53;171.53;-9639.75
171.6;0;171.6;71.85;-10136.03
175.66;0;175.66;35.14;-10180.44
177.3;1;86.19;28.98;-10097.64
180.04;0;180.04;19.06;-10186.21
181.35;1;103.94;28.86;-10130.61
183.39;2;109.98;19.84;-10016.31
184.17;0;184.17;20.62;-10516.76
185.65;1;185.65;28.73;-10220.42
187.48;2;187.48;15.89;-11239.66
188.21;0;188.21;20.62;-11063.39
189.68;1;67.27;28.7;-10858.02
191.66;2;191.66;8;-11773.12
192.26;0;192.26;20.62;-11428.68
193.71;1;32.73;28.31;-10265.84
195.55;2;195.55;7.85;-12137.07
196.3;0;196.3;20.51;-11849.74
197.51;1;197.51;19.89;-12218.7
200.39;0;200.39;20.17;-12448.71
208.4;0;10.56;10.14;-11396.31
208.4;1;130.57;83.48;-9616.71
216.27;2;216.27;67.95;-13193.38
220.55;0;99.68;84.07;-9357.78
224.23;1;224.23;34.48;-10540.67
228.64;0;228.64;36.27;-9775.2
232.49;2;32.03;16.1;-8820.07
232.55;1;232.55;38.76;-11374.8
240.46;1;54.76;40;-10518.03
240.69;0;240.69;24.3;-10288.44
