#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;143.27;0.04;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.87;144.47;0.22;PP/0.01,TA/0.14,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.89;144.47;0.4;PP/0.01,TA/0.29,IS/0,PS/0.15,RB/0,OB/0.02,RP/0
179.83;143.88;0.47;PP/0.02,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.02,RP/0
239.96;142.83;0.53;PP/0.02,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.03,RP/0
299.95;142.43;0.58;PP/0.03,TA/0.36,IS/0,PS/0.16,RB/0,OB/0.03,RP/0
359.92;142.43;0.6;PP/0.03,TA/0.36,IS/0,PS/0.17,RB/0,OB/0.03,RP/0
419.9;142.43;0.65;PP/0.03,TA/0.38,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
479.79;142.43;0.69;PP/0.03,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
540;134.78;0.74;PP/0.03,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.04,RP/0
599.99;130.1;0.77;PP/0.04,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.04,RP/0
659.63;124.95;0.8;PP/0.04,TA/0.43,IS/0,PS/0.18,RB/0,OB/0.05,RP/0
719.88;121.83;0.83;PP/0.04,TA/0.44,IS/0,PS/0.19,RB/0,OB/0.05,RP/0
779.66;116.05;0.86;PP/0.04,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.05,RP/0
839.66;111.69;0.89;PP/0.04,TA/0.46,IS/0,PS/0.19,RB/0,OB/0.05,RP/0
899.72;107.01;0.92;PP/0.05,TA/0.47,IS/0,PS/0.19,RB/0,OB/0.06,RP/0
959.78;104.36;0.94;PP/0.05,TA/0.47,IS/0,PS/0.2,RB/0,OB/0.06,RP/0
1019.79;99.83;0.97;PP/0.05,TA/0.48,IS/0,PS/0.2,RB/0,OB/0.06,RP/0
1079.66;95.15;1;PP/0.05,TA/0.49,IS/0,PS/0.2,RB/0,OB/0.06,RP/0
1139.97;90.94;1.02;PP/0.05,TA/0.49,IS/0,PS/0.2,RB/0,OB/0.06,RP/0
1199.92;88.45;1.05;PP/0.06,TA/0.5,IS/0,PS/0.2,RB/0,OB/0.07,RP/0
1259.88;82.67;1.08;PP/0.06,TA/0.5,IS/0,PS/0.21,RB/0,OB/0.07,RP/0
1319.94;79.24;1.11;PP/0.07,TA/0.51,IS/0,PS/0.21,RB/0,OB/0.07,RP/0
1379.87;75.18;1.13;PP/0.07,TA/0.51,IS/0,PS/0.21,RB/0,OB/0.07,RP/0
1439.82;71.9;1.16;PP/0.07,TA/0.52,IS/0,PS/0.21,RB/0,OB/0.07,RP/0
1499.62;71.65;1.18;PP/0.07,TA/0.52,IS/0,PS/0.21,RB/0,OB/0.08,RP/0
1559.97;71.53;1.21;PP/0.08,TA/0.53,IS/0,PS/0.21,RB/0,OB/0.08,RP/0
1619.76;71.5;1.23;PP/0.08,TA/0.54,IS/0,PS/0.22,RB/0,OB/0.08,RP/0
1679.98;71.46;1.26;PP/0.08,TA/0.55,IS/0,PS/0.22,RB/0,OB/0.08,RP/0
1739.64;71.46;1.29;PP/0.09,TA/0.55,IS/0,PS/0.22,RB/0,OB/0.08,RP/0
1799.72;71.46;1.32;PP/0.09,TA/0.56,IS/0,PS/0.23,RB/0,OB/0.08,RP/0
