#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.73;0;2
6.81;0;2
7.9;0;1
9.68;0;1
10.77;0;1
12.77;0;1
13.77;0;3
14.77;0;2
15.8;0;2
16.85;0;2
17.89;0;1
18.91;0;2
19.91;0;3
20.94;0;4
23.61;0;1
24.7;0;1
27.1;0;1
28.19;0;2
29.28;0;1
31.4;0;1
32.53;0;2
33.65;0;1
34.78;0;2
37.45;0;2
39.58;0;1
42.04;0;1
43.25;0;2
45.29;0;1
46.74;0;1
47.96;0;1
49.08;0;2
51.71;0;1
52.75;0;1
53.84;0;2
56.55;0;1
57.59;0;1
63.12;0;1
64.18;0;2
66.22;0;1
71.06;0;1
73.95;0;1
76.18;0;1
87.69;0;1
89.69;0;1
96.95;0;1
98.04;0;1
100;0;1
102.88;0;1
109.11;0;1
110.25;0;1
112.97;0;1
115.02;0;1
118.53;0;1
121.2;0;1
124.52;0;1
127.14;0;1
128.49;0;1
130.54;0;1
131.87;0;1
134.04;0;1
135.23;0;1
136.4;0;1
137.49;0;2
138.53;0;1
139.53;0;1
140.62;0;1
141.62;0;1
142.79;0;1
144.42;0;1
146.44;0;1
147.83;0;1
148.95;0;2
149.96;0;1
152;0;1
153.09;0;1
156.17;0;1
157.79;0;1
161.34;0;1
164.89;0;1
168.86;0;1
170.07;0;1
172.11;0;1
174.39;0;2
179.53;0;1
181.89;0;1
182.91;0;1
183.95;0;1
185.28;0;1
189.19;0;1
191.86;0;1
194.12;0;1
195.35;0;1
196.75;0;1
198.79;0;1
201.53;0;1
202.62;0;1
204.37;0;1
205.48;0;1
206.63;0;1
207.71;0;1
211.7;0;1
212.8;0;1
215.47;0;1
216.85;0;1
219.52;0;1
220.61;0;1
221.98;0;1
223.07;0;1
224.45;0;2
225.69;0;2
227.9;0;1
229.21;0;1
230.37;0;2
232.08;0;1
233.45;0;3
235.92;0;2
236.96;0;1
238.38;0;2
239.59;0;1
240.85;0;3
241.98;0;1
243.31;0;3
245.78;0;2
247.76;0;1
248.87;0;2
249.94;0;1
251.21;0;3
252.36;0;1
253.68;0;2
254.68;0;1
255.68;0;1
256.77;0;2
257.8;0;2
258.82;0;2
259.86;0;1
260.91;0;2
261.95;0;1
263;0;1
264.04;0;2
265.32;0;1
266.39;0;2
268.28;0;1
269.36;0;2
272.82;0;1
274.28;0;1
276.44;0;1
279.91;0;1
281.04;0;1
282.62;0;1
