#TimeStamp;Bot;Pod;OutputStation
38.49;4;37;0
52.62;2;14;0
56.75;2;14;0
60;3;49;2
61.08;2;14;0
64.08;3;49;2
65.43;2;14;0
68.12;3;49;2
69.5;2;14;0
72.17;3;49;2
73.92;2;14;0
74.17;5;33;1
76.55;3;49;2
78.02;2;14;0
78.5;5;33;1
82.55;5;33;1
83.26;1;42;2
86.71;5;33;1
87.22;1;42;2
90.8;5;33;1
91.46;1;42;2
94.76;5;33;1
95.18;1;42;2
99.05;5;33;1
103.39;5;33;1
107.81;5;33;1
111.85;5;33;1
116.27;5;33;1
119.03;4;26;0
120.32;5;33;1
123.18;4;26;0
124.74;5;33;1
127.36;4;26;0
129.16;5;33;1
131.62;4;26;0
133.58;5;33;1
133.82;3;29;2
135.78;4;26;0
137.74;5;33;1
137.87;3;29;2
141.91;3;29;2
144.37;0;28;1
146.33;3;29;2
147.44;2;43;0
148.59;0;28;1
151.79;2;43;0
152.75;0;28;1
155.35;1;7;2
156.21;2;43;0
156.79;0;28;1
159.46;1;7;2
160.46;2;43;0
160.63;0;28;1
163.72;1;7;2
164.65;2;43;0
164.84;0;28;1
167.39;1;7;2
168.88;0;28;1
171.77;1;7;2
172.92;0;28;1
176.19;1;7;2
176.97;0;28;1
180.61;1;7;2
181.01;0;28;1
184.81;1;7;2
185.06;0;28;1
189.06;1;7;2
189.14;0;28;1
193.12;1;7;2
197.54;1;7;2
201.97;1;7;2
203.8;5;34;1
207.53;5;34;1
209.66;3;49;2
211.94;5;34;1
213.94;3;49;2
214.61;4;8;0
215.98;5;34;1
217.8;3;49;2
218.74;4;8;0
220.02;5;34;1
223.15;4;8;0
224.08;5;34;1
227.17;4;8;0
228.47;5;34;1
232.34;5;34;1
234.25;2;15;0
236.52;5;34;1
238;2;15;0
240.56;5;34;1
242.3;2;15;0
246.34;2;15;0
250.24;2;15;0
254.39;2;15;0
264.23;1;54;2
267.25;0;10;1
271.53;0;10;1
275.58;0;10;1
279.61;0;10;1
283.59;0;10;1
287.66;0;10;1
292.07;0;10;1
292.12;4;48;0
292.12;3;18;2
296.12;0;10;1
296.21;3;18;2
296.45;4;48;0
300.45;4;48;0
300.45;3;18;2
304.76;3;18;2
304.8;4;48;0
308.59;3;18;2
312.8;3;18;2
317.22;3;18;2
319.2;5;45;1
323.26;5;45;1
327.31;5;45;1
331.73;5;45;1
333.82;2;17;0
335.7;5;45;1
335.78;1;9;2
337.86;2;17;0
339.79;5;45;1
339.79;1;9;2
342.21;2;17;0
343.88;5;45;1
343.88;1;9;2
346.28;2;17;0
347.97;1;9;2
348.13;5;45;1
350.59;2;17;0
352.13;1;9;2
352.55;5;45;1
354.7;2;17;0
356.55;1;9;2
356.7;5;45;1
358.75;2;17;0
360.7;1;9;2
360.75;5;45;1
362.79;2;17;0
364.77;1;9;2
364.81;5;45;1
366.86;2;17;0
368.82;1;9;2
368.86;5;45;1
370.92;2;17;0
372.88;1;9;2
372.93;5;45;1
375.34;2;17;0
376.93;1;9;2
379.38;2;17;0
380.88;0;5;1
383.8;2;17;0
385.26;0;5;1
388.23;2;17;0
389.28;0;5;1
390.77;3;27;2
392.65;2;17;0
393.32;0;5;1
394.83;3;27;2
396.71;2;17;0
397.28;0;5;1
399.11;3;27;2
400.54;2;17;0
403.25;3;27;2
407.44;4;25;0
407.44;3;27;2
411.78;4;25;0
411.78;3;27;2
415.83;3;27;2
419.87;3;27;2
424;3;27;2
428.05;3;27;2
432.09;3;27;2
436.48;3;27;2
440.46;3;27;2
443.98;5;58;1
444.33;3;27;2
447.97;5;58;1
452.05;5;58;1
456.12;5;58;1
460.41;5;58;1
462.32;2;32;0
464.67;5;58;1
466.24;2;32;0
468.84;5;58;1
470.39;2;32;0
472.6;5;58;1
