W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,6.84,0.46,5223.9,113.57,472.93,20.59,458.45,18.47,225
""
0.059,0.059,6.84,0.36,5193.37,89.96,480.3,28.54,454.11,16.33
0.059,0.304,7.01,0.41,5196.12,99.93,479.29,15.43,464.11,12.92
0.059,0.549,6.85,0.34,5189.81,107.4,462.31,9.86,462.11,18.16
0.059,0.794,7.02,0.44,5204.9,115.44,476.12,17.94,466.44,20.36
0.306,0.059,6.18,0.22,5368.94,60.47,481.01,26.48,433.78,13.8
0.306,0.304,6.76,0.33,5220.82,110.28,470.53,26.04,453.89,11.62
0.306,0.549,6.95,0.43,5165.39,86.25,480.56,27.7,465.22,17.31
0.306,0.794,6.76,0.31,5215.73,100.9,469.58,19.0,459.33,15.65
0.553,0.059,6.33,0.34,5305.7,79.36,462.05,24.8,442.22,16.44
0.553,0.304,6.69,0.5,5260.65,123.09,480.48,21.95,452.67,25.93
0.553,0.549,6.82,0.24,5232.49,69.33,473.37,24.69,456.33,12.32
0.553,0.794,6.83,0.23,5211.17,100.23,474.24,14.19,456.67,10.51
0.801,0.059,6.55,0.36,5311.87,110.14,479.48,19.9,453.11,15.91
0.801,0.304,6.64,0.23,5288.5,71.33,471.27,15.35,448.89,13.05
0.801,0.549,6.87,0.39,5195.52,66.54,479.55,13.43,459.11,16.77
0.801,0.794,7.02,0.41,5153.75,91.73,469.12,15.07,468.11,16.02
1.0,1.0,7.57,0.32,5063.5,104.69,456.39,13.58,483.33,9.99
1.048,0.059,6.64,0.49,5247.32,89.86,479.01,20.8,447.67,17.3
1.048,0.304,6.91,0.45,5226.84,100.43,477.42,19.66,461.44,18.22
1.048,0.549,6.82,0.3,5281.65,71.67,479.21,24.29,459.67,13.65
1.048,0.794,7.43,0.39,5111.18,150.74,464.07,17.07,478.56,17.44
1.295,0.059,6.67,0.52,5253.3,109.72,465.19,21.21,458.44,14.95
1.295,0.304,6.65,0.23,5255.93,89.6,478.81,17.47,449.89,16.5
1.295,0.549,6.8,0.2,5310.24,67.8,476.1,21.69,452.89,12.69
1.295,0.794,7.33,0.39,5132.92,94.62,457.88,15.25,473.33,17.63
""
