#TimeStamp;TripTime;Type
33;11;O
36;18;O
54;28;O
69;22;O
73;11;O
83;26;O
111;16;O
122;19;O
147;19;O
167;13;O
198;17;O
210;12;O
225;17;O
244;14;O
281;24;O
296;18;O
296;22;O
306;10;O
348;17;O
376;24;O
376;19;O
399;23;O
405;17;O
430;18;O
476;15;O
477;15;O
481;29;O
503;14;O
525;29;O
538;31;O
557;12;O
563;7;O
578;20;O
608;25;O
614;16;O
636;23;O
642;15;O
690;19;O
691;24;O
701;34;O
728;20;O
733;29;O
769;14;O
779;26;O
784;7;O
818;23;O
836;18;O
848;25;O
856;19;O
906;21;O
911;21;O
919;36;O
940;17;O
940;23;O
969;18;O
974;13;O
1008;22;O
1018;14;O
1022;22;O
1024;20;O
1069;29;O
1089;23;O
1095;23;O
1120;32;O
1134;25;O
1180;25;O
1187;19;O
1202;20;O
1234;26;O
1244;26;O
1266;30;O
1288;25;O
1338;20;O
1342;77;O
1377;27;O
1384;15;O
1423;19;O
1430;29;O
1433;25;O
1461;15;O
1473;27;O
1500;24;O
1506;11;O
1506;14;O
1509;27;O
1540;15;O
1575;20;O
1593;9;O
1596;29;O
1597;23;O
1607;28;O
1622;13;O
1637;12;O
1663;21;O
1677;11;O
1688;24;O
1691;15;O
1694;20;O
1728;36;O
1754;23;O
1760;27;O
1764;26;O
1765;13;O
