#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.35
59.8;200;200;0;52.06;0;59.8;0;0.34
119.66;200;200;0;85.39;0;109.74;0;0.4
179.59;200;200;0;108.78;0;167.33;0;0.39
239.89;200;200;0;142.5;0;216.89;0;0.29
299.79;200;200;0;175.42;0;262.8;0;0.31
359.71;200;200;0;192.65;0;302.94;0;0.3
419.91;200;200;0;210.07;0;358.13;0;0.32
479.7;200;200;0;255.53;0;435.44;0;0.26
539.73;200;200;0;268.46;0;462.53;0;0.29
599.83;200;200;0;278.5;0;510.65;0;0.25
659.71;200;200;0;266.75;0;477.18;0;0.33
719.72;200;200;0;276.83;0;538.3;0;0.38
779.99;200;200;0;306.83;0;558.97;0;0.35
839.98;200;200;0;330.22;0;583.37;0;0.39
899.8;200;200;0;326.29;0;633.03;0;0.46
959.93;200;200;0;340.49;0;769.01;0;0.41
1019.99;200;200;0;354.11;0;771.25;0;0.44
1079.98;200;200;0;418.09;0;852.81;0;0.38
1139.97;200;200;0;416.46;0;831.44;0;0.41
1199.6;200;200;0;440.39;0;926.19;0;0.37
1259.96;200;197;0;467.48;0;1007.68;0;0.37
1319.8;200;197;0;441.23;0;957.07;0;0.48
1379.75;200;175;0;485.27;0;1143.41;0;0.38
1439.72;200;170;0;489.93;0;1216.95;0;0.38
1499.74;200;161;0;417.93;0;1324.62;0;0.31
1559.96;200;144;0;427.91;0;1197.48;0;0.48
1619.97;200;133;0;415.65;0;1241.44;0;0.5
1679.73;200;121;0;440.31;0;1225.45;0;0.5
1739.77;200;105;0;440.58;0;1375.35;0;0.42
1799.97;200;98;0;459.65;0;1490.88;0;0.35
