#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.8;0;0;1;3;0/59.8;0/41.33,1/59.8,2/50.7;0/59.8;0/59.8,1/59.8,2/59.8;0/0;0/11,1/9,2/10;0/0;0/15,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/0,2/3
119.66;0;2;1;3;0/119.66;0/49.19,1/72.06,2/58.45;0/119.66;0/119.66,1/119.66,2/119.66;0/0;0/11,1/9,2/14;0/0;0/17,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/1;0/0;0/19,1/13,2/17
179.59;0;5;1;3;0/179.59;0/64.54,1/87.46,2/96.93;0/179.59;0/179.59,1/179.59,2/179.59;0/0;0/10,1/13,2/8;0/0;0/15,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/2;0/0;0/31,1/24,2/22
239.89;0;8;1;3;0/239.89;0/87.89,1/143.99,2/106.07;0/239.89;0/239.89,1/239.89,2/239.89;0/0;0/8,1/10,2/12;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/3;0/0;0/40,1/25,2/35
299.79;0;12;1;3;0/299.79;0/95.62,1/163.89,2/156.66;0/299.79;0/299.79,1/299.79,2/299.79;0/0;0/11,1/13,2/9;0/0;0/15,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/54,1/36,2/38
359.71;0;15;1;3;0/359.71;0/126.27,1/211.99,2/164.92;0/359.71;0/359.71,1/359.71,2/359.71;0/0;0/10,1/10,2/9;0/0;0/14,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/62,1/39,2/51
419.91;0;18;1;3;0/419.91;0/132.87,1/232.09,2/179.83;0/419.91;0/419.91,1/419.91,2/419.91;0/0;0/11,1/12,2/8;0/0;0/14,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/76,1/49,2/63
479.7;0;19;1;3;0/479.7;0/136.46,1/265.46,2/182.74;0/479.7;0/479.7,1/479.7,2/479.7;0/0;0/12,1/10,2/8;0/0;0/13,1/17,2/11;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/6;0/0;0/90,1/56,2/78
539.73;0;23;1;3;0/539.73;0/191.71,1/282.43,2/188.89;0/539.73;0/539.73,1/539.73,2/539.73;0/0;0/9,1/13,2/9;0/0;0/13,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/9,2/7;0/0;0/91,1/68,2/92
599.83;0;26;1;3;0/599.83;0/214.09,1/316.13,2/211.32;0/599.83;0/599.83,1/599.83,2/599.83;0/0;0/10,1/11,2/13;0/0;0/16,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/8,1/10,2/8;0/0;0/101,1/75,2/101
