#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.98;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.82;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.8;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
299.84;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
359.59;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
419.98;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
479.92;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.8;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.97;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
659.79;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.79;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.95;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
839.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.81;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
959.65;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.96;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1079.72;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.87;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1199.72;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1259.91;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.86;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1380;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1439.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.83;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.65;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1619.78;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1679.83;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1739.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
