#TimeStamp;Bot;Pod;OutputStation
43;4;57;0
51.82;2;12;0
55.86;2;12;0
59.24;5;2;1
59.9;2;12;0
63.5;5;2;1
63.95;2;12;0
64.83;3;6;2
67.6;5;2;1
67.99;2;12;0
69.03;3;6;2
71.66;5;2;1
71.95;2;12;0
73.07;3;6;2
75.7;5;2;1
76.04;2;12;0
77.49;3;6;2
80.05;5;2;1
81.91;3;6;2
84.09;5;2;1
85.89;3;6;2
88.17;5;2;1
92.51;5;2;1
92.75;1;10;2
95.84;4;32;0
96.75;5;2;1
96.8;1;10;2
100;4;32;0
100.8;5;2;1
100.8;1;10;2
104.25;4;32;0
104.67;1;10;2
104.84;5;2;1
108.6;4;32;0
108.67;1;10;2
112.38;0;41;1
112.67;4;32;0
112.67;1;10;2
116.69;0;41;1
116.8;4;32;0
116.85;1;10;2
120.73;0;41;1
120.78;4;32;0
121.27;1;10;2
124.78;0;41;1
124.82;4;32;0
125.31;1;10;2
128.82;0;41;1
128.87;4;32;0
129.36;1;10;2
133.29;4;32;0
137.4;4;32;0
141.82;4;32;0
149.46;2;9;0
153.25;2;9;0
157.58;2;9;0
160.84;3;0;2
161.3;2;9;0
162.93;5;53;1
164.89;3;0;2
165.21;2;9;0
166.81;5;53;1
168.85;3;0;2
169.62;2;9;0
171.17;5;53;1
173.18;3;0;2
173.69;2;9;0
174.82;5;53;1
177.73;2;9;0
179.14;5;53;1
181.78;2;9;0
183.21;5;53;1
185.82;2;9;0
187.63;5;53;1
189.87;2;9;0
191.87;5;53;1
193.91;2;9;0
193.96;1;54;2
195.91;5;53;1
197.98;2;9;0
197.98;1;54;2
202.02;2;9;0
202.02;1;54;2
202.48;0;17;1
205.99;1;54;2
206.06;2;9;0
206.64;0;17;1
210.04;1;54;2
210.13;2;9;0
210.6;0;17;1
214.09;1;54;2
214.33;2;9;0
214.55;0;17;1
218.33;1;54;2
218.69;0;17;1
221.37;4;19;0
222.55;1;54;2
222.73;0;17;1
225.62;4;19;0
226.76;1;54;2
229.45;4;19;0
230.8;1;54;2
233.52;4;19;0
234.85;1;54;2
237.31;4;19;0
239.27;1;54;2
241.7;4;19;0
243.7;1;54;2
245.97;4;19;0
247.93;1;54;2
250.12;4;19;0
252.05;1;54;2
254.16;4;19;0
258.15;4;19;0
258.62;3;23;2
262.15;4;19;0
262.85;3;23;2
266.03;4;19;0
266.89;3;23;2
270.6;3;23;2
271.65;5;1;1
274.94;3;23;2
276.01;5;1;1
278.72;3;23;2
280.05;5;1;1
284.16;5;1;1
288.58;5;1;1
293;5;1;1
295.22;2;3;0
297.04;5;1;1
299.22;2;3;0
300.95;5;1;1
303.38;2;3;0
307.78;2;3;0
308.2;0;4;1
312.2;2;3;0
312.43;0;4;1
314.3;1;30;2
316.39;2;3;0
316.48;0;4;1
318.35;1;30;2
320.43;2;3;0
320.93;0;4;1
322.43;1;30;2
324.49;2;3;0
325.06;0;4;1
326.48;1;30;2
328.91;2;3;0
329.1;0;4;1
330.78;1;30;2
333.1;2;3;0
333.15;0;4;1
334.82;1;30;2
337.15;2;3;0
337.19;0;4;1
338.65;1;30;2
340.94;2;3;0
341.19;0;4;1
345.2;2;3;0
347.71;3;13;2
351.78;3;13;2
351.93;4;10;0
355.88;3;13;2
356.28;4;10;0
360.11;3;13;2
360.33;4;10;0
364.28;4;10;0
364.28;3;13;2
368.4;4;10;0
368.4;3;13;2
372.53;4;10;0
372.57;3;13;2
376.5;4;10;0
376.99;3;13;2
380.46;5;6;1
380.52;4;10;0
381.41;3;13;2
384.54;4;10;0
384.54;5;6;1
385.83;3;13;2
388.41;5;6;1
390.1;3;13;2
393.88;3;13;2
398.14;3;13;2
402.52;3;13;2
406.19;3;13;2
413.77;1;42;2
417.62;2;59;0
417.89;1;42;2
421.69;2;59;0
422.01;1;42;2
423.89;0;27;1
425.78;2;59;0
426.17;1;42;2
428.06;0;27;1
429.86;2;59;0
430.33;1;42;2
432.33;0;27;1
434.14;2;59;0
436.33;0;27;1
438.28;2;59;0
440;0;27;1
442.3;2;59;0
444.22;0;27;1
446.22;2;59;0
448.37;0;27;1
450.37;2;59;0
452.35;0;27;1
454.34;2;59;0
456.42;0;27;1
458.42;2;59;0
460.46;0;27;1
462.46;2;59;0
464.93;0;27;1
466.88;2;59;0
469.35;0;27;1
471.3;2;59;0
473.8;0;27;1
476.89;3;32;2
478.22;0;27;1
478.63;4;46;0
481.25;3;32;2
482.54;4;46;0
485.1;5;55;1
485.1;3;32;2
486.68;4;46;0
489.19;3;32;2
489.35;5;55;1
490.66;4;46;0
493.19;3;32;2
493.4;5;55;1
494.72;4;46;0
497.35;5;55;1
497.35;3;32;2
498.42;4;46;0
501.23;5;55;1
502.79;4;46;0
504.53;1;7;2
505.44;5;55;1
507.21;4;46;0
508.7;1;7;2
509.49;5;55;1
511.25;4;46;0
