#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.95;0;1;1;3;0/59.95;0/48.61,1/59.6,2/59.95;0/59.95;0/59.95,1/59.95,2/59.95;0/0;0/15,1/11,2/10;0/0;0/19,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/4,1/1,2/0
119.98;0;4;1;3;0/119.98;0/67.42,1/66.73,2/70.75;0/119.98;0/119.98,1/119.98,2/119.98;0/0;0/14,1/11,2/13;0/0;0/20,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/14,1/14,2/13
179.82;0;7;1;3;0/179.82;0/74.75,1/98.94,2/102.61;0/179.82;0/179.82,1/179.82,2/179.82;0/0;0/13,1/13,2/12;0/0;0/17,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/28,1/22,2/20
239.8;0;10;1;3;0/239.8;0/80.88,1/116.72,2/119.75;0/239.8;0/239.8,1/239.8,2/239.8;0/0;0/14,1/14,2/10;0/0;0/17,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/3;0/0;0/42,1/32,2/32
299.84;0;13;1;3;0/299.84;0/107.59,1/151.24,2/141.56;0/299.84;0/299.84,1/299.84,2/299.84;0/0;0/11,1/13,2/12;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/51,1/39,2/41
359.59;0;17;1;3;0/359.59;0/114.64,1/170.93,2/163.33;0/359.59;0/359.59,1/359.59,2/359.59;0/0;0/16,1/14,2/12;0/0;0/21,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/64,1/49,2/51
419.98;0;20;1;3;0/419.98;0/144.66,1/219.92,2/171.81;0/419.98;0/419.98,1/419.98,2/419.98;0/0;0/12,1/13,2/12;0/0;0/21,1/20,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/7;0/0;0/72,1/52,2/65
479.92;0;23;1;3;0/479.92;0/152.21,1/227.66,2/215.33;0/479.92;0/479.92,1/479.92,2/479.92;0/0;0/14,1/13,2/12;0/0;0/19,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/8;0/0;0/86,1/66,2/69
539.8;0;25;1;3;0/539.8;0/178.13,1/243.15,2/221.97;0/539.8;0/539.8,1/539.8,2/539.8;0/0;0/9,1/13,2/11;0/0;0/17,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/9;0/0;0/94,1/77,2/83
599.97;0;29;1;3;0/599.97;0/202.03,1/260.19,2/246.15;0/599.97;0/599.97,1/599.97,2/599.97;0/0;0/8,1/15,2/12;0/0;0/18,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/10;0/0;0/104,1/88,2/92
659.79;0;31;1;3;0/659.79;0/205.94,1/308.42,2/274.39;0/659.79;0/659.79,1/659.79,2/659.79;0/0;0/8,1/12,2/11;0/0;0/13,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/11;0/0;0/118,1/91,2/101
719.79;0;35;1;3;0/719.79;0/213.68,1/337.66,2/280.78;0/719.79;0/719.79,1/719.79,2/719.79;0/0;0/7,1/12,2/9;0/0;0/13,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/12;0/0;0/132,1/99,2/115
779.95;0;38;1;3;0/779.95;0/220.13,1/347.35,2/286.83;0/779.95;0/779.95,1/779.95,2/779.95;0/0;0/13,1/13,2/8;0/0;0/17,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/12,1/13,2/13;0/0;0/146,1/112,2/129
839.97;0;41;1;3;0/839.97;0/240.73,1/399.79,2/315.73;0/839.97;0/839.97,1/839.97,2/839.97;0/0;0/5,1/11,2/8;0/0;0/15,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/13,1/14,2/14;0/0;0/157,1/114,2/137
899.81;0;45;1;3;0/899.81;0/247.84,1/428.78,2/327.67;0/899.81;0/899.81,1/899.81,2/899.81;0/0;0/9,1/11,2/12;0/0;0/16,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/14,1/16,2/15;0/0;0/171,1/123,2/149
959.65;0;48;1;3;0/959.65;0/253.6,1/436.86,2/372.67;0/959.65;0/959.65,1/959.65,2/959.65;0/0;0/7,1/13,2/9;0/0;0/11,1/20,2/12;0/0;0/2,1/2,2/2;0/0;0/15,1/17,2/16;0/0;0/185,1/136,2/153
1019.96;0;50;1;3;0/1019.96;0/270.26,1/442.83,2/394.53;0/1019.96;0/1019.96,1/1019.96,2/1019.96;0/0;0/10,1/12,2/9;0/0;0/11,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/16,1/17,2/17;0/0;0/196,1/150,2/163
1079.72;0;53;1;3;0/1079.72;0/313.87,1/452.49,2/424.83;0/1079.72;0/1079.72,1/1079.72,2/1079.72;0/0;0/9,1/12,2/8;0/0;0/12,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/17,1/18,2/18;0/0;0/200,1/164,2/171
1139.87;0;57;1;3;0/1139.87;0/320.2,1/484.75,2/431.47;0/1139.87;0/1139.87,1/1139.87,2/1139.87;0/0;0/11,1/11,2/10;0/0;0/13,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/18,1/20,2/19;0/0;0/214,1/171,2/185
1199.72;0;59;1;3;0/1199.72;0/371.87,1/491.85,2/447.03;0/1199.72;0/1199.72,1/1199.72,2/1199.72;0/0;0/10,1/11,2/10;0/0;0/13,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/21,2/20;0/0;0/216,1/184,2/196
1259.91;0;62;1;3;0/1259.91;0/397.03,1/498.06,2/490.86;0/1259.91;0/1259.91,1/1259.91,2/1259.91;0/0;0/9,1/13,2/9;0/0;0/12,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/20,1/21,2/21;0/0;0/226,1/198,2/201
1319.86;0;65;1;3;0/1319.86;0/412.43,1/550.08,2/499;0/1319.86;0/1319.86,1/1319.86,2/1319.86;0/0;0/10,1/12,2/14;0/0;0/14,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/21,1/22,2/22;0/0;0/237,1/200,2/214
