#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.68;0;1
6.81;0;3
7.81;0;1
9.01;0;1
10.22;0;2
12.98;0;1
13.98;0;1
15.07;0;1
17.07;0;1
20.56;0;1
24.5;0;1
27.17;0;1
28.26;0;1
29.31;0;1
30.4;0;1
31.4;0;1
32.59;0;1
33.72;0;3
34.72;0;2
35.77;0;1
39.22;0;1
41.27;0;1
42.94;0;1
45.52;0;1
46.73;0;1
48.8;0;1
53.57;0;1
54.7;0;1
55.97;0;1
57.06;0;1
65.29;0;1
66.52;0;1
74.67;0;1
76.29;0;1
77.34;0;1
85.48;0;1
87.51;0;1
88.84;0;1
92.34;0;1
96.51;0;1
102.64;0;1
104.45;0;1
107.94;0;1
111.44;0;1
112.52;0;1
114.98;0;1
116.11;0;1
124.48;0;1
125.75;0;1
126.84;0;1
127.93;0;1
129.32;0;1
130.33;0;1
135.92;0;1
136.97;0;2
139.64;0;1
141.24;0;1
143.7;0;1
146.17;0;1
147.56;0;1
149;0;1
150;0;1
151.24;0;1
157.81;0;1
159.46;0;1
160.55;0;1
161.8;0;3
162.96;0;1
164.05;0;1
170.22;0;1
171.93;0;1
172.94;0;1
174.18;0;1
175.36;0;1
177.26;0;1
179.88;0;1
183.19;0;1
184.72;0;1
186.23;0;1
187.34;0;1
189.68;0;1
192.18;0;1
193.55;0;1
197.19;0;1
200.68;0;1
205.02;0;1
212.1;0;1
215.13;0;1
218.61;0;1
220;0;1
222.27;0;1
224.12;0;1
228.03;0;1
232.52;0;1
235.14;0;1
238.4;0;1
239.49;0;1
241.31;0;2
243.24;0;1
244.37;0;1
246.73;0;1
248.54;0;1
250.33;0;1
258.52;0;1
259.75;0;1
261.04;0;2
262.58;0;1
263.67;0;1
264.75;0;1
268.92;0;1
273.17;0;1
275.71;0;1
280.83;0;1
281.93;0;1
283.18;0;1
286.43;0;1
288.28;0;1
290.76;0;1
291.78;0;1
293.14;0;1
299.12;0;1
300.62;0;1
303.31;0;1
304.7;0;1
309.28;0;1
310.4;0;2
311.83;0;1
313.27;0;1
318.11;0;1
319.79;0;1
321.53;0;1
322.79;0;1
324.05;0;2
325.3;0;1
326.72;0;1
328.79;0;1
332.56;0;2
336.68;0;1
342.18;0;2
343.27;0;1
344.31;0;1
345.55;0;1
346.93;0;2
348.1;0;1
350.81;0;1
358.72;0;1
360;0;1
361.03;0;2
364.32;0;1
365.42;0;1
