#TimeStamp;Bot;Pod;OutputStation
49.26;5;2;1
50.37;4;26;0
53.46;5;2;1
54.58;4;26;0
57.53;5;2;1
58.58;4;26;0
59.62;3;49;2
61.3;5;2;1
62.47;4;26;0
63.8;3;49;2
65.57;5;2;1
66.24;4;26;0
68.2;3;49;2
70.66;4;26;0
72.62;3;49;2
73.04;0;59;1
75.1;4;26;0
77.04;3;49;2
77.08;0;59;1
79.52;4;26;0
81.08;0;59;1
81.08;3;49;2
85.14;0;59;1
85.14;3;49;2
86.82;2;41;0
89.56;3;49;2
90.75;2;41;0
93.75;3;49;2
95.06;2;41;0
97.56;3;49;2
99.1;2;41;0
103.13;2;41;0
104.62;1;10;2
106.93;2;41;0
108.65;1;10;2
111.21;2;41;0
112.7;1;10;2
115.34;2;41;0
116.74;1;10;2
119.39;2;41;0
120.79;1;10;2
123.44;2;41;0
124.74;1;10;2
127.48;2;41;0
128.84;1;10;2
129.99;5;45;1
133.12;1;10;2
134.21;5;45;1
137.54;1;10;2
138;5;45;1
141.58;1;10;2
142.3;5;45;1
145.6;4;23;0
145.64;1;10;2
146.56;5;45;1
149.64;4;23;0
149.81;1;10;2
150.7;5;45;1
153.83;4;23;0
153.83;1;10;2
155.12;5;45;1
157.58;4;23;0
157.58;1;10;2
159.54;5;45;1
161.55;4;23;0
163.9;5;45;1
164.5;3;29;2
168.32;5;45;1
168.32;3;29;2
172.59;3;29;2
175.76;0;17;1
176.64;3;29;2
179.68;0;17;1
183.85;0;17;1
187.9;0;17;1
191.94;0;17;1
195.74;0;17;1
199.99;0;17;1
204.03;0;17;1
204.07;2;34;0
208.07;0;17;1
208.12;2;34;0
212.12;0;17;1
212.31;2;34;0
213.35;1;7;2
216.16;0;17;1
216.38;2;34;0
217.35;1;7;2
220.21;0;17;1
220.53;2;34;0
221.39;1;7;2
224.28;0;17;1
224.74;2;34;0
225.16;1;7;2
228.7;0;17;1
229.16;2;34;0
229.16;1;7;2
232.74;0;17;1
233.52;2;34;0
233.52;1;7;2
237.03;0;17;1
237.58;2;34;0
237.58;1;7;2
240.99;0;17;1
241.94;1;7;2
244.4;4;26;0
245.03;0;17;1
248.81;4;26;0
249.16;3;30;2
252.09;5;31;1
253.16;4;26;0
253.21;3;30;2
256.2;5;31;1
257.08;4;26;0
257.21;3;30;2
260.24;5;31;1
261.21;4;26;0
261.25;3;30;2
264.29;5;31;1
265.25;4;26;0
268.33;5;31;1
272.38;5;31;1
276.11;5;31;1
294.76;2;9;0
298.99;2;9;0
303.29;2;9;0
307.34;2;9;0
311.66;2;9;0
313.22;1;18;2
315.56;2;9;0
317.3;1;18;2
319.76;2;9;0
321.65;1;18;2
323.81;2;9;0
325.72;1;18;2
328.23;2;9;0
328.23;0;20;1
330.16;1;18;2
332.47;2;9;0
332.47;0;20;1
334.4;1;18;2
336.53;2;9;0
336.53;0;20;1
338.4;1;18;2
340.93;0;20;1
340.98;2;9;0
342.47;1;18;2
344.98;0;20;1
346.91;1;18;2
348.18;4;4;0
349.09;0;20;1
351.09;1;18;2
352.23;4;4;0
353.14;0;20;1
356.4;4;4;0
357.18;0;20;1
358.07;3;19;2
360.4;4;4;0
361.6;0;20;1
362.4;3;19;2
364.07;4;4;0
365.83;0;20;1
366.36;3;19;2
368.07;4;4;0
369.62;0;20;1
370.44;3;19;2
372.44;4;4;0
374.51;3;19;2
376.49;4;4;0
376.79;5;5;1
378.79;3;19;2
380.53;4;4;0
380.84;5;5;1
384.58;4;4;0
384.88;5;5;1
388.93;5;5;1
392.63;5;5;1
409.39;2;45;0
413.6;2;45;0
417.65;2;45;0
422.07;2;45;0
423.53;1;37;2
426.4;2;45;0
427.65;1;37;2
430.82;2;45;0
431.7;1;37;2
435.24;2;45;0
436.07;1;37;2
439.66;2;45;0
440.49;1;37;2
443;0;38;1
444.23;1;37;2
447.11;0;38;1
448.53;1;37;2
451.16;0;38;1
452.95;1;37;2
455.53;0;38;1
457.37;1;37;2
459.84;0;38;1
461.81;1;37;2
464;0;38;1
466;1;37;2
468.04;0;38;1
470.04;1;37;2
471.18;4;28;0
471.78;0;38;1
474.11;1;37;2
475.39;4;28;0
475.81;0;38;1
478.53;1;37;2
479.81;4;28;0
482.67;5;57;1
482.78;1;37;2
483.99;4;28;0
487.2;1;37;2
487.79;4;28;0
491.28;1;37;2
492.03;4;28;0
495.7;1;37;2
496.16;4;28;0
500.12;1;37;2
500.45;4;28;0
504.34;1;37;2
504.87;4;28;0
509.08;4;28;0
512.12;3;16;2
513.5;4;28;0
516.17;3;16;2
517.92;4;28;0
520.25;3;16;2
522.23;4;28;0
524.65;3;16;2
526.67;4;28;0
528.69;3;16;2
530.71;4;28;0
534.76;4;28;0
539.07;4;28;0
543.3;4;28;0
547.25;4;28;0
551.01;5;58;1
554.42;2;40;0
555.17;5;58;1
558.75;2;40;0
562.76;2;40;0
563.22;0;54;1
566.55;2;40;0
567.38;0;54;1
567.93;1;25;2
571.46;0;54;1
575.88;0;54;1
579.97;0;54;1
584.01;0;54;1
588.13;0;54;1
592.55;0;54;1
596.38;0;54;1
600.76;0;54;1
604.05;3;35;2
605.09;0;54;1
608.24;3;35;2
609.17;0;54;1
612.29;3;35;2
616.4;3;35;2
620.04;2;41;0
620.21;3;35;2
623.1;5;59;1
624.47;3;35;2
627.5;5;59;1
628.84;3;35;2
631.92;5;59;1
633.26;3;35;2
635.97;5;59;1
637.59;3;35;2
640;5;59;1
641.85;4;44;0
644.06;5;59;1
644.06;1;40;2
645.97;4;44;0
648.22;5;59;1
648.22;1;40;2
650.22;4;44;0
652.26;5;59;1
653.97;4;44;0
656.31;5;59;1
658.01;4;44;0
660.77;5;59;1
662.28;4;44;0
664.65;5;59;1
666.51;4;44;0
670.6;4;44;0
678.02;2;34;0
682.36;2;34;0
685.81;0;1;1
686.76;2;34;0
689.9;0;1;1
694.18;0;1;1
697.93;0;1;1
702.31;0;1;1
704.14;3;50;2
706.73;0;1;1
708.07;3;50;2
710.81;0;1;1
712.26;3;50;2
714.9;0;1;1
716.4;3;50;2
719.31;0;1;1
723.73;0;1;1
723.73;1;25;2
727.77;1;25;2
731.41;1;25;2
735.82;1;25;2
740.87;5;21;1
741.03;4;46;0
745.04;5;21;1
745.16;4;46;0
749.16;5;21;1
749.2;4;46;0
753.2;5;21;1
753.62;4;46;0
757.18;5;21;1
757.67;4;46;0
761.33;5;21;1
761.75;4;46;0
765.75;5;21;1
766.09;4;46;0
770.04;5;21;1
770.51;4;46;0
773.89;5;21;1
774.55;4;46;0
778.21;5;21;1
778.97;4;46;0
782.27;5;21;1
783.36;4;46;0
786.31;5;21;1
787.4;4;46;0
790.73;5;21;1
791.35;4;46;0
795.15;5;21;1
795.32;1;29;2
795.73;4;46;0
798.99;5;21;1
799.43;1;29;2
802.99;2;43;0
802.99;5;21;1
807.16;5;21;1
807.23;2;43;0
811.23;2;43;0
813.95;0;16;1
814.58;3;51;2
815.31;2;43;0
818.84;3;51;2
819.44;2;43;0
823.26;3;51;2
823.49;2;43;0
827.25;3;51;2
827.53;2;43;0
831.49;3;51;2
835.58;3;51;2
839.62;3;51;2
843.67;3;51;2
847.92;3;51;2
852.04;3;51;2
856.18;3;51;2
857.66;4;35;0
860.37;3;51;2
861.7;4;35;0
864.51;3;51;2
865.99;4;35;0
868.46;3;51;2
870.22;4;35;0
872.61;3;51;2
874.41;4;35;0
877.03;3;51;2
878.83;4;35;0
881.34;3;51;2
883.5;0;13;1
885.45;3;51;2
887.41;0;13;1
889.82;3;51;2
893.79;3;51;2
896.53;5;27;1
900.64;5;27;1
900.87;1;46;2
902.57;2;57;0
904.87;5;27;1
905.08;1;46;2
906.34;2;57;0
909.09;5;27;1
909.09;1;46;2
910.62;2;57;0
913.03;1;46;2
913.14;5;27;1
914.67;2;57;0
917.05;1;46;2
917.56;5;27;1
919;2;57;0
920.72;1;46;2
921.67;5;27;1
925.98;5;27;1
930.09;5;27;1
934.22;5;27;1
938.52;5;27;1
942.94;5;27;1
947.06;5;27;1
947.48;4;45;0
951.48;5;27;1
951.68;4;45;0
954.77;3;18;2
955.65;5;27;1
958.94;3;18;2
963;3;18;2
967.12;3;18;2
969.54;0;33;1
971.37;3;18;2
973.6;0;33;1
975.18;3;18;2
976.81;2;44;0
977.98;0;33;1
980.95;2;44;0
982.02;0;33;1
982.44;1;50;2
985.11;2;44;0
986.44;0;33;1
986.68;1;50;2
989.37;2;44;0
990.63;0;33;1
993.42;2;44;0
994.91;0;33;1
