#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.8;0;0;1;3;0/59.8;0/50.79,1/49.7,2/59.8;0/59.8;0/59.8,1/59.8,2/59.8;0/0;0/10,1/12,2/11;0/0;0/16,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/3,2/1
119.88;0;3;1;3;0/119.88;0/57.09,1/85,2/66.67;0/119.88;0/119.88,1/119.88,2/119.88;0/0;0/8,1/9,2/9;0/0;0/12,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/9,2/14
179.65;0;7;1;3;0/179.65;0/83.15,1/100.85,2/73.32;0/179.65;0/179.65,1/179.65,2/179.65;0/0;0/11,1/11,2/10;0/0;0/14,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/2;0/0;0/25,1/21,2/28
239.78;0;10;1;3;0/239.78;0/115.97,1/107.44,2/77.69;0/239.78;0/239.78,1/239.78,2/239.78;0/0;0/11,1/10,2/8;0/0;0/15,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/2;0/0;0/33,1/35,2/42
299.91;0;13;1;3;0/299.91;0/129.57,1/137.83,2/83.57;0/299.91;0/299.91,1/299.91,2/299.91;0/0;0/9,1/10,2/14;0/0;0/14,1/14,2/20;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/3;0/0;0/45,1/42,2/57
359.78;0;15;1;3;0/359.78;0/138.27,1/182.57,2/113.14;0/359.78;0/359.78,1/359.78,2/359.78;0/0;0/11,1/11,2/9;0/0;0/15,1/19,2/17;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/4;0/0;0/58,1/46,2/64
419.77;0;19;1;3;0/419.77;0/177.42,1/208.66,2/126.6;0/419.77;0/419.77,1/419.77,2/419.77;0/0;0/11,1/8,2/9;0/0;0/14,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/5;0/0;0/64,1/55,2/77
479.98;0;22;1;3;0/479.98;0/189.2,1/216.53,2/136.34;0/479.98;0/479.98,1/479.98,2/479.98;0/0;0/10,1/7,2/10;0/0;0/13,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/6;0/0;0/77,1/69,2/89
539.69;0;25;1;3;0/539.69;0/205.34,1/226.26,2/173.21;0/539.69;0/539.69,1/539.69,2/539.69;0/0;0/11,1/5,2/9;0/0;0/14,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/7;0/0;0/88,1/82,2/95
599.74;0;29;1;3;0/599.74;0/227.9,1/235.05,2/182.5;0/599.74;0/599.74,1/599.74,2/599.74;0/0;0/11,1/9,2/7;0/0;0/14,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/9;0/0;0/98,1/96,2/109
