#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.73;0;2
6.81;0;3
9.2;0;1
10.29;0;1
12.31;0;1
13.41;0;1
14.77;0;1
15.77;0;2
16.82;0;1
17.86;0;1
18.91;0;1
19.95;0;1
21;0;1
22.04;0;1
23.09;0;1
24.12;0;2
25.17;0;2
26.17;0;1
27.26;0;2
28.3;0;1
29.35;0;2
30.39;0;2
31.44;0;2
32.88;0;1
34.06;0;1
35.15;0;2
37.19;0;1
38.56;0;1
39.99;0;1
44.14;0;1
46.6;0;1
48.6;0;1
50.65;0;1
53.44;0;1
54.45;0;1
55.48;0;1
57.95;0;1
62.27;0;1
68.41;0;1
69.62;0;1
74.53;0;1
78.46;0;1
79.63;0;1
81.13;0;1
86.26;0;1
91.38;0;1
94.05;0;1
95.1;0;1
97.77;0;1
104.28;0;1
108.02;0.02;1
110.47;0;1
111.61;0;1
113.78;0;1
114.86;0;1
122.73;0;1
123.91;0;2
126.66;0;1
128.36;0;1
129.57;0;1
134.08;0;1
135.1;0;1
136.19;0;1
139.41;0;1
144.3;0;1
146.56;0;1
147.65;0;1
148.75;0;1
151.42;0;1
152.51;0;1
154.8;0;1
156.73;0;1
157.82;0;1
161.69;0;1
163.9;0;1
164.92;0;2
165.92;0;2
166.96;0;2
168.58;0;1
170.14;0;1
175.08;0;1
176.22;0;1
179.42;0;1
181.6;0;1
182.92;0;1
183.93;0;1
186.26;0;1
187.3;0;1
190.8;0;1
191.85;0;1
193.03;0;1
194.61;0;1
197.81;0;1
199.81;0;1
205.21;0;1
207.13;0;1
208.51;0;2
212.04;0;1
218.61;0;1
219.92;0;1
221.47;0;1
223.45;0;1
224.61;0;1
225.64;0;1
227.52;0;1
230.17;0;1
232.68;0;1
236.85;0;1
241.86;0;1
243.9;0;1
248.44;0;1
251.69;0;1
257.49;0;1
258.58;0;1
259.6;0;2
262.08;0;1
264.44;0;1
268.39;0;1
269.4;0;1
272.07;0;1
278.25;0;1
282.25;0;1
284.3;0;1
289.61;0;1
295.52;0;1
296.71;0;1
299.22;0;1
300.47;0;1
305.85;0;1
307.31;0;1
309.39;0;1
315.91;0;1
318.82;0;1
319.91;0;1
322.99;0;1
327.16;0;1
330.41;0;1
334.41;0;1
336.41;0;1
339.25;0;1
341.99;0;1
343.21;0;1
344.29;0.01;1
345.42;0;1
346.71;0;1
347.8;0;1
349.5;0;1
353.05;0;1
