#TimeStamp;TripTime;Type
32;8;O
39;23;O
43;30;O
52;21;O
61;11;O
62;16;O
96;15;O
153;15;O
174;29;O
176;13;O
190;24;O
197;14;O
223;14;O
234;30;O
261;16;O
275;20;O
281;12;O
307;26;O
310;20;O
312;22;O
377;17;O
398;10;O
426;24;O
436;24;O
454;29;O
486;20;O
518;28;O
528;14;O
550;24;O
569;20;O
582;25;O
602;14;O
616;34;O
625;14;O
645;22;O
666;19;O
675;10;O
725;26;O
741;23;O
774;20;O
780;38;O
783;41;O
805;23;O
851;22;O
871;20;O
887;29;O
900;24;O
929;25;O
937;20;O
967;20;O
974;35;O
982;23;O
1020;19;O
1055;10;O
1065;22;O
1067;13;O
1067;30;O
1117;26;O
1135;14;O
1137;19;O
1159;13;O
1177;32;O
1185;20;O
1207;17;O
1239;23;O
1264;21;O
1313;17;O
1320;18;O
1349;27;O
1349;18;O
1371;22;O
1407;31;O
1413;27;O
1414;32;O
1433;18;O
1484;18;O
1495;21;O
1500;21;O
1509;25;O
1536;22;O
1547;19;O
1566;19;O
1615;22;O
1618;21;O
1630;34;O
1632;17;O
1637;22;O
1677;16;O
1698;39;O
1709;15;O
1709;14;O
1723;20;O
1749;24;O
1764;14;O
1781;12;O
1784;25;O
