#TimeStamp;TripTime;Type
37;22;O
38;13;O
58;11;O
66;10;O
66;12;O
72;21;O
108;20;O
157;14;O
159;23;O
173;23;O
177;16;O
216;21;O
224;21;O
238;17;O
252;18;O
267;18;O
271;26;O
323;26;O
330;14;O
357;25;O
367;26;O
385;27;O
411;38;O
415;20;O
424;22;O
455;19;O
461;21;O
481;36;O
495;21;O
515;26;O
561;36;O
570;23;O
588;20;O
594;46;O
613;24;O
629;31;O
657;21;O
660;19;O
672;29;O
695;12;O
697;24;O
735;22;O
740;24;O
784;12;O
795;20;O
809;17;O
817;31;O
821;24;O
833;23;O
853;19;O
879;22;O
891;17;O
912;27;O
914;15;O
917;22;O
931;13;O
965;22;O
1000;21;O
1015;23;O
1016;18;O
1017;18;O
1028;26;O
1040;23;O
1088;11;O
1093;22;O
1097;17;O
1112;22;O
1120;16;O
1142;19;O
1162;11;O
1182;27;O
1207;21;O
1210;16;O
1248;17;O
1252;27;O
1264;7;O
1299;28;O
1320;35;O
1322;33;O
1339;15;O
1346;21;O
1358;14;O
1402;23;O
1402;20;O
1414;29;O
1422;22;O
1438;24;O
1447;23;O
1474;22;O
1480;28;O
1495;21;O
1532;20;O
1551;7;O
1557;19;O
1566;24;O
1575;17;O
1591;25;O
1629;16;O
1634;19;O
1641;33;O
1648;21;O
1658;20;O
1682;26;O
1702;17;O
1702;16;O
1727;13;O
1730;11;O
1733;7;O
1768;21;O
1769;19;O
1779;21;O
