#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.61;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.73;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.84;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
299.85;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
359.86;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
420;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
479.87;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
539.6;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.69;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
659.83;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.92;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.87;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
839.77;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.83;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
959.98;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1019.6;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1079.59;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
1139.98;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.89;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.61;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1319.75;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1379.96;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1439.85;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.7;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1559.6;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1619.93;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1679.71;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1739.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1799.6;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
