#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.63;0;49.63;49.63;-9251.84
52.17;2;52.17;52.17;-9778.34
56.18;2;56.18;6.51;-10236.23
58.89;0;58.89;58.89;-9280.43
60.44;2;60.44;8.22;-10794.3
70.81;1;70.81;70.81;-9341.46
75.02;1;75.02;75.02;-9559.01
79.28;1;79.28;8.27;-10459.19
82.74;2;82.74;82.74;-9728.54
83.52;1;83.52;12.51;-10660.29
87.82;1;87.82;12.75;-11265.23
91.23;2;91.23;16.17;-10184.74
95.53;2;95.53;12.75;-12527.02
104.02;1;104.02;104.02;-9300.06
128.39;0;128.39;128.39;-8771.45
130.25;2;130.25;130.25;-9624.27
136.86;0;136.86;8.28;-10229.4
138.6;2;138.6;10.02;-10322.07
140.98;0;140.98;12.4;-9900.73
145.03;0;145.03;8.06;-10344.98
149.37;0;149.37;8.34;-10356.12
150.7;1;150.7;150.7;-9481.6
153.55;0;153.55;8.1;-10425.82
157.42;0;157.42;7.81;-10543.51
168.3;2;168.3;72.6;-9310.52
168.54;0;168.54;168.54;-9078.47
172.82;2;172.82;172.82;-9653.38
172.87;0;172.87;15.16;-10982.91
177.3;0;177.3;8.76;-12252.4
180.71;1;180.71;180.71;-9482.27
180.76;2;180.76;12.22;-10670.32
184.91;2;184.91;16.37;-9945.62
189.18;2;189.18;16.31;-12032.45
192.85;1;192.85;15.51;-9798.5
197.26;1;197.26;16.5;-9806.58
201.69;1;201.69;8.78;-10395.89
205.97;1;205.97;8.64;-10517.38
208.22;2;208.22;69.46;-9813.99
210.05;1;81.47;8.3;-10623.6
211.93;2;211.93;211.93;-9593.15
214.07;1;214.07;7.9;-10981.45
218.33;1;12.16;8.06;-10526.79
219.88;0;219.88;46.97;-12408.86
222.41;1;16.24;8.1;-10756.18
224;0;224;46.65;-9967.2
224.04;2;224.04;17.87;-11027.56
226.41;1;130.71;8.03;-10984.64
228.13;0;228.13;15.81;-10202.33
228.37;2;228.37;20.1;-11400.42
232.54;0;232.54;12.62;-10210.07
234.37;1;14.44;11.84;-10823.35
236.42;0;236.42;12.38;-11297.6
238.71;1;70.16;12.08;-11063.22
242.78;1;14.15;8.09;-10370.69
247.14;1;172.08;8.39;-11433.37
251.59;1;168.81;8.42;-11652.87
251.64;0;251.64;251.64;-9092.17
255.57;1;255.57;8.36;-11788.27
255.84;0;255.84;23.22;-10835.65
259.48;1;259.48;7.85;-12073.14
259.88;0;259.88;12.67;-11417.09
266.44;1;266.44;115.42;-11577.67
274.54;1;274.54;7.68;-11787.77
278.57;1;101.23;11.71;-10955.18
284.08;2;284.08;284.08;-9409.5
292.55;2;292.55;292.55;-9526.4
296.97;2;296.97;68.35;-9776.12
301.63;2;301.63;77.26;-9541.89
305.64;2;305.64;21.28;-10694.55
309.71;2;309.71;25.35;-11736.33
313.96;2;313.96;21.17;-11806.76
320.88;2;320.88;320.88;-9456.94
328.98;2;328.98;27.31;-10720.68
340.42;0;340.42;340.42;-8678.79
344.89;0;344.89;89.01;-10824.75
345.07;2;345.07;24.01;-9983.19
348.74;0;348.74;8.23;-10599.64
348.98;2;348.98;27.92;-10105.86
351.28;1;351.28;267.63;-9720.83
352.87;0;352.87;12.36;-10003.23
353.19;2;353.19;24.09;-10320.83
356.88;0;16.37;11.94;-10371.38
357.24;2;357.24;12.09;-11206.68
360.97;0;360.97;11.98;-10662.76
363.74;1;363.74;363.74;-9298.39
365.67;0;365.67;12.48;-11272.31
370.09;0;370.09;12.86;-11703.18
371.14;1;371.14;371.14;-9314.3
374.27;0;205.72;12.99;-11902.83
378.43;0;8.29;8.13;-9824.46
381.67;2;381.67;196.34;-9925.95
382.94;1;333.27;19.15;-9112.13
385.32;0;385.32;148.64;-9925.7
386.14;2;386.14;80.42;-9737.08
387.29;1;387.29;17.15;-10041.36
