#TimeStamp;TripTime;Type
32;10;O
41;13;O
44;24;O
46;26;O
64;18;O
69;22;O
97;17;O
102;14;O
154;18;O
167;20;O
181;23;O
187;21;O
199;18;O
204;7;O
226;18;O
252;12;O
275;19;O
288;36;O
292;16;O
295;15;O
310;12;O
329;24;O
351;19;O
370;14;O
396;13;O
420;23;O
440;8;O
450;15;O
475;16;O
483;21;O
503;13;O
529;19;O
542;13;O
544;23;O
570;19;O
576;14;O
595;20;O
610;13;O
637;23;O
662;20;O
681;19;O
704;20;O
706;20;O
727;26;O
748;22;O
769;21;O
770;13;O
787;21;O
802;24;O
840;19;O
845;20;O
868;30;O
874;20;O
878;30;O
914;25;O
928;21;O
954;25;O
958;13;O
973;10;O
976;28;O
990;21;O
1055;25;O
1068;24;O
1078;13;O
1100;28;O
1108;18;O
1142;13;O
1156;13;O
1172;24;O
1183;13;O
1194;17;O
1200;6;O
1209;15;O
1219;17;O
1282;16;O
1290;22;O
1292;14;O
1305;14;O
1311;18;O
1327;20;O
1349;15;O
1367;15;O
1382;15;O
1389;20;O
1398;22;O
1418;25;O
1438;7;O
1457;21;O
1473;18;O
1498;14;O
1504;11;O
1509;32;O
1529;21;O
1549;14;O
1574;13;O
1577;19;O
1583;18;O
1606;18;O
1610;14;O
1623;14;O
1657;23;O
1658;19;O
1661;24;O
1697;14;O
1704;26;O
1739;12;O
1742;19;O
1753;21;O
1771;22;O
1789;21;O
